,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
34,34,0.8648889321690958,2024-12-31 19:50:44.521455,2024-12-31 19:51:22.047833,0 days 00:00:37.526378,7,95,10.0,25.0,100.0,10.0,25.0,30.0,,,,2,6.0,3.0,6.0,5.0,2.0,6.0,,,,COMPLETE
35,35,0.8505296842694001,2024-12-31 19:51:22.048631,2024-12-31 19:52:12.319876,0 days 00:00:50.271245,6,80,25.0,10.0,85.0,20.0,5.0,,,,,2,5.0,6.0,5.0,4.0,2.0,,,,,COMPLETE
36,36,0.839448208783095,2024-12-31 19:52:12.320525,2024-12-31 19:52:45.569554,0 days 00:00:33.249029,5,65,15.0,5.0,25.0,10.0,,,,,,3,4.0,4.0,6.0,2.0,,,,,,COMPLETE
37,37,0.836164671738495,2024-12-31 19:52:45.570547,2024-12-31 19:53:35.493931,0 days 00:00:49.923384,9,100,40.0,20.0,5.0,75.0,45.0,15.0,60.0,65.0,,6,6.0,2.0,5.0,4.0,3.0,6.0,6.0,6.0,,COMPLETE
38,38,0.8461576464775975,2024-12-31 19:53:35.494687,2024-12-31 19:54:45.292739,0 days 00:01:09.798052,6,90,5.0,80.0,95.0,30.0,10.0,,,,,4,5.0,3.0,6.0,5.0,4.0,,,,,COMPLETE
39,39,0.8417996240380662,2024-12-31 19:54:45.293570,2024-12-31 19:56:24.679350,0 days 00:01:39.385780,8,80,70.0,60.0,55.0,85.0,95.0,35.0,20.0,,,2,5.0,5.0,4.0,3.0,2.0,5.0,2.0,,,COMPLETE
40,40,0.8656793804734126,2024-12-31 19:56:24.680218,2024-12-31 19:56:41.371622,0 days 00:00:16.691404,3,70,10.0,25.0,,,,,,,,3,6.0,2.0,,,,,,,,COMPLETE
41,41,0.8772275456354447,2024-12-31 19:56:41.372177,2024-12-31 19:57:18.107965,0 days 00:00:36.735788,7,100,10.0,5.0,100.0,5.0,5.0,30.0,,,,2,6.0,3.0,6.0,4.0,2.0,6.0,,,,COMPLETE
42,42,0.8601177385931575,2024-12-31 19:57:18.108773,2024-12-31 19:57:49.775541,0 days 00:00:31.666768,7,95,20.0,10.0,95.0,10.0,10.0,25.0,,,,2,6.0,3.0,6.0,4.0,2.0,6.0,,,,COMPLETE
43,43,0.8657601670305844,2024-12-31 19:57:49.776189,2024-12-31 19:58:28.635414,0 days 00:00:38.859225,7,100,10.0,15.0,85.0,5.0,20.0,45.0,,,,2,6.0,4.0,6.0,4.0,2.0,6.0,,,,COMPLETE
44,44,0.8525273997049985,2024-12-31 19:58:28.636194,2024-12-31 19:59:21.283144,0 days 00:00:52.646950,8,45,15.0,5.0,40.0,100.0,10.0,35.0,65.0,,,2,6.0,3.0,5.0,3.0,3.0,6.0,4.0,,,COMPLETE
45,45,0.8526928382994492,2024-12-31 19:59:21.283804,2024-12-31 19:59:56.826570,0 days 00:00:35.542766,6,90,5.0,50.0,100.0,15.0,5.0,,,,,2,6.0,5.0,6.0,4.0,2.0,,,,,COMPLETE
46,46,0.8477473586430667,2024-12-31 19:59:56.827571,2024-12-31 20:01:06.443897,0 days 00:01:09.616326,7,95,25.0,20.0,95.0,5.0,25.0,65.0,,,,3,5.0,4.0,3.0,5.0,2.0,5.0,,,,COMPLETE
47,47,0.8381554769874598,2024-12-31 20:01:06.444679,2024-12-31 20:02:20.516287,0 days 00:01:14.071608,6,100,30.0,10.0,85.0,55.0,75.0,,,,,4,6.0,2.0,5.0,5.0,5.0,,,,,COMPLETE
