,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
37,37,0.9322660098522167,2025-01-02 04:11:53.133932,2025-01-02 04:12:14.275283,0 days 00:00:21.141351,6,5,90.0,90.0,75.0,25.0,20.0,,,,,3,6.0,2.0,5.0,4.0,3.0,,,,,COMPLETE
38,38,0.9491092448199289,2025-01-02 04:12:14.275810,2025-01-02 04:12:24.798226,0 days 00:00:10.522416,3,85,95.0,25.0,,,,,,,,5,5.0,3.0,,,,,,,,COMPLETE
39,39,0.9432163115131075,2025-01-02 04:12:24.798766,2025-01-02 04:12:30.324018,0 days 00:00:05.525252,2,70,80.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
40,40,0.937450609382826,2025-01-02 04:12:30.324379,2025-01-02 04:12:49.256545,0 days 00:00:18.932166,7,30,35.0,70.0,95.0,85.0,100.0,35.0,,,,3,6.0,2.0,4.0,2.0,3.0,5.0,,,,COMPLETE
41,41,0.9475285529651263,2025-01-02 04:12:49.257248,2025-01-02 04:12:52.643589,0 days 00:00:03.386341,2,80,100.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
42,42,0.9416248041916491,2025-01-02 04:12:52.643978,2025-01-02 04:12:55.563620,0 days 00:00:02.919642,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
43,43,0.9643250688705234,2025-01-02 04:12:55.563997,2025-01-02 04:13:01.221182,0 days 00:00:05.657185,3,80,100.0,60.0,,,,,,,,2,2.0,4.0,,,,,,,,COMPLETE
44,44,0.9524621728557199,2025-01-02 04:13:01.221593,2025-01-02 04:13:10.587215,0 days 00:00:09.365622,3,60,90.0,60.0,,,,,,,,2,2.0,5.0,,,,,,,,COMPLETE
45,45,0.9294916243932703,2025-01-02 04:13:10.587755,2025-01-02 04:13:23.265533,0 days 00:00:12.677778,4,45,95.0,50.0,75.0,,,,,,,5,4.0,4.0,6.0,,,,,,,COMPLETE
46,46,0.9271117013526993,2025-01-02 04:13:23.266021,2025-01-02 04:13:40.975951,0 days 00:00:17.709930,5,85,10.0,65.0,50.0,75.0,,,,,,2,5.0,6.0,4.0,6.0,,,,,,COMPLETE
