,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
73,73,0.721505376344086,2025-01-01 11:26:21.780247,2025-01-01 11:26:47.310160,0 days 00:00:25.529913,5,45,45.0,45.0,80.0,15.0,,,,,,4,4.0,6.0,4.0,4.0,,,,,,COMPLETE
74,74,0.8781779661016949,2025-01-01 11:26:47.310855,2025-01-01 11:27:07.615775,0 days 00:00:20.304920,4,100,55.0,85.0,35.0,,,,,,,3,5.0,5.0,3.0,,,,,,,COMPLETE
75,75,0.8293650793650793,2025-01-01 11:27:07.616559,2025-01-01 11:27:26.786886,0 days 00:00:19.170327,4,100,50.0,85.0,45.0,,,,,,,3,5.0,5.0,3.0,,,,,,,COMPLETE
76,76,0.8385416666666667,2025-01-01 11:27:26.787421,2025-01-01 11:27:40.078485,0 days 00:00:13.291064,3,100,55.0,95.0,,,,,,,,2,6.0,4.0,,,,,,,,COMPLETE
77,77,0.8727272727272728,2025-01-01 11:27:40.078987,2025-01-01 11:27:44.097841,0 days 00:00:04.018854,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
78,78,0.81889338731444,2025-01-01 11:27:44.098258,2025-01-01 11:27:48.038070,0 days 00:00:03.939812,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
79,79,0.7799043062200957,2025-01-01 11:27:48.038466,2025-01-01 11:27:51.998402,0 days 00:00:03.959936,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
80,80,0.8291777188328913,2025-01-01 11:27:51.998799,2025-01-01 11:27:59.869796,0 days 00:00:07.870997,1,100,,,,,,,,,,5,,,,,,,,,,COMPLETE
81,81,0.8291777188328913,2025-01-01 11:27:59.870465,2025-01-01 11:28:09.359541,0 days 00:00:09.489076,2,90,30.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
82,82,0.780539397144368,2025-01-01 11:28:09.359974,2025-01-01 11:28:21.833727,0 days 00:00:12.473753,3,95,40.0,30.0,,,,,,,,2,3.0,5.0,,,,,,,,COMPLETE
83,83,0.7899943470887507,2025-01-01 11:28:21.834333,2025-01-01 11:28:33.817698,0 days 00:00:11.983365,2,85,70.0,,,,,,,,,4,6.0,,,,,,,,,COMPLETE
84,84,0.8286546610169492,2025-01-01 11:28:33.818126,2025-01-01 11:28:40.752001,0 days 00:00:06.933875,2,35,35.0,,,,,,,,,3,2.0,,,,,,,,,COMPLETE
