,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
35,35,0.755,2025-01-01 13:44:01.611535,2025-01-01 13:44:16.279503,0 days 00:00:14.667968,6,95,45.0,5.0,80.0,45.0,65.0,,,,,2,2.0,3.0,5.0,4.0,4.0,,,,,COMPLETE
36,36,0.5535714285714286,2025-01-01 13:44:16.280095,2025-01-01 13:44:43.118086,0 days 00:00:26.837991,6,95,45.0,5.0,85.0,45.0,65.0,,,,,2,2.0,3.0,5.0,4.0,4.0,,,,,COMPLETE
37,37,0.5977891156462585,2025-01-01 13:44:43.118959,2025-01-01 13:45:05.222600,0 days 00:00:22.103641,5,95,55.0,15.0,75.0,30.0,,,,,,5,2.0,3.0,4.0,5.0,,,,,,COMPLETE
38,38,0.473015873015873,2025-01-01 13:45:05.223190,2025-01-01 13:45:19.140835,0 days 00:00:13.917645,4,15,90.0,10.0,40.0,,,,,,,2,3.0,3.0,4.0,,,,,,,COMPLETE
39,39,0.3923611111111111,2025-01-01 13:45:19.141341,2025-01-01 13:45:54.979580,0 days 00:00:35.838239,8,90,35.0,25.0,95.0,20.0,60.0,40.0,30.0,,,2,2.0,4.0,5.0,4.0,5.0,4.0,3.0,,,COMPLETE
40,40,0.4371794871794872,2025-01-01 13:45:54.980239,2025-01-01 13:46:18.967836,0 days 00:00:23.987597,6,30,45.0,15.0,80.0,50.0,85.0,,,,,2,2.0,3.0,6.0,6.0,4.0,,,,,COMPLETE
41,41,0.5842880523731588,2025-01-01 13:46:18.968751,2025-01-01 13:46:46.158486,0 days 00:00:27.189735,7,80,35.0,45.0,65.0,90.0,75.0,60.0,,,,3,3.0,6.0,4.0,3.0,3.0,3.0,,,,COMPLETE
42,42,0.5331541218637993,2025-01-01 13:46:46.159135,2025-01-01 13:46:56.223863,0 days 00:00:10.064728,3,100,20.0,30.0,,,,,,,,4,2.0,2.0,,,,,,,,COMPLETE
43,43,0.6381374722838138,2025-01-01 13:46:56.224395,2025-01-01 13:47:01.263698,0 days 00:00:05.039303,1,70,,,,,,,,,,3,,,,,,,,,,COMPLETE
44,44,0.6458333333333333,2025-01-01 13:47:01.264230,2025-01-01 13:47:29.490891,0 days 00:00:28.226661,5,60,50.0,10.0,55.0,25.0,,,,,,5,4.0,4.0,5.0,5.0,,,,,,COMPLETE
45,45,0.5166036149642708,2025-01-01 13:47:29.491949,2025-01-01 13:47:57.857081,0 days 00:00:28.365132,7,45,25.0,5.0,100.0,65.0,45.0,20.0,,,,2,2.0,2.0,5.0,4.0,2.0,6.0,,,,COMPLETE
46,46,0.36755823986194996,2025-01-01 13:47:57.857816,2025-01-01 13:48:18.394959,0 days 00:00:20.537143,4,90,10.0,20.0,45.0,,,,,,,4,3.0,6.0,6.0,,,,,,,COMPLETE
47,47,0.5844954881050041,2025-01-01 13:48:18.396011,2025-01-01 13:48:54.295494,0 days 00:00:35.899483,9,80,40.0,90.0,80.0,95.0,65.0,5.0,50.0,50.0,,3,2.0,4.0,4.0,2.0,4.0,5.0,6.0,3.0,,COMPLETE
48,48,0.5647109577221743,2025-01-01 13:48:54.296398,2025-01-01 13:49:27.410179,0 days 00:00:33.113781,6,40,55.0,75.0,75.0,10.0,25.0,,,,,3,4.0,5.0,3.0,5.0,5.0,,,,,COMPLETE
49,49,0.3626373626373627,2025-01-01 13:49:27.410932,2025-01-01 13:49:38.108511,0 days 00:00:10.697579,2,70,25.0,,,,,,,,,6,3.0,,,,,,,,,COMPLETE
50,50,0.6006725514922235,2025-01-01 13:49:38.109014,2025-01-01 13:50:15.437405,0 days 00:00:37.328391,8,60,100.0,35.0,65.0,60.0,80.0,60.0,85.0,,,4,5.0,3.0,6.0,4.0,3.0,4.0,5.0,,,COMPLETE
51,51,0.5974235104669887,2025-01-01 13:50:15.438104,2025-01-01 13:50:44.121753,0 days 00:00:28.683649,5,60,50.0,10.0,55.0,25.0,,,,,,5,4.0,4.0,5.0,5.0,,,,,,COMPLETE
52,52,0.5462962962962963,2025-01-01 13:50:44.122766,2025-01-01 13:50:58.002051,0 days 00:00:13.879285,2,55,60.0,,,,,,,,,5,6.0,,,,,,,,,COMPLETE
53,53,0.3458333333333333,2025-01-01 13:50:58.002731,2025-01-01 13:51:18.509451,0 days 00:00:20.506720,3,95,45.0,5.0,,,,,,,,6,5.0,5.0,,,,,,,,COMPLETE
54,54,0.6251025430680885,2025-01-01 13:51:18.510003,2025-01-01 13:51:59.025720,0 days 00:00:40.515717,7,85,70.0,15.0,45.0,30.0,5.0,15.0,,,,5,4.0,4.0,5.0,6.0,4.0,2.0,,,,COMPLETE
55,55,0.46374946374946374,2025-01-01 13:51:59.026417,2025-01-01 13:52:23.931343,0 days 00:00:24.904926,5,75,35.0,25.0,50.0,15.0,,,,,,3,4.0,3.0,4.0,5.0,,,,,,COMPLETE
56,56,0.5595238095238095,2025-01-01 13:52:23.932050,2025-01-01 13:52:50.725018,0 days 00:00:26.792968,6,65,50.0,10.0,40.0,5.0,95.0,,,,,5,3.0,4.0,4.0,2.0,4.0,,,,,COMPLETE
57,57,0.5140977443609023,2025-01-01 13:52:50.726067,2025-01-01 13:52:57.451369,0 days 00:00:06.725302,1,60,,,,,,,,,,4,,,,,,,,,,COMPLETE
58,58,0.495640802092415,2025-01-01 13:52:57.452007,2025-01-01 13:53:18.822180,0 days 00:00:21.370173,4,100,30.0,10.0,55.0,,,,,,,2,5.0,5.0,5.0,,,,,,,COMPLETE
