,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
42,42,0.0,2025-01-01 08:24:52.356776,2025-01-01 08:24:54.444495,0 days 00:00:02.087719,3,50,125.0,,,,,,,,,,,120.0,,,,,,,,3,3.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
43,43,0.8553511705685619,2025-01-01 08:24:54.444878,2025-01-01 08:24:58.488223,0 days 00:00:04.043345,2,165,140.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.8373165618448637,2025-01-01 08:24:58.488615,2025-01-01 08:25:00.150184,0 days 00:00:01.661569,1,30,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.0,2025-01-01 08:25:00.150542,2025-01-01 08:25:02.907834,0 days 00:00:02.757292,5,60,95.0,,,,,,,,,,,35.0,65.0,25.0,,,,,,4,4.0,,,,,,,,,,,3.0,3.0,3.0,,,,,,COMPLETE
46,46,0.0,2025-01-01 08:25:02.908272,2025-01-01 08:25:08.955681,0 days 00:00:06.047409,14,45,115.0,70.0,60.0,105.0,100.0,,,,,,,25.0,155.0,200.0,95.0,125.0,90.0,160.0,125.0,3,2.0,2.0,3.0,4.0,2.0,,,,,,,6.0,2.0,5.0,2.0,4.0,4.0,5.0,5.0,COMPLETE
47,47,0.0,2025-01-01 08:25:08.956336,2025-01-01 08:25:12.064846,0 days 00:00:03.108510,4,25,185.0,,,,,,,,,,,170.0,185.0,,,,,,,2,5.0,,,,,,,,,,,5.0,5.0,,,,,,,COMPLETE
48,48,0.0,2025-01-01 08:25:12.065271,2025-01-01 08:25:14.271172,0 days 00:00:02.205901,7,115,135.0,,,,,,,,,,,85.0,190.0,65.0,200.0,40.0,,,,5,3.0,,,,,,,,,,,2.0,4.0,2.0,4.0,5.0,,,,COMPLETE
49,49,0.8181818181818181,2025-01-01 08:25:14.271649,2025-01-01 08:25:17.151616,0 days 00:00:02.879967,1,70,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.0,2025-01-01 08:25:17.151958,2025-01-01 08:25:19.256173,0 days 00:00:02.104215,6,55,45.0,,,,,,,,,,,110.0,130.0,95.0,155.0,,,,,3,4.0,,,,,,,,,,,4.0,2.0,4.0,6.0,,,,,COMPLETE
51,51,0.8688725490196079,2025-01-01 08:25:19.256767,2025-01-01 08:25:23.298846,0 days 00:00:04.042079,2,160,145.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
