,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
41,41,0.6307692307692307,2025-01-08 12:25:37.351697,2025-01-08 12:25:40.568591,0 days 00:00:03.216894,2,1,2,20,45.0,,,,,,,,,,,,,,COMPLETE
42,42,0.6307692307692307,2025-01-08 12:25:40.569821,2025-01-08 12:25:43.790782,0 days 00:00:03.220961,2,1,2,20,45.0,,,,,,,,,,,,,,COMPLETE
43,43,0.666599597585513,2025-01-08 12:25:43.792005,2025-01-08 12:25:47.751641,0 days 00:00:03.959636,3,1,2,15,50.0,,,,,,5.0,,,,,,,,COMPLETE
44,44,0.5815126050420169,2025-01-08 12:25:47.752885,2025-01-08 12:25:51.329640,0 days 00:00:03.576755,3,3,1,25,50.0,,,,,,10.0,,,,,,,,COMPLETE
45,45,0.0,2025-01-08 12:25:51.330937,2025-01-08 12:25:53.499885,0 days 00:00:02.168948,1,1,2,15,,,,,,,,,,,,,,,COMPLETE
46,46,0.64473033151905,2025-01-08 12:25:53.501218,2025-01-08 12:25:55.649162,0 days 00:00:02.147944,2,3,1,5,40.0,,,,,,,,,,,,,,COMPLETE
47,47,0.602787456445993,2025-01-08 12:25:55.650054,2025-01-08 12:25:57.248804,0 days 00:00:01.598750,1,3,1,5,,,,,,,,,,,,,,,COMPLETE
48,48,0.49030612244897964,2025-01-08 12:25:57.250036,2025-01-08 12:26:01.155257,0 days 00:00:03.905221,5,3,1,5,40.0,,,,,,5.0,10.0,45.0,,,,,,COMPLETE
49,49,0.5839126117179742,2025-01-08 12:26:01.156559,2025-01-08 12:26:04.861173,0 days 00:00:03.704614,3,3,1,30,35.0,,,,,,15.0,,,,,,,,COMPLETE
50,50,0.6714285714285715,2025-01-08 12:26:04.862423,2025-01-08 12:26:09.444860,0 days 00:00:04.582437,4,1,2,15,50.0,,,,,,10.0,15.0,,,,,,,COMPLETE
51,51,0.6714285714285715,2025-01-08 12:26:09.446112,2025-01-08 12:26:14.125105,0 days 00:00:04.678993,4,1,2,15,50.0,,,,,,10.0,15.0,,,,,,,COMPLETE
