,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
57,57,0.0,2025-01-08 11:13:55.861880,2025-01-08 11:14:00.011367,0 days 00:00:04.149487,4,1,2,15,25.0,,,,,,30.0,5.0,,,,,,,COMPLETE
58,58,0.7932266848196052,2025-01-08 11:14:00.012087,2025-01-08 11:14:05.351152,0 days 00:00:05.339065,5,3,1,45,40.0,,,,,,40.0,35.0,45.0,,,,,,COMPLETE
59,59,0.7817174973138277,2025-01-08 11:14:05.352427,2025-01-08 11:14:08.301520,0 days 00:00:02.949093,2,5,3,20,35.0,,,,,,,,,,,,,,COMPLETE
60,60,0.0,2025-01-08 11:14:08.302187,2025-01-08 11:14:12.256078,0 days 00:00:03.953891,3,3,2,25,40.0,,,,,,45.0,,,,,,,,COMPLETE
61,61,0.815929203539823,2025-01-08 11:14:12.257139,2025-01-08 11:14:15.463281,0 days 00:00:03.206142,2,3,3,25,40.0,,,,,,,,,,,,,,COMPLETE
62,62,0.809276566285912,2025-01-08 11:14:15.464246,2025-01-08 11:14:17.543115,0 days 00:00:02.078869,1,3,3,25,,,,,,,,,,,,,,,COMPLETE
63,63,0.8035087719298246,2025-01-08 11:14:17.547534,2025-01-08 11:14:20.500145,0 days 00:00:02.952611,2,3,3,20,35.0,,,,,,,,,,,,,,COMPLETE
64,64,0.7946264848919716,2025-01-08 11:14:20.500827,2025-01-08 11:14:24.725648,0 days 00:00:04.224821,3,3,3,30,30.0,,,,,,25.0,,,,,,,,COMPLETE
65,65,0.812125569134915,2025-01-08 11:14:24.726904,2025-01-08 11:14:26.504138,0 days 00:00:01.777234,1,1,2,25,,,,,,,,,,,,,,,COMPLETE
66,66,0.8014005602240897,2025-01-08 11:14:26.505316,2025-01-08 11:14:30.149710,0 days 00:00:03.644394,2,3,4,15,50.0,,,,,,,,,,,,,,COMPLETE
67,67,0.7669172932330827,2025-01-08 11:14:30.150583,2025-01-08 11:14:35.612452,0 days 00:00:05.461869,4,5,3,35,45.0,,,,,,35.0,15.0,,,,,,,COMPLETE
68,68,0.7484145527369827,2025-01-08 11:14:35.613716,2025-01-08 11:14:38.989284,0 days 00:00:03.375568,3,3,2,20,35.0,,,,,,5.0,,,,,,,,COMPLETE
69,69,0.7488740617180984,2025-01-08 11:14:38.990184,2025-01-08 11:14:40.606592,0 days 00:00:01.616408,1,1,1,10,,,,,,,,,,,,,,,COMPLETE
70,70,0.8181818181818182,2025-01-08 11:14:40.608675,2025-01-08 11:14:45.966663,0 days 00:00:05.357988,5,3,2,15,40.0,,,,,,45.0,10.0,35.0,,,,,,COMPLETE
71,71,0.8181818181818182,2025-01-08 11:14:45.967768,2025-01-08 11:14:51.431507,0 days 00:00:05.463739,5,3,2,15,40.0,,,,,,45.0,10.0,35.0,,,,,,COMPLETE
72,72,0.729087965461414,2025-01-08 11:14:51.432255,2025-01-08 11:14:59.391149,0 days 00:00:07.958894,8,3,2,15,40.0,,,,,,45.0,10.0,35.0,40.0,45.0,15.0,,,COMPLETE
73,73,0.45943775100401607,2025-01-08 11:14:59.392116,2025-01-08 11:15:04.534163,0 days 00:00:05.142047,5,7,2,15,35.0,,,,,,40.0,5.0,40.0,,,,,,COMPLETE
74,74,0.77617298380364,2025-01-08 11:15:04.534998,2025-01-08 11:15:10.408226,0 days 00:00:05.873228,6,3,2,10,45.0,,,,,,45.0,10.0,30.0,25.0,,,,,COMPLETE
75,75,0.7820767195767195,2025-01-08 11:15:10.410899,2025-01-08 11:15:15.798288,0 days 00:00:05.387389,5,3,2,15,30.0,,,,,,40.0,15.0,45.0,,,,,,COMPLETE
76,76,0.7982300884955753,2025-01-08 11:15:15.799359,2025-01-08 11:15:20.226609,0 days 00:00:04.427250,4,3,2,15,50.0,,,,,,35.0,25.0,,,,,,,COMPLETE
77,77,0.7910571121580297,2025-01-08 11:15:20.227376,2025-01-08 11:15:26.881222,0 days 00:00:06.653846,7,3,2,20,40.0,,,,,,45.0,5.0,35.0,10.0,30.0,,,,COMPLETE
78,78,0.7850225413257639,2025-01-08 11:15:26.882403,2025-01-08 11:15:29.628479,0 days 00:00:02.746076,3,3,1,10,30.0,,,,,,30.0,,,,,,,,COMPLETE
79,79,0.42439133348224256,2025-01-08 11:15:29.630757,2025-01-08 11:15:35.750279,0 days 00:00:06.119522,6,9,2,20,35.0,,,,,,50.0,10.0,30.0,30.0,,,,,COMPLETE
80,80,0.7437229437229438,2025-01-08 11:15:35.751093,2025-01-08 11:15:40.172874,0 days 00:00:04.421781,4,5,2,15,45.0,,,,,,35.0,20.0,,,,,,,COMPLETE
81,81,0.0,2025-01-08 11:15:40.173687,2025-01-08 11:15:43.274561,0 days 00:00:03.100874,2,3,3,20,40.0,,,,,,,,,,,,,,COMPLETE
82,82,0.8159504265250281,2025-01-08 11:15:43.275414,2025-01-08 11:15:47.426080,0 days 00:00:04.150666,3,3,3,15,40.0,,,,,,40.0,,,,,,,,COMPLETE
83,83,0.7605360606594957,2025-01-08 11:15:47.426779,2025-01-08 11:15:52.692900,0 days 00:00:05.266121,3,3,5,15,35.0,,,,,,40.0,,,,,,,,COMPLETE
84,84,0.6916786484543493,2025-01-08 11:15:52.693533,2025-01-08 11:16:01.487828,0 days 00:00:08.794295,9,3,2,10,40.0,,,,,,45.0,15.0,25.0,40.0,25.0,45.0,20.0,,COMPLETE
85,85,0.8392857142857143,2025-01-08 11:16:01.488852,2025-01-08 11:16:05.851962,0 days 00:00:04.363110,3,3,3,15,35.0,,,,,,50.0,,,,,,,,COMPLETE
86,86,0.8247780468119451,2025-01-08 11:16:05.852620,2025-01-08 11:16:08.416788,0 days 00:00:02.564168,2,3,2,15,35.0,,,,,,,,,,,,,,COMPLETE
87,87,0.8180841391850566,2025-01-08 11:16:08.419155,2025-01-08 11:16:10.713550,0 days 00:00:02.294395,2,1,2,10,35.0,,,,,,,,,,,,,,COMPLETE
88,88,0.8071911196911197,2025-01-08 11:16:10.715283,2025-01-08 11:16:13.505880,0 days 00:00:02.790597,2,5,2,20,30.0,,,,,,,,,,,,,,COMPLETE
89,89,0.0,2025-01-08 11:16:13.508980,2025-01-08 11:16:23.988856,0 days 00:00:10.479876,13,3,1,15,30.0,30.0,5.0,50.0,,,50.0,35.0,20.0,20.0,20.0,20.0,40.0,40.0,COMPLETE
90,90,0.801631820499745,2025-01-08 11:16:23.989840,2025-01-08 11:16:26.138905,0 days 00:00:02.149065,1,3,3,20,,,,,,,,,,,,,,,COMPLETE
91,91,0.8341110217216412,2025-01-08 11:16:26.142236,2025-01-08 11:16:30.624262,0 days 00:00:04.482026,4,3,2,15,35.0,,,,,,50.0,10.0,,,,,,,COMPLETE
92,92,0.7946264848919716,2025-01-08 11:16:30.625021,2025-01-08 11:16:35.415813,0 days 00:00:04.790792,4,3,2,15,35.0,,,,,,50.0,30.0,,,,,,,COMPLETE
93,93,0.8251287001287001,2025-01-08 11:16:35.416693,2025-01-08 11:16:39.207006,0 days 00:00:03.790313,3,3,2,15,30.0,,,,,,50.0,,,,,,,,COMPLETE
94,94,0.7709339774557167,2025-01-08 11:16:39.207738,2025-01-08 11:16:42.538192,0 days 00:00:03.330454,3,3,2,10,25.0,,,,,,50.0,,,,,,,,COMPLETE
95,95,0.8251287001287001,2025-01-08 11:16:42.542155,2025-01-08 11:16:46.330039,0 days 00:00:03.787884,3,3,2,15,30.0,,,,,,50.0,,,,,,,,COMPLETE
96,96,0.7748538011695907,2025-01-08 11:16:46.331008,2025-01-08 11:16:49.139448,0 days 00:00:02.808440,2,3,3,15,30.0,,,,,,,,,,,,,,COMPLETE
97,97,0.7748538011695907,2025-01-08 11:16:49.141869,2025-01-08 11:16:50.892633,0 days 00:00:01.750764,1,3,2,10,,,,,,,,,,,,,,,COMPLETE
98,98,0.8303436179542374,2025-01-08 11:16:50.894504,2025-01-08 11:16:54.934932,0 days 00:00:04.040428,3,3,3,15,25.0,,,,,,50.0,,,,,,,,COMPLETE
99,99,0.7799548459925818,2025-01-08 11:16:54.942176,2025-01-08 11:16:57.767380,0 days 00:00:02.825204,2,1,3,5,25.0,,,,,,,,,,,,,,COMPLETE
100,100,0.865546218487395,2025-01-08 11:16:57.768521,2025-01-08 11:17:01.537859,0 days 00:00:03.769338,3,5,3,10,20.0,,,,,,50.0,,,,,,,,COMPLETE
101,101,0.7653457653457654,2025-01-08 11:17:01.538458,2025-01-08 11:17:05.815354,0 days 00:00:04.276896,3,5,3,40,15.0,,,,,,50.0,,,,,,,,COMPLETE
102,102,0.7314584583726313,2025-01-08 11:17:05.816081,2025-01-08 11:17:10.722050,0 days 00:00:04.905969,4,5,3,5,15.0,,,,,,50.0,45.0,,,,,,,COMPLETE
