,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
58,58,0.8556878377181327,2025-01-08 00:48:24.019031,2025-01-08 00:48:33.473399,0 days 00:00:09.454368,1,9,1,20,,,,,,,,,,,,,,,COMPLETE
59,59,0.8732666983911996,2025-01-08 00:48:33.474115,2025-01-08 00:48:47.329982,0 days 00:00:13.855867,2,9,1,25,20.0,,,,,,,,,,,,,,COMPLETE
60,60,0.8847796583032213,2025-01-08 00:48:47.330769,2025-01-08 00:48:58.242339,0 days 00:00:10.911570,1,9,1,30,,,,,,,,,,,,,,,COMPLETE
61,61,0.8789546984830117,2025-01-08 00:48:58.243164,2025-01-08 00:49:12.505050,0 days 00:00:14.261886,2,9,1,25,30.0,,,,,,,,,,,,,,COMPLETE
62,62,0.8556878377181327,2025-01-08 00:49:12.505784,2025-01-08 00:49:21.955968,0 days 00:00:09.450184,1,9,1,20,,,,,,,,,,,,,,,COMPLETE
63,63,0.8991898223953239,2025-01-08 00:49:21.956677,2025-01-08 00:49:32.135864,0 days 00:00:10.179187,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
64,64,0.8847796583032213,2025-01-08 00:49:32.136579,2025-01-08 00:49:43.156585,0 days 00:00:11.020006,1,9,1,30,,,,,,,,,,,,,,,COMPLETE
65,65,0.8752174961803244,2025-01-08 00:49:43.157504,2025-01-08 00:49:56.214139,0 days 00:00:13.056635,2,9,1,25,10.0,,,,,,,,,,,,,,COMPLETE
66,66,0.8556878377181327,2025-01-08 00:49:56.214835,2025-01-08 00:50:05.661979,0 days 00:00:09.447144,1,9,1,20,,,,,,,,,,,,,,,COMPLETE
67,67,0.8545976855968952,2025-01-08 00:50:05.662672,2025-01-08 00:50:25.075062,0 days 00:00:19.412390,2,9,2,30,25.0,,,,,,,,,,,,,,COMPLETE
68,68,0.867790140928915,2025-01-08 00:50:25.075818,2025-01-08 00:50:32.610560,0 days 00:00:07.534742,1,9,1,5,,,,,,,,,,,,,,,COMPLETE
69,69,0.18514929958728088,2025-01-08 00:50:32.612222,2025-01-08 00:51:04.544954,0 days 00:00:31.932732,12,7,2,25,20.0,50.0,20.0,,,,25.0,40.0,25.0,50.0,50.0,10.0,20.0,20.0,COMPLETE
70,70,0.871970396008326,2025-01-08 00:51:04.546153,2025-01-08 00:51:16.439638,0 days 00:00:11.893485,2,9,1,15,15.0,,,,,,,,,,,,,,COMPLETE
71,71,0.8805723646421657,2025-01-08 00:51:16.440433,2025-01-08 00:51:36.305692,0 days 00:00:19.865259,3,9,1,25,30.0,,,,,,50.0,,,,,,,,COMPLETE
72,72,0.868070260596453,2025-01-08 00:51:36.306383,2025-01-08 00:51:48.672775,0 days 00:00:12.366392,1,7,2,25,,,,,,,,,,,,,,,COMPLETE
73,73,0.8556878377181327,2025-01-08 00:51:48.673645,2025-01-08 00:51:58.119541,0 days 00:00:09.445896,1,9,1,20,,,,,,,,,,,,,,,COMPLETE
74,74,0.8498133086034418,2025-01-08 00:51:58.120348,2025-01-08 00:52:12.455822,0 days 00:00:14.335474,2,9,1,25,25.0,,,,,,,,,,,,,,COMPLETE
75,75,0.8954903321449994,2025-01-08 00:52:12.456570,2025-01-08 00:52:27.359254,0 days 00:00:14.902684,2,7,1,30,30.0,,,,,,,,,,,,,,COMPLETE
76,76,0.8954903321449994,2025-01-08 00:52:27.360011,2025-01-08 00:52:42.282936,0 days 00:00:14.922925,2,7,1,30,30.0,,,,,,,,,,,,,,COMPLETE
