,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
61,61,0.8246635926716627,2025-01-08 14:04:25.109221,2025-01-08 14:04:39.680814,0 days 00:00:14.571593,2,7,3,40,5.0,,,,,,,,,,,,,,COMPLETE
62,62,0.8680726759936237,2025-01-08 14:04:39.681905,2025-01-08 14:04:51.819993,0 days 00:00:12.138088,1,7,3,35,,,,,,,,,,,,,,,COMPLETE
63,63,0.8786792452830189,2025-01-08 14:04:51.821021,2025-01-08 14:05:05.952066,0 days 00:00:14.131045,2,7,3,35,10.0,,,,,,,,,,,,,,COMPLETE
64,64,0.8691461547345402,2025-01-08 14:05:05.953181,2025-01-08 14:05:25.095736,0 days 00:00:19.142555,3,7,4,25,5.0,,,,,,40.0,,,,,,,,COMPLETE
65,65,0.0,2025-01-08 14:05:25.097259,2025-01-08 14:06:18.459258,0 days 00:00:53.361999,13,7,3,45,15.0,25.0,5.0,40.0,,,25.0,40.0,20.0,5.0,5.0,30.0,20.0,20.0,COMPLETE
66,66,0.8629202414205905,2025-01-08 14:06:18.460287,2025-01-08 14:06:33.129257,0 days 00:00:14.668970,2,7,4,30,5.0,,,,,,,,,,,,,,COMPLETE
67,67,0.8663126270050088,2025-01-08 14:06:33.130585,2025-01-08 14:06:44.634148,0 days 00:00:11.503563,1,5,3,40,,,,,,,,,,,,,,,COMPLETE
68,68,0.8757632911468438,2025-01-08 14:06:44.635425,2025-01-08 14:06:58.068886,0 days 00:00:13.433461,3,5,2,20,10.0,,,,,,50.0,,,,,,,,COMPLETE
69,69,0.8723103849044082,2025-01-08 14:06:58.070374,2025-01-08 14:07:23.247712,0 days 00:00:25.177338,4,7,4,30,10.0,,,,,,35.0,15.0,,,,,,,COMPLETE
70,70,0.0,2025-01-08 14:07:23.249215,2025-01-08 14:07:57.711442,0 days 00:00:34.462227,8,7,3,20,5.0,,,,,,45.0,30.0,35.0,20.0,25.0,15.0,,,COMPLETE
71,71,0.8926474573022858,2025-01-08 14:07:57.712418,2025-01-08 14:08:04.790079,0 days 00:00:07.077661,1,7,2,15,,,,,,,,,,,,,,,COMPLETE
72,72,0.8926474573022858,2025-01-08 14:08:04.790910,2025-01-08 14:08:11.858963,0 days 00:00:07.068053,1,7,2,15,,,,,,,,,,,,,,,COMPLETE
73,73,0.8906331286619162,2025-01-08 14:08:11.863232,2025-01-08 14:08:21.707418,0 days 00:00:09.844186,2,7,2,15,15.0,,,,,,,,,,,,,,COMPLETE
74,74,0.8926474573022858,2025-01-08 14:08:21.710746,2025-01-08 14:08:28.779898,0 days 00:00:07.069152,1,7,2,15,,,,,,,,,,,,,,,COMPLETE
75,75,0.8906331286619162,2025-01-08 14:08:28.784969,2025-01-08 14:08:38.626446,0 days 00:00:09.841477,2,7,2,15,15.0,,,,,,,,,,,,,,COMPLETE
76,76,0.8774123200384653,2025-01-08 14:08:38.630681,2025-01-08 14:08:51.033859,0 days 00:00:12.403178,3,5,2,15,20.0,,,,,,25.0,,,,,,,,COMPLETE
77,77,0.8926474573022858,2025-01-08 14:08:51.035312,2025-01-08 14:08:58.107358,0 days 00:00:07.072046,1,7,2,15,,,,,,,,,,,,,,,COMPLETE
78,78,0.8926474573022858,2025-01-08 14:08:58.111894,2025-01-08 14:09:05.306486,0 days 00:00:07.194592,1,7,2,15,,,,,,,,,,,,,,,COMPLETE
79,79,0.23575098806146363,2025-01-08 14:09:05.311356,2025-01-08 14:09:43.982676,0 days 00:00:38.671320,9,7,2,15,20.0,,,,,,30.0,5.0,45.0,40.0,15.0,35.0,40.0,,COMPLETE
80,80,0.8474033580632565,2025-01-08 14:09:43.983612,2025-01-08 14:09:52.135144,0 days 00:00:08.151532,1,7,2,20,,,,,,,,,,,,,,,COMPLETE
81,81,0.8926474573022858,2025-01-08 14:09:52.140533,2025-01-08 14:09:59.218423,0 days 00:00:07.077890,1,7,2,15,,,,,,,,,,,,,,,COMPLETE
82,82,0.8926474573022858,2025-01-08 14:09:59.219009,2025-01-08 14:10:06.416607,0 days 00:00:07.197598,1,7,2,15,,,,,,,,,,,,,,,COMPLETE
83,83,0.8476641647250418,2025-01-08 14:10:06.421554,2025-01-08 14:10:16.824738,0 days 00:00:10.403184,2,7,2,15,30.0,,,,,,,,,,,,,,COMPLETE
84,84,0.8926474573022858,2025-01-08 14:10:16.825740,2025-01-08 14:10:23.901733,0 days 00:00:07.075993,1,7,2,15,,,,,,,,,,,,,,,COMPLETE
85,85,0.8897866549864717,2025-01-08 14:10:23.906337,2025-01-08 14:10:30.593480,0 days 00:00:06.687143,1,7,1,20,,,,,,,,,,,,,,,COMPLETE
86,86,0.876375477299029,2025-01-08 14:10:30.599426,2025-01-08 14:10:40.322659,0 days 00:00:09.723233,2,7,2,10,35.0,,,,,,,,,,,,,,COMPLETE
87,87,0.8989612489488217,2025-01-08 14:10:40.323763,2025-01-08 14:10:47.250590,0 days 00:00:06.926827,1,5,2,15,,,,,,,,,,,,,,,COMPLETE
88,88,0.8972551556203658,2025-01-08 14:10:47.255616,2025-01-08 14:10:58.968556,0 days 00:00:11.712940,2,5,2,20,45.0,,,,,,,,,,,,,,COMPLETE
