,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
39,39,0.7151515151515151,2025-01-08 10:10:33.908031,2025-01-08 10:10:38.370523,0 days 00:00:04.462492,3,3,2,15,10.0,,,,,,10.0,,,,,,,,COMPLETE
40,40,0.7144702842377262,2025-01-08 10:10:38.371549,2025-01-08 10:10:42.623882,0 days 00:00:04.252333,3,3,2,10,10.0,,,,,,10.0,,,,,,,,COMPLETE
41,41,0.7144702842377262,2025-01-08 10:10:42.624816,2025-01-08 10:10:46.757190,0 days 00:00:04.132374,3,3,2,10,10.0,,,,,,10.0,,,,,,,,COMPLETE
42,42,0.6899545266639107,2025-01-08 10:10:46.758108,2025-01-08 10:10:49.662679,0 days 00:00:02.904571,3,1,1,5,10.0,,,,,,10.0,,,,,,,,COMPLETE
43,43,0.6899545266639107,2025-01-08 10:10:49.669346,2025-01-08 10:10:52.672389,0 days 00:00:03.003043,3,1,1,5,10.0,,,,,,10.0,,,,,,,,COMPLETE
44,44,0.6899545266639107,2025-01-08 10:10:52.679475,2025-01-08 10:10:55.584166,0 days 00:00:02.904691,3,1,1,5,10.0,,,,,,10.0,,,,,,,,COMPLETE
45,45,0.779205138498595,2025-01-08 10:10:55.590863,2025-01-08 10:11:00.104871,0 days 00:00:04.514008,4,1,1,10,10.0,,,,,,10.0,5.0,,,,,,,COMPLETE
46,46,0.7373737373737375,2025-01-08 10:11:00.105815,2025-01-08 10:11:05.475707,0 days 00:00:05.369892,4,1,2,10,10.0,,,,,,10.0,5.0,,,,,,,COMPLETE
47,47,0.0,2025-01-08 10:11:05.476692,2025-01-08 10:11:10.656351,0 days 00:00:05.179659,4,1,2,10,15.0,,,,,,5.0,5.0,,,,,,,COMPLETE
48,48,0.034482758620689655,2025-01-08 10:11:10.657357,2025-01-08 10:11:21.580223,0 days 00:00:10.922866,15,1,2,10,10.0,20.0,25.0,5.0,50.0,5.0,15.0,10.0,40.0,15.0,5.0,5.0,15.0,30.0,COMPLETE
49,49,0.038461538461538464,2025-01-08 10:11:21.581561,2025-01-08 10:11:31.632130,0 days 00:00:10.050569,13,1,2,10,15.0,5.0,50.0,25.0,,,10.0,10.0,5.0,5.0,20.0,20.0,40.0,25.0,COMPLETE
50,50,0.40404040404040403,2025-01-08 10:11:31.633416,2025-01-08 10:11:37.670148,0 days 00:00:06.036732,4,5,2,20,5.0,,,,,,5.0,5.0,,,,,,,COMPLETE
51,51,0.6899545266639107,2025-01-08 10:11:37.671208,2025-01-08 10:11:40.582248,0 days 00:00:02.911040,3,1,1,5,10.0,,,,,,10.0,,,,,,,,COMPLETE
52,52,0.6680143755615453,2025-01-08 10:11:40.583004,2025-01-08 10:11:43.454736,0 days 00:00:02.871732,2,1,1,10,15.0,,,,,,,,,,,,,,COMPLETE
53,53,0.5225694444444444,2025-01-08 10:11:43.455705,2025-01-08 10:11:46.974244,0 days 00:00:03.518539,4,1,1,5,10.0,,,,,,10.0,15.0,,,,,,,COMPLETE
54,54,0.0,2025-01-08 10:11:46.981176,2025-01-08 10:11:52.998515,0 days 00:00:06.017339,5,1,2,10,20.0,,,,,,15.0,20.0,10.0,,,,,,COMPLETE
55,55,0.767156862745098,2025-01-08 10:11:52.999546,2025-01-08 10:11:55.789403,0 days 00:00:02.789857,3,3,1,5,5.0,,,,,,5.0,,,,,,,,COMPLETE
56,56,0.0,2025-01-08 10:11:55.795977,2025-01-08 10:11:59.523310,0 days 00:00:03.727333,2,3,2,10,5.0,,,,,,,,,,,,,,COMPLETE
57,57,0.6139830508474576,2025-01-08 10:11:59.524187,2025-01-08 10:12:05.143249,0 days 00:00:05.619062,4,3,1,20,15.0,,,,,,5.0,10.0,,,,,,,COMPLETE
