,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
52,52,0.0,2025-01-08 08:27:59.587362,2025-01-08 08:28:06.986049,0 days 00:00:07.398687,9,1,1,35,30.0,,,,,,50.0,20.0,45.0,45.0,50.0,30.0,20.0,,COMPLETE
53,53,0.8666666666666667,2025-01-08 08:28:06.987341,2025-01-08 08:28:14.028382,0 days 00:00:07.041041,7,1,1,45,25.0,,,,,,40.0,25.0,50.0,45.0,45.0,,,,COMPLETE
54,54,0.8595628415300547,2025-01-08 08:28:14.029330,2025-01-08 08:28:20.857650,0 days 00:00:06.828320,7,1,1,40,35.0,,,,,,40.0,15.0,50.0,45.0,50.0,,,,COMPLETE
55,55,0.8523002421307506,2025-01-08 08:28:20.895934,2025-01-08 08:28:26.741092,0 days 00:00:05.845158,6,1,1,35,35.0,,,,,,45.0,10.0,50.0,45.0,,,,,COMPLETE
56,56,0.8165859564164648,2025-01-08 08:28:26.742272,2025-01-08 08:28:33.770894,0 days 00:00:07.028622,7,1,1,40,40.0,,,,,,40.0,20.0,50.0,45.0,50.0,,,,COMPLETE
57,57,0.7804555084745763,2025-01-08 08:28:33.772189,2025-01-08 08:28:38.863576,0 days 00:00:05.091387,5,1,1,40,35.0,,,,,,45.0,25.0,50.0,,,,,,COMPLETE
58,58,0.782991202346041,2025-01-08 08:28:38.864677,2025-01-08 08:28:43.252572,0 days 00:00:04.387895,4,1,1,45,40.0,,,,,,40.0,15.0,,,,,,,COMPLETE
59,59,0.8444444444444444,2025-01-08 08:28:43.253625,2025-01-08 08:28:49.303460,0 days 00:00:06.049835,6,1,1,35,45.0,,,,,,50.0,15.0,50.0,40.0,,,,,COMPLETE
60,60,0.8403954802259888,2025-01-08 08:28:49.304263,2025-01-08 08:28:53.898226,0 days 00:00:04.593963,5,1,1,40,30.0,,,,,,40.0,10.0,10.0,,,,,,COMPLETE
61,61,0.8471264367816091,2025-01-08 08:28:53.899298,2025-01-08 08:29:01.024493,0 days 00:00:07.125195,7,1,1,45,30.0,,,,,,40.0,30.0,45.0,50.0,50.0,,,,COMPLETE
62,62,0.8471264367816091,2025-01-08 08:29:01.025791,2025-01-08 08:29:09.003317,0 days 00:00:07.977526,8,1,1,45,35.0,,,,,,45.0,25.0,40.0,45.0,45.0,40.0,,,COMPLETE
63,63,0.0,2025-01-08 08:29:09.051057,2025-01-08 08:29:17.353237,0 days 00:00:08.302180,10,1,1,45,25.0,,,,,,35.0,30.0,50.0,50.0,50.0,10.0,45.0,40.0,COMPLETE
64,64,0.8759562841530055,2025-01-08 08:29:17.405943,2025-01-08 08:29:23.682674,0 days 00:00:06.276731,7,1,1,40,30.0,,,,,,15.0,20.0,45.0,35.0,20.0,,,,COMPLETE
65,65,0.8335648791330925,2025-01-08 08:29:23.683864,2025-01-08 08:29:30.061929,0 days 00:00:06.378065,7,1,1,40,35.0,,,,,,10.0,20.0,45.0,40.0,15.0,,,,COMPLETE
66,66,0.710212201591512,2025-01-08 08:29:30.063059,2025-01-08 08:29:36.829546,0 days 00:00:06.766487,8,1,1,30,30.0,,,,,,15.0,15.0,20.0,35.0,20.0,50.0,,,COMPLETE
67,67,0.8406708595387841,2025-01-08 08:29:36.830797,2025-01-08 08:29:42.792338,0 days 00:00:05.961541,6,1,1,35,40.0,,,,,,45.0,25.0,40.0,45.0,,,,,COMPLETE
68,68,0.0,2025-01-08 08:29:42.793163,2025-01-08 08:29:48.474581,0 days 00:00:05.681418,7,9,1,35,25.0,,,,,,15.0,20.0,45.0,30.0,25.0,,,,COMPLETE
69,69,0.788597842835131,2025-01-08 08:29:48.475786,2025-01-08 08:29:54.679750,0 days 00:00:06.203964,6,1,1,40,45.0,,,,,,45.0,20.0,50.0,40.0,,,,,COMPLETE
70,70,0.7863822326125074,2025-01-08 08:29:54.680979,2025-01-08 08:30:01.315870,0 days 00:00:06.634891,8,1,1,20,15.0,,,,,,40.0,15.0,25.0,50.0,10.0,45.0,,,COMPLETE
71,71,0.8025289211729889,2025-01-08 08:30:01.316724,2025-01-08 08:30:09.856276,0 days 00:00:08.539552,8,3,2,45,30.0,,,,,,35.0,25.0,45.0,45.0,25.0,15.0,,,COMPLETE
72,72,0.8665183537263625,2025-01-08 08:30:09.857469,2025-01-08 08:30:16.396345,0 days 00:00:06.538876,7,1,1,50,30.0,,,,,,30.0,10.0,50.0,25.0,40.0,,,,COMPLETE
73,73,0.859212684527064,2025-01-08 08:30:16.397629,2025-01-08 08:30:22.802965,0 days 00:00:06.405336,7,1,1,50,35.0,,,,,,30.0,10.0,50.0,25.0,20.0,,,,COMPLETE
74,74,0.7811400422237861,2025-01-08 08:30:22.804101,2025-01-08 08:30:28.923799,0 days 00:00:06.119698,7,1,1,45,25.0,,,,,,25.0,10.0,50.0,25.0,45.0,,,,COMPLETE
75,75,0.8214192196910186,2025-01-08 08:30:28.925021,2025-01-08 08:30:34.782419,0 days 00:00:05.857398,6,1,1,50,35.0,,,,,,40.0,5.0,50.0,30.0,,,,,COMPLETE
76,76,0.8305084745762712,2025-01-08 08:30:34.807792,2025-01-08 08:30:39.781293,0 days 00:00:04.973501,5,1,1,40,20.0,,,,,,40.0,35.0,45.0,,,,,,COMPLETE
77,77,0.7850877192982456,2025-01-08 08:30:39.782351,2025-01-08 08:30:47.652838,0 days 00:00:07.870487,9,1,1,50,30.0,,,,,,20.0,15.0,45.0,25.0,50.0,5.0,40.0,,COMPLETE
78,78,0.8471264367816091,2025-01-08 08:30:47.654062,2025-01-08 08:30:54.374464,0 days 00:00:06.720402,7,1,1,45,40.0,,,,,,30.0,20.0,40.0,35.0,40.0,,,,COMPLETE
79,79,0.8331479421579533,2025-01-08 08:30:54.375653,2025-01-08 08:31:02.828028,0 days 00:00:08.452375,8,1,2,35,25.0,,,,,,35.0,5.0,50.0,40.0,40.0,40.0,,,COMPLETE
80,80,0.0,2025-01-08 08:31:02.829328,2025-01-08 08:31:10.333089,0 days 00:00:07.503761,10,3,1,50,20.0,,,,,,45.0,25.0,35.0,45.0,45.0,45.0,50.0,25.0,COMPLETE
81,81,0.859212684527064,2025-01-08 08:31:10.334365,2025-01-08 08:31:16.726935,0 days 00:00:06.392570,7,1,1,50,35.0,,,,,,30.0,10.0,50.0,25.0,20.0,,,,COMPLETE
82,82,0.8100195185426156,2025-01-08 08:31:16.728174,2025-01-08 08:31:23.760508,0 days 00:00:07.032334,8,1,1,50,30.0,,,,,,30.0,10.0,50.0,30.0,15.0,35.0,,,COMPLETE
83,83,0.812194420477423,2025-01-08 08:31:23.761710,2025-01-08 08:31:29.668913,0 days 00:00:05.907203,6,1,1,50,40.0,,,,,,25.0,15.0,45.0,25.0,,,,,COMPLETE
84,84,0.847457627118644,2025-01-08 08:31:29.695334,2025-01-08 08:31:35.887839,0 days 00:00:06.192505,7,1,1,45,30.0,,,,,,30.0,10.0,50.0,20.0,20.0,,,,COMPLETE
85,85,0.8444113263785394,2025-01-08 08:31:35.889000,2025-01-08 08:31:43.877699,0 days 00:00:07.988699,9,1,1,40,35.0,,,,,,35.0,30.0,45.0,25.0,30.0,5.0,10.0,,COMPLETE
86,86,0.8333333333333334,2025-01-08 08:31:43.878935,2025-01-08 08:31:49.533921,0 days 00:00:05.654986,6,1,1,50,40.0,,,,,,5.0,35.0,50.0,20.0,,,,,COMPLETE
87,87,0.8544980443285528,2025-01-08 08:31:49.559471,2025-01-08 08:31:56.507255,0 days 00:00:06.947784,7,3,2,45,35.0,,,,,,35.0,5.0,40.0,15.0,25.0,,,,COMPLETE
88,88,0.39344262295081966,2025-01-08 08:31:56.508405,2025-01-08 08:32:03.688826,0 days 00:00:07.180421,8,1,1,40,25.0,,,,,,25.0,15.0,50.0,35.0,20.0,30.0,,,COMPLETE
89,89,0.4819976771196283,2025-01-08 08:32:03.690062,2025-01-08 08:32:11.347328,0 days 00:00:07.657266,9,1,1,10,30.0,,,,,,40.0,20.0,45.0,20.0,50.0,40.0,40.0,,COMPLETE
90,90,0.23956043956043957,2025-01-08 08:32:11.348418,2025-01-08 08:32:19.545722,0 days 00:00:08.197304,5,1,4,50,20.0,,,,,,45.0,25.0,50.0,,,,,,COMPLETE
91,91,0.859212684527064,2025-01-08 08:32:19.546911,2025-01-08 08:32:25.941943,0 days 00:00:06.395032,7,1,1,50,35.0,,,,,,30.0,10.0,50.0,25.0,20.0,,,,COMPLETE
92,92,0.8524590163934426,2025-01-08 08:32:25.943146,2025-01-08 08:32:32.344684,0 days 00:00:06.401538,7,1,1,50,40.0,,,,,,15.0,10.0,50.0,25.0,15.0,,,,COMPLETE
93,93,0.7692048517520216,2025-01-08 08:32:32.345919,2025-01-08 08:32:39.854337,0 days 00:00:07.508418,8,1,1,50,35.0,,,,,,30.0,10.0,45.0,30.0,25.0,45.0,,,COMPLETE
94,94,0.861228813559322,2025-01-08 08:32:39.887314,2025-01-08 08:32:45.189121,0 days 00:00:05.301807,6,1,1,45,25.0,,,,,,30.0,5.0,15.0,20.0,,,,,COMPLETE
95,95,0.861228813559322,2025-01-08 08:32:45.190161,2025-01-08 08:32:50.480169,0 days 00:00:05.290008,6,1,1,45,25.0,,,,,,30.0,5.0,15.0,20.0,,,,,COMPLETE
96,96,0.8053197509903791,2025-01-08 08:32:50.481211,2025-01-08 08:32:55.848264,0 days 00:00:05.367053,6,1,1,45,25.0,,,,,,35.0,5.0,15.0,20.0,,,,,COMPLETE
97,97,0.8200431034482758,2025-01-08 08:32:55.849387,2025-01-08 08:33:02.062993,0 days 00:00:06.213606,6,3,2,40,25.0,,,,,,50.0,5.0,20.0,20.0,,,,,COMPLETE
98,98,0.8036050578423459,2025-01-08 08:33:02.063832,2025-01-08 08:33:06.497913,0 days 00:00:04.434081,5,1,1,45,25.0,,,,,,20.0,5.0,15.0,,,,,,COMPLETE
99,99,0.8380355276907001,2025-01-08 08:33:06.499003,2025-01-08 08:33:10.401953,0 days 00:00:03.902950,4,1,1,40,20.0,,,,,,40.0,5.0,,,,,,,COMPLETE
100,100,0.9032258064516129,2025-01-08 08:33:10.402876,2025-01-08 08:33:15.762897,0 days 00:00:05.360021,6,1,1,45,25.0,,,,,,25.0,30.0,10.0,15.0,,,,,COMPLETE
101,101,0.9032258064516129,2025-01-08 08:33:15.764012,2025-01-08 08:33:21.128501,0 days 00:00:05.364489,6,1,1,45,25.0,,,,,,25.0,30.0,10.0,15.0,,,,,COMPLETE
102,102,0.8849462365591398,2025-01-08 08:33:21.129602,2025-01-08 08:33:26.438213,0 days 00:00:05.308611,6,1,1,45,25.0,,,,,,25.0,35.0,10.0,15.0,,,,,COMPLETE
103,103,0.8236263736263736,2025-01-08 08:33:26.439291,2025-01-08 08:33:30.970248,0 days 00:00:04.530957,5,1,1,45,25.0,,,,,,25.0,30.0,10.0,,,,,,COMPLETE
104,104,0.842896174863388,2025-01-08 08:33:30.971555,2025-01-08 08:33:36.402182,0 days 00:00:05.430627,6,1,1,45,25.0,,,,,,20.0,35.0,10.0,15.0,,,,,COMPLETE
105,105,0.801113516857408,2025-01-08 08:33:36.403246,2025-01-08 08:33:41.494039,0 days 00:00:05.090793,6,1,1,45,20.0,,,,,,25.0,30.0,5.0,15.0,,,,,COMPLETE
106,106,0.873015873015873,2025-01-08 08:33:41.495165,2025-01-08 08:33:46.922288,0 days 00:00:05.427123,6,1,1,45,25.0,,,,,,25.0,35.0,15.0,10.0,,,,,COMPLETE
107,107,0.8538884524744697,2025-01-08 08:33:46.923332,2025-01-08 08:33:51.147517,0 days 00:00:04.224185,4,1,1,45,25.0,,,,,,25.0,35.0,,,,,,,COMPLETE
108,108,0.8222222222222222,2025-01-08 08:33:51.148560,2025-01-08 08:33:55.858058,0 days 00:00:04.709498,5,1,1,45,25.0,,,,,,25.0,35.0,10.0,,,,,,COMPLETE
109,109,0.7898305084745763,2025-01-08 08:33:55.859149,2025-01-08 08:34:02.020109,0 days 00:00:06.160960,6,1,2,45,20.0,,,,,,20.0,40.0,5.0,5.0,,,,,COMPLETE
110,110,0.8192982456140351,2025-01-08 08:34:02.021211,2025-01-08 08:34:06.851249,0 days 00:00:04.830038,5,1,1,45,30.0,,,,,,25.0,40.0,10.0,,,,,,COMPLETE
111,111,0.87042842215256,2025-01-08 08:34:06.852319,2025-01-08 08:34:12.353522,0 days 00:00:05.501203,6,1,1,45,25.0,,,,,,30.0,30.0,15.0,10.0,,,,,COMPLETE
112,112,0.8688524590163934,2025-01-08 08:34:12.354296,2025-01-08 08:34:17.762080,0 days 00:00:05.407784,6,1,1,45,25.0,,,,,,25.0,30.0,15.0,10.0,,,,,COMPLETE
113,113,0.8492769744160178,2025-01-08 08:34:17.763183,2025-01-08 08:34:23.207147,0 days 00:00:05.443964,6,1,1,50,25.0,,,,,,25.0,30.0,15.0,10.0,,,,,COMPLETE
114,114,0.8400226116449971,2025-01-08 08:34:23.208294,2025-01-08 08:34:29.176297,0 days 00:00:05.968003,7,1,1,45,20.0,,,,,,25.0,30.0,10.0,10.0,35.0,,,,COMPLETE
115,115,0.8145604395604396,2025-01-08 08:34:29.177396,2025-01-08 08:34:34.533109,0 days 00:00:05.355713,6,1,1,45,25.0,,,,,,20.0,35.0,10.0,5.0,,,,,COMPLETE
116,116,0.8849462365591398,2025-01-08 08:34:34.534365,2025-01-08 08:34:40.794211,0 days 00:00:06.259846,7,1,1,50,30.0,,,,,,25.0,30.0,15.0,10.0,35.0,,,,COMPLETE
117,117,0.20516499282639883,2025-01-08 08:34:40.795416,2025-01-08 08:34:46.356105,0 days 00:00:05.560689,7,7,1,45,25.0,,,,,,25.0,30.0,15.0,10.0,30.0,,,,COMPLETE
118,118,0.8410087719298245,2025-01-08 08:34:46.357177,2025-01-08 08:34:50.729505,0 days 00:00:04.372328,5,3,1,50,5.0,,,,,,20.0,30.0,20.0,,,,,,COMPLETE
119,119,0.5915966386554622,2025-01-08 08:34:50.730491,2025-01-08 08:34:57.084967,0 days 00:00:06.354476,7,1,5,40,30.0,,,,,,25.0,30.0,10.0,10.0,35.0,,,,COMPLETE
120,120,0.8688172043010753,2025-01-08 08:34:57.086046,2025-01-08 08:35:02.419461,0 days 00:00:05.333415,6,1,1,45,20.0,,,,,,15.0,35.0,20.0,15.0,,,,,COMPLETE
121,121,0.8608047690014903,2025-01-08 08:35:02.420637,2025-01-08 08:35:07.576711,0 days 00:00:05.156074,6,1,1,45,15.0,,,,,,10.0,35.0,20.0,15.0,,,,,COMPLETE
122,122,0.8849462365591398,2025-01-08 08:35:07.577753,2025-01-08 08:35:12.690529,0 days 00:00:05.112776,6,1,1,45,20.0,,,,,,10.0,35.0,15.0,10.0,,,,,COMPLETE
123,123,0.7833333333333334,2025-01-08 08:35:12.691612,2025-01-08 08:35:17.206275,0 days 00:00:04.514663,5,5,1,45,15.0,,,,,,15.0,35.0,15.0,,,,,,COMPLETE
124,124,0.8753417167851285,2025-01-08 08:35:17.207342,2025-01-08 08:35:22.359689,0 days 00:00:05.152347,6,1,1,50,20.0,,,,,,5.0,35.0,15.0,10.0,,,,,COMPLETE
125,125,0.8389926428975665,2025-01-08 08:35:22.360731,2025-01-08 08:35:27.644746,0 days 00:00:05.284015,6,1,1,50,20.0,,,,,,10.0,40.0,15.0,10.0,,,,,COMPLETE
126,126,0.8672064777327935,2025-01-08 08:35:27.645868,2025-01-08 08:35:32.278078,0 days 00:00:04.632210,5,1,1,50,20.0,,,,,,5.0,35.0,15.0,,,,,,COMPLETE
127,127,0.8926229508196721,2025-01-08 08:35:32.279039,2025-01-08 08:35:38.119854,0 days 00:00:05.840815,7,1,1,50,20.0,,,,,,10.0,30.0,15.0,5.0,30.0,,,,COMPLETE
