,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
54,54,0.8255684354794901,2025-01-08 07:20:50.895919,2025-01-08 07:20:55.582832,0 days 00:00:04.686913,3,9,1,50,25.0,,,,,,40.0,,,,,,,,COMPLETE
55,55,0.7507891694227098,2025-01-08 07:20:55.583383,2025-01-08 07:21:00.704413,0 days 00:00:05.121030,4,9,1,50,5.0,,,,,,40.0,30.0,,,,,,,COMPLETE
56,56,0.8182161094716289,2025-01-08 07:21:00.705147,2025-01-08 07:21:07.355581,0 days 00:00:06.650434,3,9,2,50,50.0,,,,,,45.0,,,,,,,,COMPLETE
57,57,0.5899682715444732,2025-01-08 07:21:07.356427,2025-01-08 07:21:13.495031,0 days 00:00:06.138604,5,9,1,50,15.0,,,,,,40.0,25.0,15.0,,,,,,COMPLETE
58,58,0.0,2025-01-08 07:21:13.495856,2025-01-08 07:21:26.743195,0 days 00:00:13.247339,15,5,2,30,25.0,5.0,15.0,50.0,50.0,5.0,50.0,50.0,35.0,35.0,45.0,30.0,15.0,5.0,COMPLETE
59,59,0.780564977933399,2025-01-08 07:21:26.744151,2025-01-08 07:21:29.178899,0 days 00:00:02.434748,1,3,1,45,,,,,,,,,,,,,,,COMPLETE
60,60,0.29054487179487176,2025-01-08 07:21:29.179507,2025-01-08 07:21:35.381623,0 days 00:00:06.202116,6,9,1,5,45.0,,,,,,30.0,20.0,10.0,20.0,,,,,COMPLETE
61,61,0.8284907798945028,2025-01-08 07:21:35.382299,2025-01-08 07:21:40.084033,0 days 00:00:04.701734,3,7,1,45,30.0,,,,,,45.0,,,,,,,,COMPLETE
62,62,0.7769575111563032,2025-01-08 07:21:40.084586,2025-01-08 07:21:44.711606,0 days 00:00:04.627020,4,7,1,15,25.0,,,,,,45.0,5.0,,,,,,,COMPLETE
63,63,0.8245940258190156,2025-01-08 07:21:44.712199,2025-01-08 07:21:49.455421,0 days 00:00:04.743222,3,7,1,35,35.0,,,,,,45.0,,,,,,,,COMPLETE
64,64,0.0,2025-01-08 07:21:49.456238,2025-01-08 07:21:58.291825,0 days 00:00:08.835587,11,5,1,40,10.0,40.0,,,,,35.0,15.0,45.0,45.0,30.0,10.0,40.0,30.0,COMPLETE
65,65,0.3269341077430814,2025-01-08 07:21:58.292780,2025-01-08 07:22:03.377319,0 days 00:00:05.084539,3,7,2,50,20.0,,,,,,40.0,,,,,,,,COMPLETE
66,66,0.8096692111959287,2025-01-08 07:22:03.378028,2025-01-08 07:22:06.626164,0 days 00:00:03.248136,2,3,1,45,10.0,,,,,,,,,,,,,,COMPLETE
67,67,0.7480983589856782,2025-01-08 07:22:06.626697,2025-01-08 07:22:11.671874,0 days 00:00:05.045177,3,1,1,50,30.0,,,,,,45.0,,,,,,,,COMPLETE
68,68,0.8303617975185069,2025-01-08 07:22:11.672708,2025-01-08 07:22:14.004247,0 days 00:00:02.331539,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
69,69,0.8303617975185069,2025-01-08 07:22:14.004761,2025-01-08 07:22:16.326966,0 days 00:00:02.322205,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
70,70,0.8303617975185069,2025-01-08 07:22:16.327463,2025-01-08 07:22:18.648305,0 days 00:00:02.320842,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
71,71,0.8303617975185069,2025-01-08 07:22:18.650658,2025-01-08 07:22:20.975716,0 days 00:00:02.325058,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
72,72,0.8303617975185069,2025-01-08 07:22:20.976179,2025-01-08 07:22:23.298946,0 days 00:00:02.322767,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
73,73,0.8303617975185069,2025-01-08 07:22:23.299414,2025-01-08 07:22:25.625135,0 days 00:00:02.325721,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
74,74,0.8303617975185069,2025-01-08 07:22:25.625621,2025-01-08 07:22:27.949358,0 days 00:00:02.323737,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
75,75,0.8285948527839168,2025-01-08 07:22:27.949821,2025-01-08 07:22:30.171852,0 days 00:00:02.222031,1,9,2,15,,,,,,,,,,,,,,,COMPLETE
76,76,0.575563909774436,2025-01-08 07:22:30.173687,2025-01-08 07:22:32.768408,0 days 00:00:02.594721,1,9,3,25,,,,,,,,,,,,,,,COMPLETE
77,77,0.8303617975185069,2025-01-08 07:22:32.768877,2025-01-08 07:22:35.096044,0 days 00:00:02.327167,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
78,78,0.8285948527839168,2025-01-08 07:22:35.096506,2025-01-08 07:22:37.317033,0 days 00:00:02.220527,1,9,2,15,,,,,,,,,,,,,,,COMPLETE
79,79,0.8303617975185069,2025-01-08 07:22:37.318875,2025-01-08 07:22:39.642286,0 days 00:00:02.323411,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
