,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
37,37,0.0,2024-12-29 14:05:20.292172,2024-12-29 14:08:10.211572,0 days 00:02:49.919400,16,10,2.0,5.0,6.0,14.0,15.0,12.0,1.0,,,,,14.0,15.0,3.0,3.0,9.0,11.0,15.0,11.0,200,200.0,180.0,5.0,95.0,5.0,15.0,180.0,,,,,190.0,5.0,80.0,115.0,140.0,145.0,155.0,60.0,COMPLETE
38,38,0.8548009367681498,2024-12-29 14:08:10.212391,2024-12-29 14:08:20.110041,0 days 00:00:09.897650,2,8,5.0,,,,,,,,,,,,,,,,,,,140,180.0,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.17197062423500611,2024-12-29 14:08:20.110397,2024-12-29 14:08:30.996317,0 days 00:00:10.885920,14,11,1.0,15.0,6.0,1.0,9.0,,,,,,,11.0,11.0,8.0,7.0,7.0,11.0,11.0,5.0,100,165.0,145.0,95.0,10.0,200.0,,,,,,,140.0,40.0,30.0,40.0,60.0,195.0,5.0,160.0,COMPLETE
40,40,0.37755102040816324,2024-12-29 14:08:30.997037,2024-12-29 14:08:58.214983,0 days 00:00:27.217946,4,12,2.0,,,,,,,,,,,10.0,14.0,,,,,,,130,180.0,,,,,,,,,,,155.0,90.0,,,,,,,COMPLETE
41,41,0.8709677419354839,2024-12-29 14:08:58.215405,2024-12-29 14:09:10.436778,0 days 00:00:12.221373,2,13,6.0,,,,,,,,,,,,,,,,,,,180,145.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.8688172043010753,2024-12-29 14:09:10.437291,2024-12-29 14:09:24.164871,0 days 00:00:13.727580,2,13,6.0,,,,,,,,,,,,,,,,,,,185,150.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.841639261320516,2024-12-29 14:09:24.165222,2024-12-29 14:09:33.000427,0 days 00:00:08.835205,1,8,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.8385416666666667,2024-12-29 14:09:33.000792,2024-12-29 14:09:40.268768,0 days 00:00:07.267976,2,10,2.0,,,,,,,,,,,,,,,,,,,175,140.0,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.4256410256410257,2024-12-29 14:09:40.269090,2024-12-29 14:10:34.128745,0 days 00:00:53.859655,5,13,5.0,,,,,,,,,,,13.0,9.0,13.0,,,,,,150,160.0,,,,,,,,,,,180.0,65.0,5.0,,,,,,COMPLETE
46,46,0.4771241830065359,2024-12-29 14:10:34.129394,2024-12-29 14:11:14.338808,0 days 00:00:40.209414,5,12,7.0,,,,,,,,,,,9.0,11.0,14.0,,,,,,170,175.0,,,,,,,,,,,150.0,25.0,180.0,,,,,,COMPLETE
