,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
22,22,0.6636363636363636,2025-01-02 23:17:08.262578,2025-01-02 23:17:09.611954,0 days 00:00:01.349376,1,25,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
23,23,0.5541176470588236,2025-01-02 23:17:09.612458,2025-01-02 23:17:15.554120,0 days 00:00:05.941662,3,10,90.0,,,,,,,,,,,80.0,,,,,,,,4,6.0,,,,,,,,,,,4.0,,,,,,,,2,4.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
24,24,0.0,2025-01-02 23:17:15.554875,2025-01-02 23:17:18.414604,0 days 00:00:02.859729,7,40,140.0,,,,,,,,,,,125.0,90.0,95.0,195.0,155.0,,,,3,4.0,,,,,,,,,,,2.0,4.0,5.0,5.0,4.0,,,,2,4.0,,,,,,,,,,,4.0,2.0,5.0,5.0,5.0,,,,COMPLETE
25,25,0.5378151260504201,2025-01-02 23:17:18.415681,2025-01-02 23:17:19.407104,0 days 00:00:00.991423,2,75,30.0,,,,,,,,,,,,,,,,,,,4,3.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.22267206477732793,2025-01-02 23:17:19.407651,2025-01-02 23:17:27.900450,0 days 00:00:08.492799,5,60,60.0,,,,,,,,,,,170.0,125.0,35.0,,,,,,5,5.0,,,,,,,,,,,5.0,5.0,3.0,,,,,,3,2.0,,,,,,,,,,,3.0,5.0,4.0,,,,,,COMPLETE
27,27,0.617872340425532,2025-01-02 23:17:27.901478,2025-01-02 23:17:34.842953,0 days 00:00:06.941475,4,5,135.0,,,,,,,,,,,185.0,160.0,,,,,,,4,6.0,,,,,,,,,,,4.0,3.0,,,,,,,2,3.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
28,28,0.4798089448545375,2025-01-02 23:17:34.843719,2025-01-02 23:17:39.797873,0 days 00:00:04.954154,2,25,90.0,,,,,,,,,,,,,,,,,,,6,2.0,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
29,29,0.4592728946157386,2025-01-02 23:17:39.798544,2025-01-02 23:17:53.533663,0 days 00:00:13.735119,8,115,170.0,,,,,,,,,,,90.0,40.0,135.0,30.0,45.0,10.0,,,5,4.0,,,,,,,,,,,2.0,4.0,5.0,4.0,4.0,3.0,,,4,4.0,,,,,,,,,,,5.0,4.0,6.0,2.0,6.0,6.0,,,COMPLETE
30,30,0.0,2025-01-02 23:17:53.535030,2025-01-02 23:17:56.536441,0 days 00:00:03.001411,5,35,55.0,,,,,,,,,,,140.0,115.0,5.0,,,,,,5,5.0,,,,,,,,,,,3.0,6.0,3.0,,,,,,3,2.0,,,,,,,,,,,3.0,6.0,5.0,,,,,,COMPLETE
31,31,0.6211474632527264,2025-01-02 23:17:56.537390,2025-01-02 23:17:58.089096,0 days 00:00:01.551706,1,55,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
