,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
23,23,0.7101885950228769,2025-01-02 23:06:22.809649,2025-01-02 23:06:27.197186,0 days 00:00:04.387537,3,160,165.0,,,,,,,,,,,165.0,,,,,,,,4,5.0,,,,,,,,,,,3.0,,,,,,,,3,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
24,24,0.7143462598008052,2025-01-02 23:06:27.197793,2025-01-02 23:06:38.461112,0 days 00:00:11.263319,5,155,90.0,,,,,,,,,,,75.0,40.0,40.0,,,,,,3,4.0,,,,,,,,,,,6.0,4.0,6.0,,,,,,2,4.0,,,,,,,,,,,3.0,4.0,3.0,,,,,,COMPLETE
25,25,0.7305311176278918,2025-01-02 23:06:38.461974,2025-01-02 23:06:39.187054,0 days 00:00:00.725080,1,170,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.6490254872563719,2025-01-02 23:06:39.187481,2025-01-02 23:06:44.363190,0 days 00:00:05.175709,3,140,120.0,,,,,,,,,,,130.0,,,,,,,,3,6.0,,,,,,,,,,,2.0,,,,,,,,2,6.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
27,27,0.0,2025-01-02 23:06:44.363868,2025-01-02 23:06:50.727265,0 days 00:00:06.363397,7,175,40.0,,,,,,,,,,,40.0,120.0,145.0,130.0,155.0,,,,4,3.0,,,,,,,,,,,4.0,6.0,4.0,5.0,3.0,,,,3,5.0,,,,,,,,,,,6.0,6.0,2.0,5.0,4.0,,,,COMPLETE
28,28,0.571696415179241,2025-01-02 23:06:50.728501,2025-01-02 23:06:57.258871,0 days 00:00:06.530370,4,125,175.0,,,,,,,,,,,125.0,160.0,,,,,,,3,5.0,,,,,,,,,,,5.0,5.0,,,,,,,4,3.0,,,,,,,,,,,3.0,5.0,,,,,,,COMPLETE
29,29,0.6666666666666666,2025-01-02 23:06:57.259670,2025-01-02 23:07:11.316756,0 days 00:00:14.057086,20,85,125.0,15.0,75.0,190.0,195.0,200.0,200.0,200.0,190.0,15.0,55.0,165.0,50.0,85.0,200.0,10.0,80.0,5.0,55.0,2,2.0,6.0,5.0,2.0,6.0,2.0,6.0,2.0,6.0,2.0,5.0,3.0,6.0,5.0,6.0,5.0,6.0,4.0,4.0,3,2.0,2.0,2.0,4.0,6.0,6.0,4.0,2.0,6.0,6.0,2.0,5.0,3.0,4.0,6.0,5.0,5.0,3.0,4.0,COMPLETE
30,30,0.0,2025-01-02 23:07:11.318722,2025-01-02 23:07:13.934335,0 days 00:00:02.615613,9,100,200.0,,,,,,,,,,,85.0,25.0,35.0,150.0,145.0,150.0,60.0,,3,6.0,,,,,,,,,,,4.0,2.0,3.0,2.0,4.0,4.0,3.0,,2,4.0,,,,,,,,,,,2.0,4.0,3.0,2.0,2.0,3.0,5.0,,COMPLETE
31,31,0.7528138528138528,2025-01-02 23:07:13.935359,2025-01-02 23:07:15.136470,0 days 00:00:01.201111,1,120,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.6606755997753351,2025-01-02 23:07:15.136930,2025-01-02 23:07:19.104900,0 days 00:00:03.967970,2,155,15.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.5914322250639386,2025-01-02 23:07:19.105435,2025-01-02 23:07:23.913984,0 days 00:00:04.808549,2,80,45.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.6838235294117647,2025-01-02 23:07:23.914593,2025-01-02 23:07:31.056462,0 days 00:00:07.141869,4,145,15.0,,,,,,,,,,,25.0,105.0,,,,,,,2,3.0,,,,,,,,,,,2.0,4.0,,,,,,,3,3.0,,,,,,,,,,,4.0,6.0,,,,,,,COMPLETE
35,35,0.7627922456111158,2025-01-02 23:07:31.057174,2025-01-02 23:07:33.166163,0 days 00:00:02.108989,1,105,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.7702479338842976,2025-01-02 23:07:33.166594,2025-01-02 23:07:35.525120,0 days 00:00:02.358526,2,65,180.0,,,,,,,,,,,,,,,,,,,3,5.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
