,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
26,26,0.0,2025-01-02 22:49:50.268485,2025-01-02 22:50:24.434077,0 days 00:00:34.165592,11,180,165.0,40.0,,,,,,,,,,120.0,185.0,100.0,100.0,35.0,115.0,105.0,185.0,2,5.0,4.0,,,,,,,,,,6.0,3.0,5.0,2.0,4.0,6.0,4.0,3.0,5,5.0,4.0,,,,,,,,,,4.0,2.0,2.0,5.0,6.0,5.0,4.0,4.0,COMPLETE
27,27,0.0,2025-01-02 22:50:24.436943,2025-01-02 22:50:37.019862,0 days 00:00:12.582919,18,130,25.0,65.0,140.0,140.0,135.0,105.0,15.0,10.0,200.0,,,80.0,30.0,70.0,180.0,80.0,30.0,180.0,140.0,3,6.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,,,5.0,6.0,6.0,3.0,4.0,5.0,5.0,4.0,6,4.0,6.0,6.0,5.0,4.0,6.0,3.0,5.0,4.0,,,5.0,3.0,4.0,3.0,4.0,6.0,3.0,3.0,COMPLETE
28,28,0.0,2025-01-02 22:50:37.023049,2025-01-02 22:50:47.807697,0 days 00:00:10.784648,14,90,80.0,110.0,65.0,170.0,100.0,,,,,,,150.0,75.0,30.0,135.0,120.0,160.0,45.0,55.0,4,4.0,5.0,3.0,2.0,3.0,,,,,,,6.0,2.0,4.0,5.0,5.0,3.0,3.0,5.0,5,5.0,3.0,5.0,4.0,2.0,,,,,,,3.0,2.0,3.0,6.0,4.0,6.0,5.0,3.0,COMPLETE
29,29,0.24444444444444444,2025-01-02 22:50:47.809649,2025-01-02 22:51:20.087228,0 days 00:00:32.277579,9,105,50.0,,,,,,,,,,,45.0,130.0,110.0,120.0,140.0,100.0,75.0,,2,4.0,,,,,,,,,,,3.0,5.0,5.0,2.0,6.0,4.0,6.0,,6,6.0,,,,,,,,,,,6.0,6.0,5.0,5.0,5.0,5.0,6.0,,COMPLETE
30,30,0.0,2025-01-02 22:51:20.090292,2025-01-02 22:51:28.545213,0 days 00:00:08.454921,20,140,115.0,25.0,25.0,90.0,160.0,175.0,165.0,55.0,140.0,90.0,200.0,5.0,145.0,165.0,145.0,45.0,70.0,30.0,90.0,3,3.0,2.0,2.0,4.0,4.0,5.0,2.0,2.0,3.0,2.0,6.0,4.0,3.0,3.0,3.0,4.0,6.0,5.0,5.0,6,4.0,5.0,6.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,2.0,3.0,4.0,6.0,6.0,3.0,5.0,2.0,COMPLETE
31,31,0.0,2025-01-02 22:51:28.547840,2025-01-02 22:51:40.780467,0 days 00:00:12.232627,20,125,110.0,25.0,25.0,200.0,170.0,145.0,150.0,65.0,25.0,185.0,200.0,105.0,175.0,125.0,115.0,5.0,95.0,175.0,160.0,3,3.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,6.0,5.0,6.0,5.0,2.0,5.0,3.0,6.0,6.0,6.0,4.0,6,5.0,3.0,5.0,6.0,3.0,3.0,4.0,5.0,6.0,6.0,5.0,4.0,2.0,4.0,5.0,6.0,4.0,5.0,3.0,COMPLETE
32,32,0.6666666666666666,2025-01-02 22:51:40.783708,2025-01-02 22:51:49.944389,0 days 00:00:09.160681,18,115,100.0,35.0,40.0,175.0,125.0,175.0,125.0,80.0,40.0,,,100.0,185.0,135.0,130.0,20.0,120.0,155.0,175.0,2,3.0,2.0,2.0,3.0,2.0,5.0,5.0,3.0,6.0,,,5.0,2.0,5.0,2.0,6.0,6.0,6.0,4.0,6,5.0,4.0,5.0,6.0,2.0,2.0,5.0,6.0,5.0,,,4.0,2.0,4.0,6.0,6.0,4.0,6.0,3.0,COMPLETE
33,33,0.0,2025-01-02 22:51:49.947162,2025-01-02 22:51:55.152587,0 days 00:00:05.205425,16,155,90.0,5.0,5.0,170.0,175.0,135.0,170.0,,,,,120.0,200.0,130.0,90.0,25.0,90.0,200.0,195.0,4,3.0,2.0,2.0,3.0,3.0,5.0,3.0,,,,,5.0,2.0,5.0,2.0,5.0,6.0,6.0,4.0,5,5.0,3.0,4.0,6.0,3.0,3.0,3.0,,,,,4.0,2.0,4.0,5.0,6.0,4.0,5.0,4.0,COMPLETE
34,34,0.6666666666666666,2025-01-02 22:51:55.154788,2025-01-02 22:52:04.519096,0 days 00:00:09.364308,19,185,80.0,45.0,75.0,125.0,125.0,175.0,100.0,40.0,70.0,195.0,,90.0,170.0,95.0,165.0,35.0,70.0,180.0,175.0,3,2.0,3.0,3.0,4.0,2.0,6.0,5.0,4.0,3.0,4.0,,5.0,2.0,6.0,3.0,6.0,5.0,5.0,3.0,5,4.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,,5.0,2.0,3.0,6.0,5.0,3.0,6.0,3.0,COMPLETE
35,35,0.0,2025-01-02 22:52:04.521740,2025-01-02 22:52:43.148736,0 days 00:00:38.626996,15,120,145.0,25.0,20.0,30.0,80.0,195.0,,,,,,75.0,155.0,70.0,80.0,5.0,145.0,150.0,175.0,2,3.0,2.0,4.0,2.0,3.0,3.0,,,,,,6.0,4.0,5.0,2.0,5.0,6.0,6.0,4.0,6,2.0,5.0,6.0,6.0,3.0,5.0,,,,,,3.0,2.0,3.0,4.0,6.0,6.0,5.0,2.0,COMPLETE
36,36,0.0,2025-01-02 22:52:43.150707,2025-01-02 22:52:55.179741,0 days 00:00:12.029034,20,160,60.0,20.0,125.0,100.0,140.0,75.0,140.0,95.0,90.0,80.0,190.0,110.0,185.0,200.0,125.0,60.0,50.0,185.0,125.0,2,5.0,3.0,2.0,4.0,2.0,5.0,3.0,2.0,5.0,4.0,6.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4,6.0,6.0,6.0,5.0,2.0,3.0,4.0,5.0,2.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,COMPLETE
37,37,0.6666666666666666,2025-01-02 22:52:55.182821,2025-01-02 22:53:17.961101,0 days 00:00:22.778280,17,140,40.0,135.0,40.0,65.0,175.0,125.0,170.0,10.0,,,,45.0,115.0,110.0,185.0,25.0,100.0,165.0,200.0,3,6.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,,,,5.0,4.0,4.0,3.0,6.0,6.0,4.0,4.0,6,5.0,6.0,5.0,6.0,4.0,5.0,3.0,6.0,,,,5.0,2.0,4.0,6.0,6.0,6.0,4.0,3.0,COMPLETE
38,38,0.0,2025-01-02 22:53:17.964219,2025-01-02 22:53:46.992601,0 days 00:00:29.028382,13,170,35.0,65.0,155.0,155.0,,,,,,,,175.0,55.0,5.0,145.0,175.0,25.0,95.0,150.0,2,2.0,5.0,2.0,3.0,,,,,,,,6.0,2.0,5.0,3.0,2.0,6.0,5.0,3.0,4,3.0,5.0,3.0,5.0,,,,,,,,5.0,3.0,3.0,4.0,5.0,5.0,6.0,4.0,COMPLETE
39,39,0.0,2025-01-02 22:53:46.995393,2025-01-02 22:53:57.463822,0 days 00:00:10.468429,19,90,20.0,15.0,80.0,125.0,200.0,160.0,115.0,155.0,160.0,140.0,,130.0,30.0,75.0,105.0,75.0,80.0,75.0,180.0,4,3.0,2.0,2.0,6.0,4.0,6.0,5.0,4.0,5.0,5.0,,4.0,3.0,6.0,2.0,3.0,5.0,6.0,4.0,5,6.0,6.0,4.0,6.0,3.0,3.0,5.0,4.0,4.0,5.0,,4.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,COMPLETE
40,40,0.6666666666666666,2025-01-02 22:53:57.466249,2025-01-02 22:54:04.665726,0 days 00:00:07.199477,17,70,80.0,50.0,15.0,185.0,115.0,185.0,85.0,35.0,,,,25.0,70.0,55.0,190.0,105.0,200.0,115.0,55.0,5,4.0,3.0,3.0,5.0,2.0,5.0,3.0,3.0,,,,4.0,2.0,6.0,2.0,6.0,6.0,2.0,5.0,6,5.0,4.0,6.0,5.0,4.0,2.0,2.0,3.0,,,,4.0,4.0,6.0,4.0,6.0,4.0,6.0,2.0,COMPLETE
41,41,0.0,2025-01-02 22:54:04.667902,2025-01-02 22:54:14.764399,0 days 00:00:10.096497,18,110,100.0,35.0,40.0,170.0,85.0,165.0,125.0,85.0,40.0,,,100.0,185.0,140.0,130.0,20.0,120.0,165.0,165.0,2,3.0,2.0,2.0,3.0,2.0,5.0,5.0,3.0,6.0,,,5.0,2.0,5.0,2.0,6.0,6.0,6.0,4.0,6,5.0,4.0,5.0,6.0,2.0,2.0,6.0,6.0,5.0,,,4.0,2.0,4.0,6.0,6.0,4.0,6.0,3.0,COMPLETE
42,42,0.0,2025-01-02 22:54:14.766510,2025-01-02 22:54:26.001743,0 days 00:00:11.235233,20,135,100.0,35.0,40.0,185.0,125.0,170.0,150.0,80.0,50.0,55.0,140.0,95.0,175.0,135.0,110.0,45.0,130.0,190.0,180.0,2,3.0,2.0,2.0,3.0,2.0,4.0,5.0,2.0,6.0,3.0,5.0,5.0,2.0,5.0,2.0,6.0,6.0,6.0,4.0,6,5.0,4.0,5.0,6.0,2.0,2.0,5.0,6.0,5.0,6.0,4.0,4.0,2.0,4.0,6.0,6.0,4.0,6.0,3.0,COMPLETE
43,43,0.0,2025-01-02 22:54:26.004375,2025-01-02 22:55:18.147848,0 days 00:00:52.143473,18,120,125.0,55.0,195.0,155.0,145.0,185.0,125.0,70.0,15.0,,,115.0,190.0,120.0,155.0,5.0,165.0,165.0,150.0,2,2.0,2.0,2.0,2.0,2.0,6.0,4.0,3.0,5.0,,,5.0,2.0,5.0,2.0,6.0,6.0,6.0,3.0,5,6.0,4.0,5.0,6.0,2.0,3.0,4.0,5.0,6.0,,,5.0,2.0,4.0,6.0,2.0,4.0,5.0,3.0,COMPLETE
