,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
29,29,0.5073131094257854,2025-01-02 22:36:06.698126,2025-01-02 22:36:23.833084,0 days 00:00:17.134958,7,165,60.0,,,,,,,,,,,170.0,75.0,125.0,65.0,105.0,,,,3,6.0,,,,,,,,,,,6.0,6.0,3.0,4.0,4.0,,,,6,2.0,,,,,,,,,,,6.0,4.0,2.0,3.0,2.0,,,,COMPLETE
30,30,0.850108225108225,2025-01-02 22:36:23.834749,2025-01-02 22:36:26.621021,0 days 00:00:02.786272,2,90,90.0,,,,,,,,,,,,,,,,,,,6,5.0,,,,,,,,,,,,,,,,,,,6,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.8064516129032258,2025-01-02 22:36:26.622030,2025-01-02 22:36:32.280022,0 days 00:00:05.657992,2,95,95.0,,,,,,,,,,,,,,,,,,,6,5.0,,,,,,,,,,,,,,,,,,,6,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.0,2025-01-02 22:36:32.280965,2025-01-02 22:36:34.420120,0 days 00:00:02.139155,5,95,30.0,,,,,,,,,,,80.0,90.0,145.0,,,,,,6,5.0,,,,,,,,,,,3.0,4.0,5.0,,,,,,6,2.0,,,,,,,,,,,3.0,3.0,4.0,,,,,,COMPLETE
33,33,0.8225352112676056,2025-01-02 22:36:34.421377,2025-01-02 22:36:39.863321,0 days 00:00:05.441944,2,160,60.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,6,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.0,2025-01-02 22:36:39.864230,2025-01-02 22:36:41.730687,0 days 00:00:01.866457,4,105,120.0,,,,,,,,,,,25.0,200.0,,,,,,,5,5.0,,,,,,,,,,,4.0,5.0,,,,,,,5,2.0,,,,,,,,,,,4.0,5.0,,,,,,,COMPLETE
35,35,0.0,2025-01-02 22:36:41.731832,2025-01-02 22:36:44.498898,0 days 00:00:02.767066,6,45,150.0,,,,,,,,,,,125.0,125.0,100.0,125.0,,,,,6,6.0,,,,,,,,,,,5.0,3.0,4.0,5.0,,,,,5,2.0,,,,,,,,,,,5.0,4.0,4.0,5.0,,,,,COMPLETE
36,36,0.7643097643097643,2025-01-02 22:36:44.500524,2025-01-02 22:36:47.739929,0 days 00:00:03.239405,2,85,180.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
37,37,0.0,2025-01-02 22:36:47.740687,2025-01-02 22:36:53.541595,0 days 00:00:05.800908,9,145,75.0,,,,,,,,,,,50.0,30.0,180.0,5.0,65.0,15.0,125.0,,6,4.0,,,,,,,,,,,6.0,4.0,6.0,6.0,3.0,5.0,3.0,,6,2.0,,,,,,,,,,,6.0,6.0,5.0,4.0,5.0,5.0,5.0,,COMPLETE
38,38,0.0,2025-01-02 22:36:53.544133,2025-01-02 22:36:56.114931,0 days 00:00:02.570798,7,130,105.0,,,,,,,,,,,40.0,60.0,45.0,170.0,130.0,,,,4,4.0,,,,,,,,,,,4.0,6.0,3.0,3.0,4.0,,,,4,5.0,,,,,,,,,,,4.0,3.0,3.0,3.0,3.0,,,,COMPLETE
