,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
30,30,0.2690450942836845,2025-01-02 21:48:24.704961,2025-01-02 21:49:30.505099,0 days 00:01:05.800138,10,75,180.0,,,,,,,,,,,145.0,35.0,195.0,5.0,5.0,110.0,150.0,140.0,3,6.0,,,,,,,,,,,5.0,5.0,5.0,6.0,2.0,3.0,4.0,3.0,2,5.0,,,,,,,,,,,3.0,4.0,2.0,4.0,4.0,3.0,6.0,5.0,COMPLETE
31,31,0.0,2025-01-02 21:49:30.506997,2025-01-02 21:49:39.904549,0 days 00:00:09.397552,2,45,110.0,,,,,,,,,,,,,,,,,,,2,5.0,,,,,,,,,,,,,,,,,,,2,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.6666666624749442,2025-01-02 21:49:39.905100,2025-01-02 21:49:52.041159,0 days 00:00:12.136059,4,50,145.0,,,,,,,,,,,185.0,85.0,,,,,,,3,6.0,,,,,,,,,,,6.0,6.0,,,,,,,3,6.0,,,,,,,,,,,4.0,3.0,,,,,,,COMPLETE
33,33,0.8101325798527923,2025-01-02 21:49:52.042162,2025-01-02 21:49:53.831403,0 days 00:00:01.789241,1,30,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.8647197027956659,2025-01-02 21:49:53.831887,2025-01-02 21:50:12.545422,0 days 00:00:18.713535,4,10,125.0,,,,,,,,,,,165.0,90.0,,,,,,,2,5.0,,,,,,,,,,,4.0,4.0,,,,,,,3,5.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
35,35,0.8677661958899301,2025-01-02 21:50:12.546243,2025-01-02 21:50:31.354423,0 days 00:00:18.808180,4,10,120.0,,,,,,,,,,,165.0,85.0,,,,,,,2,5.0,,,,,,,,,,,4.0,4.0,,,,,,,3,5.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
36,36,0.8485830285292049,2025-01-02 21:50:31.355358,2025-01-02 21:50:59.173515,0 days 00:00:27.818157,6,10,120.0,,,,,,,,,,,115.0,125.0,125.0,140.0,,,,,2,5.0,,,,,,,,,,,3.0,4.0,2.0,5.0,,,,,3,5.0,,,,,,,,,,,2.0,2.0,4.0,3.0,,,,,COMPLETE
37,37,0.8275215662798552,2025-01-02 21:50:59.174454,2025-01-02 21:51:34.615225,0 days 00:00:35.440771,7,10,120.0,,,,,,,,,,,140.0,125.0,120.0,130.0,70.0,,,,2,5.0,,,,,,,,,,,3.0,4.0,2.0,5.0,6.0,,,,3,5.0,,,,,,,,,,,2.0,2.0,4.0,3.0,2.0,,,,COMPLETE
38,38,0.6223864368361658,2025-01-02 21:51:34.616346,2025-01-02 21:52:09.629683,0 days 00:00:35.013337,6,5,90.0,,,,,,,,,,,155.0,100.0,155.0,160.0,,,,,2,5.0,,,,,,,,,,,4.0,4.0,4.0,5.0,,,,,4,5.0,,,,,,,,,,,2.0,2.0,5.0,3.0,,,,,COMPLETE
39,39,0.0,2025-01-02 21:52:09.630973,2025-01-02 21:53:35.737181,0 days 00:01:26.106208,11,15,135.0,200.0,,,,,,,,,,120.0,95.0,115.0,105.0,140.0,145.0,100.0,200.0,2,4.0,5.0,,,,,,,,,,3.0,4.0,3.0,6.0,4.0,4.0,3.0,5.0,4,5.0,5.0,,,,,,,,,,2.0,3.0,3.0,4.0,6.0,2.0,3.0,3.0,COMPLETE
