,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
30,30,0.0,2025-01-02 22:25:17.737414,2025-01-02 22:25:22.269514,0 days 00:00:04.532100,8,90,150.0,,,,,,,,,,,25.0,175.0,40.0,60.0,55.0,5.0,,,4,4.0,,,,,,,,,,,2.0,5.0,6.0,2.0,3.0,3.0,,,2,4.0,,,,,,,,,,,4.0,4.0,4.0,6.0,3.0,3.0,,,COMPLETE
31,31,0.6563102762693255,2025-01-02 22:25:22.270891,2025-01-02 22:25:35.099390,0 days 00:00:12.828499,5,165,145.0,,,,,,,,,,,70.0,155.0,35.0,,,,,,3,4.0,,,,,,,,,,,5.0,4.0,6.0,,,,,,2,3.0,,,,,,,,,,,3.0,5.0,5.0,,,,,,COMPLETE
32,32,0.749847174919221,2025-01-02 22:25:35.100617,2025-01-02 22:25:41.000273,0 days 00:00:05.899656,3,185,120.0,,,,,,,,,,,35.0,,,,,,,,4,3.0,,,,,,,,,,,6.0,,,,,,,,2,3.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
33,33,0.0,2025-01-02 22:25:41.001241,2025-01-02 22:25:43.236671,0 days 00:00:02.235430,9,140,170.0,,,,,,,,,,,105.0,115.0,55.0,105.0,120.0,50.0,200.0,,3,5.0,,,,,,,,,,,5.0,3.0,4.0,3.0,3.0,3.0,4.0,,3,2.0,,,,,,,,,,,3.0,3.0,4.0,5.0,4.0,3.0,3.0,,COMPLETE
34,34,0.0,2025-01-02 22:25:43.237991,2025-01-02 22:25:46.241167,0 days 00:00:03.003176,7,190,135.0,,,,,,,,,,,70.0,150.0,100.0,40.0,50.0,,,,3,4.0,,,,,,,,,,,6.0,4.0,4.0,2.0,4.0,,,,2,3.0,,,,,,,,,,,2.0,4.0,4.0,6.0,2.0,,,,COMPLETE
35,35,0.7187660010240655,2025-01-02 22:25:46.242432,2025-01-02 22:25:54.646342,0 days 00:00:08.403910,4,160,115.0,,,,,,,,,,,5.0,175.0,,,,,,,2,4.0,,,,,,,,,,,5.0,2.0,,,,,,,4,5.0,,,,,,,,,,,3.0,5.0,,,,,,,COMPLETE
36,36,0.7718744855483173,2025-01-02 22:25:54.647322,2025-01-02 22:26:01.304910,0 days 00:00:06.657588,2,120,130.0,,,,,,,,,,,,,,,,,,,6,5.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
37,37,0.7078444154715341,2025-01-02 22:26:01.305736,2025-01-02 22:26:09.200456,0 days 00:00:07.894720,2,120,90.0,,,,,,,,,,,,,,,,,,,6,5.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.0,2025-01-02 22:26:09.201360,2025-01-02 22:26:17.420618,0 days 00:00:08.219258,13,110,130.0,145.0,10.0,135.0,,,,,,,,35.0,85.0,120.0,25.0,85.0,200.0,145.0,5.0,5,3.0,4.0,6.0,2.0,,,,,,,,4.0,5.0,6.0,3.0,5.0,6.0,4.0,6.0,6,4.0,4.0,2.0,2.0,,,,,,,,6.0,3.0,5.0,4.0,4.0,6.0,4.0,4.0,COMPLETE
39,39,0.0,2025-01-02 22:26:17.423657,2025-01-02 22:26:20.775568,0 days 00:00:03.351911,11,80,160.0,60.0,,,,,,,,,,175.0,30.0,20.0,65.0,30.0,80.0,125.0,85.0,6,4.0,5.0,,,,,,,,,,4.0,6.0,3.0,2.0,3.0,2.0,5.0,2.0,3,4.0,4.0,,,,,,,,,,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,COMPLETE
40,40,0.6666666666666666,2025-01-02 22:26:20.777261,2025-01-02 22:26:31.177453,0 days 00:00:10.400192,17,35,105.0,150.0,60.0,5.0,195.0,200.0,195.0,200.0,,,,120.0,200.0,85.0,105.0,5.0,35.0,5.0,165.0,6,5.0,5.0,3.0,4.0,2.0,6.0,6.0,2.0,,,,3.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,4,5.0,3.0,5.0,6.0,6.0,2.0,4.0,6.0,,,,5.0,4.0,6.0,5.0,3.0,4.0,4.0,5.0,COMPLETE
41,41,0.7762730252351229,2025-01-02 22:26:31.179543,2025-01-02 22:26:37.520262,0 days 00:00:06.340719,2,190,135.0,,,,,,,,,,,,,,,,,,,5,6.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
