,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
27,27,0.0,2025-01-02 23:33:45.944632,2025-01-02 23:34:01.900482,0 days 00:00:15.955850,19,160,125.0,10.0,65.0,200.0,95.0,175.0,5.0,200.0,5.0,195.0,,80.0,80.0,55.0,45.0,130.0,50.0,150.0,150.0,6,4.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,,5.0,3.0,6.0,6.0,2.0,4.0,5.0,4.0,4,3.0,2.0,4.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,COMPLETE
28,28,0.027321237730794045,2025-01-02 23:34:01.902695,2025-01-02 23:34:39.241853,0 days 00:00:37.339158,8,100,105.0,,,,,,,,,,,25.0,165.0,110.0,130.0,35.0,160.0,,,5,6.0,,,,,,,,,,,3.0,5.0,5.0,3.0,6.0,3.0,,,3,2.0,,,,,,,,,,,3.0,3.0,3.0,5.0,4.0,5.0,,,COMPLETE
29,29,0.8375257440459132,2025-01-02 23:34:39.243356,2025-01-02 23:34:56.722099,0 days 00:00:17.478743,3,175,180.0,,,,,,,,,,,65.0,,,,,,,,6,5.0,,,,,,,,,,,4.0,,,,,,,,2,3.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
30,30,0.8342819513017147,2025-01-02 23:34:56.722858,2025-01-02 23:35:10.781100,0 days 00:00:14.058242,4,50,140.0,,,,,,,,,,,170.0,115.0,,,,,,,5,6.0,,,,,,,,,,,3.0,4.0,,,,,,,3,2.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
31,31,0.8568558240564756,2025-01-02 23:35:10.781941,2025-01-02 23:35:40.105383,0 days 00:00:29.323442,5,140,185.0,,,,,,,,,,,50.0,135.0,145.0,,,,,,6,6.0,,,,,,,,,,,3.0,3.0,6.0,,,,,,3,3.0,,,,,,,,,,,4.0,3.0,3.0,,,,,,COMPLETE
32,32,0.0,2025-01-02 23:35:40.106126,2025-01-02 23:35:45.325828,0 days 00:00:05.219702,6,125,175.0,,,,,,,,,,,50.0,105.0,135.0,5.0,,,,,6,6.0,,,,,,,,,,,4.0,3.0,6.0,5.0,,,,,4,4.0,,,,,,,,,,,4.0,3.0,3.0,3.0,,,,,COMPLETE
33,33,0.7773910688433283,2025-01-02 23:35:45.327087,2025-01-02 23:36:01.426034,0 days 00:00:16.098947,2,150,160.0,,,,,,,,,,,,,,,,,,,6,5.0,,,,,,,,,,,,,,,,,,,4,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.8802685569474245,2025-01-02 23:36:01.426737,2025-01-02 23:36:36.133941,0 days 00:00:34.707204,6,125,185.0,,,,,,,,,,,25.0,130.0,160.0,180.0,,,,,6,5.0,,,,,,,,,,,3.0,4.0,6.0,6.0,,,,,3,3.0,,,,,,,,,,,4.0,4.0,2.0,2.0,,,,,COMPLETE
35,35,0.7915695202518856,2025-01-02 23:36:36.135028,2025-01-02 23:37:08.248879,0 days 00:00:32.113851,7,85,190.0,,,,,,,,,,,15.0,55.0,170.0,185.0,75.0,,,,5,5.0,,,,,,,,,,,3.0,4.0,6.0,6.0,4.0,,,,2,3.0,,,,,,,,,,,5.0,4.0,2.0,2.0,3.0,,,,COMPLETE
36,36,0.8540468119279515,2025-01-02 23:37:08.250030,2025-01-02 23:37:42.748124,0 days 00:00:34.498094,8,115,165.0,,,,,,,,,,,30.0,160.0,90.0,140.0,170.0,100.0,,,6,4.0,,,,,,,,,,,2.0,5.0,5.0,5.0,3.0,4.0,,,3,2.0,,,,,,,,,,,3.0,4.0,2.0,4.0,5.0,2.0,,,COMPLETE
