,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
21,21,0.0,2025-01-02 23:56:23.869298,2025-01-02 23:56:35.937211,0 days 00:00:12.067913,4,120,190.0,,,,,,,,,,,120.0,40.0,,,,,,,5,6.0,,,,,,,,,,,3.0,5.0,,,,,,,2,6.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
22,22,0.9524560788438317,2025-01-02 23:56:35.938056,2025-01-02 23:56:38.146335,0 days 00:00:02.208279,1,150,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
23,23,0.9312223675197708,2025-01-02 23:56:38.146787,2025-01-02 23:56:48.557818,0 days 00:00:10.411031,5,115,180.0,,,,,,,,,,,135.0,80.0,5.0,,,,,,4,6.0,,,,,,,,,,,3.0,4.0,4.0,,,,,,3,6.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,COMPLETE
24,24,0.9400807848320496,2025-01-02 23:56:48.558633,2025-01-02 23:56:57.469041,0 days 00:00:08.910408,3,50,150.0,,,,,,,,,,,200.0,,,,,,,,6,6.0,,,,,,,,,,,4.0,,,,,,,,2,5.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
25,25,0.9417741564852421,2025-01-02 23:56:57.469791,2025-01-02 23:57:03.477973,0 days 00:00:06.008182,2,85,170.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,3,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.94362725544622,2025-01-02 23:57:03.478626,2025-01-02 23:57:18.887528,0 days 00:00:15.408902,5,110,85.0,,,,,,,,,,,100.0,15.0,120.0,,,,,,6,6.0,,,,,,,,,,,3.0,5.0,5.0,,,,,,2,5.0,,,,,,,,,,,4.0,3.0,5.0,,,,,,COMPLETE
27,27,0.0,2025-01-02 23:57:18.888605,2025-01-02 23:57:40.605267,0 days 00:00:21.716662,8,130,110.0,,,,,,,,,,,150.0,30.0,30.0,35.0,60.0,55.0,,,5,5.0,,,,,,,,,,,4.0,6.0,3.0,4.0,4.0,3.0,,,6,4.0,,,,,,,,,,,3.0,4.0,3.0,2.0,5.0,3.0,,,COMPLETE
28,28,0.0,2025-01-02 23:57:40.606666,2025-01-02 23:57:44.984539,0 days 00:00:04.377873,12,55,200.0,200.0,95.0,,,,,,,,,85.0,70.0,70.0,95.0,125.0,145.0,65.0,55.0,4,4.0,6.0,4.0,,,,,,,,,2.0,3.0,2.0,6.0,3.0,5.0,2.0,3.0,3,2.0,4.0,4.0,,,,,,,,,2.0,2.0,5.0,4.0,6.0,5.0,4.0,6.0,COMPLETE
29,29,0.925004722274692,2025-01-02 23:57:44.986163,2025-01-02 23:57:49.215520,0 days 00:00:04.229357,1,80,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
30,30,0.9499582761312552,2025-01-02 23:57:49.216055,2025-01-02 23:58:01.849864,0 days 00:00:12.633809,5,105,135.0,,,,,,,,,,,115.0,25.0,115.0,,,,,,5,6.0,,,,,,,,,,,4.0,5.0,6.0,,,,,,2,4.0,,,,,,,,,,,3.0,4.0,2.0,,,,,,COMPLETE
31,31,0.9411118090452262,2025-01-02 23:58:01.850803,2025-01-02 23:58:04.179930,0 days 00:00:02.329127,1,145,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.9075760792456542,2025-01-02 23:58:04.180410,2025-01-02 23:58:09.385924,0 days 00:00:05.205514,2,155,120.0,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,,,,,,,,,,,2,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.9081101505350342,2025-01-02 23:58:09.386469,2025-01-02 23:58:14.907041,0 days 00:00:05.520572,2,175,65.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,2,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.9474537977395534,2025-01-02 23:58:14.907607,2025-01-02 23:58:23.141146,0 days 00:00:08.233539,4,130,95.0,,,,,,,,,,,55.0,50.0,,,,,,,6,4.0,,,,,,,,,,,5.0,4.0,,,,,,,2,3.0,,,,,,,,,,,2.0,3.0,,,,,,,COMPLETE
35,35,0.9507093762737227,2025-01-02 23:58:23.141906,2025-01-02 23:58:25.815036,0 days 00:00:02.673130,1,145,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.9327530046051893,2025-01-02 23:58:25.815507,2025-01-02 23:58:34.962075,0 days 00:00:09.146568,3,175,30.0,,,,,,,,,,,95.0,,,,,,,,6,6.0,,,,,,,,,,,3.0,,,,,,,,2,5.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
37,37,0.0,2025-01-02 23:58:34.962820,2025-01-02 23:58:36.712932,0 days 00:00:01.750112,6,95,165.0,,,,,,,,,,,120.0,90.0,35.0,130.0,,,,,5,4.0,,,,,,,,,,,4.0,2.0,4.0,2.0,,,,,3,3.0,,,,,,,,,,,3.0,2.0,4.0,5.0,,,,,COMPLETE
38,38,0.9183700031526307,2025-01-02 23:58:36.713697,2025-01-02 23:58:41.606484,0 days 00:00:04.892787,2,120,185.0,,,,,,,,,,,,,,,,,,,6,3.0,,,,,,,,,,,,,,,,,,,5,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.0,2025-01-02 23:58:41.607107,2025-01-02 23:59:04.087183,0 days 00:00:22.480076,7,200,150.0,,,,,,,,,,,170.0,30.0,80.0,85.0,170.0,,,,5,5.0,,,,,,,,,,,6.0,4.0,5.0,5.0,5.0,,,,6,4.0,,,,,,,,,,,3.0,3.0,4.0,3.0,2.0,,,,COMPLETE
40,40,0.0,2025-01-02 23:59:04.088571,2025-01-02 23:59:04.943169,0 days 00:00:00.854598,4,160,30.0,,,,,,,,,,,35.0,65.0,,,,,,,3,2.0,,,,,,,,,,,2.0,6.0,,,,,,,3,5.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
41,41,0.9494346233476668,2025-01-02 23:59:04.943846,2025-01-02 23:59:08.278042,0 days 00:00:03.334196,1,100,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.9436591826125702,2025-01-02 23:59:08.278521,2025-01-02 23:59:11.702652,0 days 00:00:03.424131,1,90,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.9331046826994963,2025-01-02 23:59:11.703157,2025-01-02 23:59:20.772489,0 days 00:00:09.069332,3,60,120.0,,,,,,,,,,,145.0,,,,,,,,6,6.0,,,,,,,,,,,5.0,,,,,,,,2,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
44,44,0.9261913788641958,2025-01-02 23:59:20.773320,2025-01-02 23:59:24.134849,0 days 00:00:03.361529,2,105,75.0,,,,,,,,,,,,,,,,,,,6,3.0,,,,,,,,,,,,,,,,,,,2,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.0,2025-01-02 23:59:24.135459,2025-01-02 23:59:28.805591,0 days 00:00:04.670132,15,130,110.0,15.0,115.0,70.0,10.0,200.0,,,,,,40.0,105.0,105.0,35.0,75.0,95.0,50.0,70.0,4,5.0,2.0,4.0,6.0,3.0,2.0,,,,,,3.0,3.0,3.0,2.0,4.0,3.0,5.0,6.0,3,4.0,4.0,3.0,2.0,2.0,2.0,,,,,,6.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,COMPLETE
46,46,0.9509618573797678,2025-01-02 23:59:28.806696,2025-01-02 23:59:40.848794,0 days 00:00:12.042098,5,140,155.0,,,,,,,,,,,60.0,145.0,165.0,,,,,,5,4.0,,,,,,,,,,,4.0,5.0,6.0,,,,,,5,3.0,,,,,,,,,,,3.0,3.0,2.0,,,,,,COMPLETE
47,47,0.938612608647816,2025-01-02 23:59:40.849717,2025-01-02 23:59:46.700965,0 days 00:00:05.851248,2,90,45.0,,,,,,,,,,,,,,,,,,,6,6.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.9452263723825693,2025-01-02 23:59:46.701549,2025-01-02 23:59:53.168109,0 days 00:00:06.466560,3,80,195.0,,,,,,,,,,,190.0,,,,,,,,3,5.0,,,,,,,,,,,5.0,,,,,,,,2,5.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
49,49,0.0,2025-01-02 23:59:53.168714,2025-01-03 00:00:10.080808,0 days 00:00:16.912094,7,185,145.0,,,,,,,,,,,170.0,45.0,5.0,5.0,120.0,,,,5,3.0,,,,,,,,,,,6.0,6.0,2.0,4.0,2.0,,,,3,3.0,,,,,,,,,,,4.0,3.0,5.0,4.0,3.0,,,,COMPLETE
50,50,0.0,2025-01-03 00:00:10.081841,2025-01-03 00:00:15.764392,0 days 00:00:05.682551,11,25,20.0,80.0,,,,,,,,,,90.0,20.0,40.0,110.0,5.0,40.0,150.0,5.0,4,5.0,5.0,,,,,,,,,,2.0,4.0,4.0,6.0,3.0,6.0,5.0,4.0,2,4.0,5.0,,,,,,,,,,3.0,5.0,3.0,6.0,5.0,2.0,3.0,4.0,COMPLETE
51,51,0.0,2025-01-03 00:00:15.765962,2025-01-03 00:00:17.278875,0 days 00:00:01.512913,5,155,160.0,,,,,,,,,,,60.0,130.0,160.0,,,,,,5,2.0,,,,,,,,,,,4.0,5.0,6.0,,,,,,5,2.0,,,,,,,,,,,3.0,3.0,2.0,,,,,,COMPLETE
52,52,0.0,2025-01-03 00:00:17.279722,2025-01-03 00:00:19.333379,0 days 00:00:02.053657,6,135,175.0,,,,,,,,,,,30.0,150.0,170.0,160.0,,,,,5,4.0,,,,,,,,,,,4.0,5.0,5.0,3.0,,,,,5,3.0,,,,,,,,,,,2.0,2.0,2.0,3.0,,,,,COMPLETE
53,53,0.0,2025-01-03 00:00:19.334232,2025-01-03 00:00:28.371744,0 days 00:00:09.037512,4,140,130.0,,,,,,,,,,,70.0,140.0,,,,,,,5,3.0,,,,,,,,,,,5.0,5.0,,,,,,,4,3.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
54,54,0.0,2025-01-03 00:00:28.372638,2025-01-03 00:00:33.786800,0 days 00:00:05.414162,8,120,160.0,,,,,,,,,,,25.0,160.0,200.0,45.0,160.0,105.0,,,5,4.0,,,,,,,,,,,3.0,6.0,6.0,5.0,5.0,4.0,,,6,2.0,,,,,,,,,,,3.0,3.0,2.0,5.0,2.0,6.0,,,COMPLETE
55,55,0.949366391184573,2025-01-03 00:00:33.788092,2025-01-03 00:00:43.598044,0 days 00:00:09.809952,4,115,185.0,,,,,,,,,,,130.0,115.0,,,,,,,6,6.0,,,,,,,,,,,3.0,5.0,,,,,,,2,3.0,,,,,,,,,,,4.0,2.0,,,,,,,COMPLETE
