,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
37,37,0.9517441860465117,2025-01-06 05:02:37.704975,2025-01-06 05:03:05.190184,0 days 00:00:27.485209,8,55,50.0,100.0,25.0,35.0,95.0,85.0,25.0,,,4,2.0,6.0,5.0,6.0,6.0,5.0,5.0,,,COMPLETE
38,38,0.9526216866137815,2025-01-06 05:03:05.190723,2025-01-06 05:03:21.779023,0 days 00:00:16.588300,5,65,60.0,80.0,60.0,15.0,,,,,,3,3.0,6.0,5.0,5.0,,,,,,COMPLETE
39,39,0.9374968794208205,2025-01-06 05:03:21.779421,2025-01-06 05:03:39.274721,0 days 00:00:17.495300,4,15,90.0,55.0,30.0,,,,,,,5,4.0,5.0,4.0,,,,,,,COMPLETE
40,40,0.947361809045226,2025-01-06 05:03:39.275133,2025-01-06 05:04:08.565298,0 days 00:00:29.290165,9,100,55.0,10.0,45.0,5.0,70.0,95.0,45.0,15.0,,4,5.0,5.0,4.0,6.0,5.0,3.0,2.0,2.0,,COMPLETE
41,41,0.9267262509797622,2025-01-06 05:04:08.565897,2025-01-06 05:04:28.586621,0 days 00:00:20.020724,7,50,40.0,10.0,5.0,25.0,90.0,80.0,,,,2,5.0,5.0,3.0,4.0,4.0,2.0,,,,COMPLETE
42,42,0.9366638517267434,2025-01-06 05:04:28.587086,2025-01-06 05:04:52.536018,0 days 00:00:23.948932,6,40,50.0,5.0,15.0,20.0,80.0,,,,,3,4.0,3.0,5.0,5.0,4.0,,,,,COMPLETE
43,43,0.948329745121189,2025-01-06 05:04:52.536437,2025-01-06 05:05:14.907031,0 days 00:00:22.370594,7,60,40.0,15.0,10.0,45.0,50.0,60.0,,,,2,5.0,6.0,6.0,5.0,4.0,2.0,,,,COMPLETE
44,44,0.9416587257710077,2025-01-06 05:05:14.907535,2025-01-06 05:05:37.349487,0 days 00:00:22.441952,8,45,30.0,25.0,20.0,10.0,70.0,75.0,75.0,,,3,6.0,4.0,3.0,3.0,3.0,2.0,5.0,,,COMPLETE
45,45,0.945011167783445,2025-01-06 05:05:37.350030,2025-01-06 05:05:44.005432,0 days 00:00:06.655402,1,50,,,,,,,,,,6,,,,,,,,,,COMPLETE
46,46,0.9106438127090302,2025-01-06 05:05:44.005713,2025-01-06 05:06:22.973992,0 days 00:00:38.968279,10,55,60.0,10.0,30.0,30.0,90.0,20.0,5.0,75.0,100.0,3,4.0,2.0,2.0,5.0,5.0,3.0,3.0,5.0,2.0,COMPLETE
47,47,0.9400797607178464,2025-01-06 05:06:22.974496,2025-01-06 05:06:38.667047,0 days 00:00:15.692551,7,40,70.0,20.0,20.0,85.0,80.0,100.0,,,,2,4.0,6.0,4.0,2.0,4.0,2.0,,,,COMPLETE
48,48,0.9549275362318841,2025-01-06 05:06:38.667511,2025-01-06 05:06:56.120058,0 days 00:00:17.452547,5,30,50.0,40.0,25.0,20.0,,,,,,4,5.0,4.0,6.0,4.0,,,,,,COMPLETE
49,49,0.948047138047138,2025-01-06 05:06:56.120536,2025-01-06 05:07:05.178266,0 days 00:00:09.057730,3,70,20.0,35.0,,,,,,,,3,2.0,5.0,,,,,,,,COMPLETE
50,50,0.9481470295423784,2025-01-06 05:07:05.178572,2025-01-06 05:07:27.512292,0 days 00:00:22.333720,6,35,30.0,15.0,10.0,10.0,55.0,,,,,2,6.0,6.0,5.0,6.0,5.0,,,,,COMPLETE
51,51,0.9465640982761263,2025-01-06 05:07:27.512773,2025-01-06 05:07:46.729429,0 days 00:00:19.216656,5,25,50.0,45.0,25.0,20.0,,,,,,4,5.0,4.0,6.0,4.0,,,,,,COMPLETE
52,52,0.9458717428200605,2025-01-06 05:07:46.729844,2025-01-06 05:08:01.566342,0 days 00:00:14.836498,4,50,45.0,35.0,40.0,,,,,,,5,5.0,4.0,6.0,,,,,,,COMPLETE
53,53,0.947361809045226,2025-01-06 05:08:01.566770,2025-01-06 05:08:16.759075,0 days 00:00:15.192305,5,30,60.0,20.0,100.0,35.0,,,,,,4,5.0,3.0,6.0,4.0,,,,,,COMPLETE
54,54,0.9413507788650144,2025-01-06 05:08:16.759481,2025-01-06 05:08:38.531200,0 days 00:00:21.771719,6,30,40.0,25.0,30.0,20.0,60.0,,,,,5,5.0,4.0,5.0,4.0,5.0,,,,,COMPLETE
55,55,0.9300033401835403,2025-01-06 05:08:38.531733,2025-01-06 05:09:10.031647,0 days 00:00:31.499914,8,15,65.0,5.0,45.0,100.0,100.0,45.0,20.0,,,3,4.0,5.0,6.0,2.0,2.0,3.0,4.0,,,COMPLETE
56,56,0.941653538712877,2025-01-06 05:09:10.032125,2025-01-06 05:09:21.324092,0 days 00:00:11.291967,3,20,35.0,40.0,,,,,,,,4,5.0,3.0,,,,,,,,COMPLETE
57,57,0.9411297852474323,2025-01-06 05:09:21.324405,2025-01-06 05:09:24.384384,0 days 00:00:03.059979,1,60,,,,,,,,,,3,,,,,,,,,,COMPLETE
58,58,0.9467238194923255,2025-01-06 05:09:24.384680,2025-01-06 05:09:44.937437,0 days 00:00:20.552757,4,5,55.0,10.0,35.0,,,,,,,2,6.0,5.0,6.0,,,,,,,COMPLETE
59,59,0.9377569465110384,2025-01-06 05:09:44.937907,2025-01-06 05:09:49.250187,0 days 00:00:04.312280,2,45,45.0,,,,,,,,,3,4.0,,,,,,,,,COMPLETE
60,60,0.9517375800128464,2025-01-06 05:09:49.250463,2025-01-06 05:10:05.552669,0 days 00:00:16.302206,7,65,75.0,60.0,90.0,10.0,95.0,85.0,,,,4,5.0,4.0,2.0,4.0,3.0,2.0,,,,COMPLETE
61,61,0.9315172457889807,2025-01-06 05:10:05.553111,2025-01-06 05:10:19.228908,0 days 00:00:13.675797,3,55,85.0,85.0,,,,,,,,6,4.0,6.0,,,,,,,,COMPLETE
62,62,0.9407558932398208,2025-01-06 05:10:19.229267,2025-01-06 05:10:27.404954,0 days 00:00:08.175687,2,75,80.0,,,,,,,,,5,4.0,,,,,,,,,COMPLETE
63,63,0.9441077441077441,2025-01-06 05:10:27.405244,2025-01-06 05:10:41.793351,0 days 00:00:14.388107,4,65,95.0,65.0,20.0,,,,,,,6,3.0,6.0,3.0,,,,,,,COMPLETE
64,64,0.9508224459793071,2025-01-06 05:10:41.793759,2025-01-06 05:10:57.442922,0 days 00:00:15.649163,5,60,30.0,45.0,5.0,25.0,,,,,,3,5.0,6.0,5.0,3.0,,,,,,COMPLETE
65,65,0.9390137659509117,2025-01-06 05:10:57.443352,2025-01-06 05:11:03.679645,0 days 00:00:06.236293,1,80,,,,,,,,,,5,,,,,,,,,,COMPLETE
66,66,0.9439865306327587,2025-01-06 05:11:03.679910,2025-01-06 05:11:24.457383,0 days 00:00:20.777473,6,35,35.0,75.0,55.0,10.0,70.0,,,,,2,4.0,6.0,4.0,6.0,5.0,,,,,COMPLETE
67,67,0.9391790672126236,2025-01-06 05:11:24.457909,2025-01-06 05:11:54.769072,0 days 00:00:30.311163,7,50,75.0,90.0,25.0,50.0,35.0,25.0,,,,3,5.0,5.0,5.0,5.0,6.0,5.0,,,,COMPLETE
68,68,0.9275248560962848,2025-01-06 05:11:54.769566,2025-01-06 05:12:21.130713,0 days 00:00:26.361147,8,40,40.0,30.0,35.0,20.0,20.0,60.0,40.0,,,4,4.0,6.0,3.0,3.0,2.0,3.0,4.0,,,COMPLETE
69,69,0.927280180364829,2025-01-06 05:12:21.131211,2025-01-06 05:12:37.009785,0 days 00:00:15.878574,5,45,20.0,70.0,15.0,30.0,,,,,,2,5.0,4.0,6.0,2.0,,,,,,COMPLETE
70,70,0.9349953601750668,2025-01-06 05:12:37.010259,2025-01-06 05:12:41.182790,0 days 00:00:04.172531,2,60,50.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
71,71,0.9454450909295331,2025-01-06 05:12:41.183065,2025-01-06 05:12:59.694500,0 days 00:00:18.511435,5,65,65.0,80.0,65.0,15.0,,,,,,3,3.0,6.0,5.0,5.0,,,,,,COMPLETE
72,72,0.9540248819003161,2025-01-06 05:12:59.694915,2025-01-06 05:13:16.348801,0 days 00:00:16.653886,5,70,60.0,90.0,75.0,5.0,,,,,,3,2.0,6.0,6.0,5.0,,,,,,COMPLETE
73,73,0.953165548098434,2025-01-06 05:13:16.349211,2025-01-06 05:13:27.311585,0 days 00:00:10.962374,3,70,45.0,90.0,,,,,,,,3,2.0,6.0,,,,,,,,COMPLETE
74,74,0.9457874234835837,2025-01-06 05:13:27.311904,2025-01-06 05:13:40.506707,0 days 00:00:13.194803,4,70,55.0,90.0,50.0,,,,,,,3,2.0,6.0,6.0,,,,,,,COMPLETE
75,75,0.9557957707289928,2025-01-06 05:13:40.507101,2025-01-06 05:13:59.734403,0 days 00:00:19.227302,6,80,45.0,95.0,85.0,5.0,95.0,,,,,3,2.0,6.0,6.0,5.0,4.0,,,,,COMPLETE
76,76,0.9357699371139184,2025-01-06 05:13:59.734974,2025-01-06 05:14:21.687523,0 days 00:00:21.952549,6,80,60.0,100.0,95.0,5.0,100.0,,,,,3,2.0,6.0,6.0,5.0,4.0,,,,,COMPLETE
77,77,0.9491977126629949,2025-01-06 05:14:21.687958,2025-01-06 05:14:38.095395,0 days 00:00:16.407437,7,85,40.0,95.0,75.0,10.0,95.0,75.0,,,,3,2.0,4.0,6.0,5.0,4.0,2.0,,,,COMPLETE
78,78,0.9542786069651741,2025-01-06 05:14:38.095881,2025-01-06 05:14:58.367787,0 days 00:00:20.271906,6,80,50.0,95.0,80.0,5.0,85.0,,,,,3,2.0,5.0,6.0,5.0,3.0,,,,,COMPLETE
79,79,0.9478077497583692,2025-01-06 05:14:58.368213,2025-01-06 05:15:22.899341,0 days 00:00:24.531128,6,90,45.0,95.0,85.0,15.0,85.0,,,,,2,6.0,5.0,6.0,4.0,3.0,,,,,COMPLETE
80,80,0.9482447705450339,2025-01-06 05:15:22.899912,2025-01-06 05:15:45.943810,0 days 00:00:23.043898,7,85,50.0,15.0,80.0,10.0,75.0,40.0,,,,3,2.0,4.0,6.0,5.0,3.0,4.0,,,,COMPLETE
81,81,0.954932105509599,2025-01-06 05:15:45.944265,2025-01-06 05:16:05.037612,0 days 00:00:19.093347,5,80,55.0,100.0,80.0,5.0,,,,,,3,2.0,6.0,6.0,5.0,,,,,,COMPLETE
82,82,0.959089309946223,2025-01-06 05:16:05.038036,2025-01-06 05:16:26.467460,0 days 00:00:21.429424,6,90,55.0,95.0,90.0,5.0,90.0,,,,,3,2.0,5.0,6.0,5.0,4.0,,,,,COMPLETE
83,83,0.9573969122532735,2025-01-06 05:16:26.467902,2025-01-06 05:16:47.680839,0 days 00:00:21.212937,5,90,55.0,100.0,85.0,5.0,,,,,,3,2.0,6.0,6.0,5.0,,,,,,COMPLETE
84,84,0.9527006551216852,2025-01-06 05:16:47.681368,2025-01-06 05:17:13.470672,0 days 00:00:25.789304,8,95,55.0,100.0,90.0,5.0,90.0,55.0,55.0,,,3,2.0,6.0,6.0,5.0,4.0,3.0,2.0,,,COMPLETE
85,85,0.9474495531292085,2025-01-06 05:17:13.471170,2025-01-06 05:17:35.866505,0 days 00:00:22.395335,6,90,65.0,100.0,95.0,10.0,100.0,,,,,3,2.0,6.0,6.0,6.0,4.0,,,,,COMPLETE
86,86,0.9557998597615947,2025-01-06 05:17:35.866982,2025-01-06 05:18:00.255573,0 days 00:00:24.388591,7,95,35.0,85.0,85.0,15.0,80.0,15.0,,,,3,2.0,6.0,4.0,5.0,4.0,2.0,,,,COMPLETE
87,87,0.9583997785160576,2025-01-06 05:18:00.256055,2025-01-06 05:18:22.781137,0 days 00:00:22.525082,7,100,25.0,85.0,85.0,15.0,80.0,15.0,,,,3,2.0,6.0,4.0,5.0,4.0,2.0,,,,COMPLETE
88,88,0.9336717428087986,2025-01-06 05:18:22.781674,2025-01-06 05:18:42.786517,0 days 00:00:20.004843,7,100,25.0,85.0,85.0,15.0,80.0,20.0,,,,3,2.0,6.0,4.0,5.0,4.0,2.0,,,,COMPLETE
89,89,0.9483262999686068,2025-01-06 05:18:42.786980,2025-01-06 05:19:06.092012,0 days 00:00:23.305032,8,95,15.0,80.0,90.0,10.0,95.0,15.0,70.0,,,3,2.0,6.0,4.0,5.0,4.0,2.0,3.0,,,COMPLETE
90,90,0.9532674592003122,2025-01-06 05:19:06.092472,2025-01-06 05:19:26.556512,0 days 00:00:20.464040,7,100,30.0,95.0,95.0,65.0,85.0,25.0,,,,3,3.0,6.0,4.0,5.0,4.0,3.0,,,,COMPLETE
91,91,0.9425508902324033,2025-01-06 05:19:26.557016,2025-01-06 05:19:56.562131,0 days 00:00:30.005115,7,95,35.0,5.0,85.0,15.0,75.0,5.0,,,,2,2.0,6.0,4.0,5.0,4.0,2.0,,,,COMPLETE
92,92,0.9439561053248819,2025-01-06 05:19:56.562669,2025-01-06 05:20:14.490725,0 days 00:00:17.928056,6,90,30.0,95.0,75.0,25.0,80.0,,,,,3,2.0,6.0,2.0,6.0,4.0,,,,,COMPLETE
93,93,0.949126038542229,2025-01-06 05:20:14.491169,2025-01-06 05:20:45.239852,0 days 00:00:30.748683,8,95,35.0,85.0,85.0,20.0,90.0,10.0,85.0,,,3,3.0,5.0,4.0,5.0,4.0,2.0,5.0,,,COMPLETE
94,94,0.9450646819067872,2025-01-06 05:20:45.240329,2025-01-06 05:21:16.919777,0 days 00:00:31.679448,9,90,25.0,10.0,90.0,5.0,95.0,15.0,15.0,35.0,,2,2.0,6.0,4.0,5.0,4.0,2.0,6.0,3.0,,COMPLETE
95,95,0.9509585512277636,2025-01-06 05:21:16.920411,2025-01-06 05:21:37.127666,0 days 00:00:20.207255,7,85,40.0,75.0,100.0,15.0,65.0,10.0,,,,3,2.0,6.0,3.0,6.0,5.0,2.0,,,,COMPLETE
