,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
33,33,0.9028213166144201,2025-01-03 17:29:12.302555,2025-01-03 17:29:53.845622,0 days 00:00:41.543067,8,95,55.0,95.0,30.0,50.0,65.0,90.0,85.0,,,4,6.0,6.0,3.0,6.0,5.0,5.0,2.0,,,COMPLETE
34,34,0.7394957983193278,2025-01-03 17:29:53.846424,2025-01-03 17:30:28.744312,0 days 00:00:34.897888,8,95,55.0,80.0,35.0,50.0,60.0,90.0,55.0,,,4,6.0,4.0,2.0,4.0,5.0,5.0,2.0,,,COMPLETE
35,35,0.7126373626373627,2025-01-03 17:30:28.745013,2025-01-03 17:30:56.776186,0 days 00:00:28.031173,7,25,45.0,90.0,55.0,35.0,70.0,35.0,,,,4,6.0,5.0,3.0,3.0,6.0,6.0,,,,COMPLETE
36,36,0.7958422174840085,2025-01-03 17:30:56.776836,2025-01-03 17:31:30.547634,0 days 00:00:33.770798,7,95,50.0,60.0,45.0,40.0,50.0,90.0,,,,5,5.0,3.0,2.0,5.0,5.0,5.0,,,,COMPLETE
37,37,0.7960805084745763,2025-01-03 17:31:30.548441,2025-01-03 17:32:07.445802,0 days 00:00:36.897361,8,65,60.0,70.0,30.0,50.0,60.0,20.0,85.0,,,6,6.0,6.0,3.0,6.0,4.0,6.0,2.0,,,COMPLETE
38,38,0.8221642764015646,2025-01-03 17:32:07.446521,2025-01-03 17:32:36.743501,0 days 00:00:29.296980,6,100,75.0,80.0,25.0,25.0,70.0,,,,,3,5.0,5.0,3.0,4.0,5.0,,,,,COMPLETE
39,39,0.8056426332288402,2025-01-03 17:32:36.744177,2025-01-03 17:32:50.345768,0 days 00:00:13.601591,4,5,40.0,30.0,40.0,,,,,,,5,4.0,3.0,2.0,,,,,,,COMPLETE
40,40,0.8604465709728868,2025-01-03 17:32:50.346315,2025-01-03 17:33:10.215930,0 days 00:00:19.869615,8,80,50.0,55.0,100.0,55.0,45.0,70.0,30.0,,,4,4.0,2.0,3.0,4.0,6.0,5.0,3.0,,,COMPLETE
41,41,0.8548009367681498,2025-01-03 17:33:10.216575,2025-01-03 17:33:50.721900,0 days 00:00:40.505325,9,85,60.0,100.0,10.0,95.0,30.0,95.0,100.0,80.0,,3,6.0,6.0,4.0,6.0,5.0,4.0,2.0,3.0,,COMPLETE
42,42,0.7732497387669801,2025-01-03 17:33:50.722611,2025-01-03 17:34:21.911664,0 days 00:00:31.189053,5,95,30.0,95.0,20.0,40.0,,,,,,6,5.0,6.0,4.0,6.0,,,,,,COMPLETE
43,43,0.8221642764015646,2025-01-03 17:34:21.912417,2025-01-03 17:35:09.865574,0 days 00:00:47.953157,10,90,100.0,95.0,10.0,100.0,55.0,90.0,80.0,20.0,55.0,3,6.0,6.0,5.0,6.0,4.0,4.0,5.0,4.0,4.0,COMPLETE
44,44,0.8385416666666667,2025-01-03 17:35:09.866342,2025-01-03 17:35:59.490245,0 days 00:00:49.623903,9,100,65.0,85.0,35.0,60.0,65.0,55.0,90.0,45.0,,5,2.0,6.0,4.0,5.0,5.0,5.0,3.0,6.0,,COMPLETE
45,45,0.8056426332288402,2025-01-03 17:35:59.491125,2025-01-03 17:36:03.636310,0 days 00:00:04.145185,1,80,,,,,,,,,,2,,,,,,,,,,COMPLETE
46,46,0.7739583333333333,2025-01-03 17:36:03.636743,2025-01-03 17:36:22.887353,0 days 00:00:19.250610,3,85,40.0,100.0,,,,,,,,6,5.0,5.0,,,,,,,,COMPLETE
47,47,0.87042842215256,2025-01-03 17:36:22.887890,2025-01-03 17:36:55.792843,0 days 00:00:32.904953,7,95,45.0,75.0,25.0,75.0,90.0,95.0,,,,4,4.0,6.0,3.0,6.0,3.0,5.0,,,,COMPLETE
48,48,0.8056426332288402,2025-01-03 17:36:55.793598,2025-01-03 17:37:30.283533,0 days 00:00:34.489935,8,55,65.0,10.0,5.0,90.0,10.0,40.0,65.0,,,5,2.0,4.0,4.0,2.0,5.0,6.0,2.0,,,COMPLETE
49,49,0.87042842215256,2025-01-03 17:37:30.284262,2025-01-03 17:38:11.404576,0 days 00:00:41.120314,10,90,55.0,95.0,30.0,70.0,40.0,80.0,100.0,70.0,75.0,2,5.0,5.0,2.0,5.0,6.0,3.0,3.0,2.0,6.0,COMPLETE
50,50,0.80625,2025-01-03 17:38:11.405293,2025-01-03 17:38:45.001483,0 days 00:00:33.596190,6,70,5.0,40.0,15.0,45.0,85.0,,,,,6,2.0,6.0,5.0,6.0,4.0,,,,,COMPLETE
51,51,0.7876152832674572,2025-01-03 17:38:45.002254,2025-01-03 17:39:25.746106,0 days 00:00:40.743852,8,80,10.0,50.0,30.0,95.0,35.0,55.0,60.0,,,5,3.0,4.0,3.0,5.0,6.0,2.0,4.0,,,COMPLETE
52,52,0.8056426332288402,2025-01-03 17:39:25.746768,2025-01-03 17:40:01.983240,0 days 00:00:36.236472,7,85,25.0,45.0,50.0,100.0,45.0,95.0,,,,5,3.0,4.0,3.0,5.0,6.0,4.0,,,,COMPLETE
53,53,0.8064516129032258,2025-01-03 17:40:01.983980,2025-01-03 17:40:38.511461,0 days 00:00:36.527481,9,100,20.0,65.0,45.0,90.0,50.0,100.0,80.0,85.0,,5,3.0,4.0,3.0,5.0,2.0,6.0,4.0,3.0,,COMPLETE
54,54,0.8385416666666667,2025-01-03 17:40:38.512221,2025-01-03 17:41:22.339497,0 days 00:00:43.827276,8,40,10.0,45.0,35.0,100.0,25.0,85.0,65.0,,,5,4.0,5.0,4.0,6.0,6.0,3.0,5.0,,,COMPLETE
55,55,0.8435501066098081,2025-01-03 17:41:22.340301,2025-01-03 17:42:08.422974,0 days 00:00:46.082673,10,90,25.0,50.0,20.0,80.0,55.0,75.0,75.0,55.0,15.0,4,2.0,5.0,3.0,5.0,6.0,2.0,6.0,5.0,2.0,COMPLETE
56,56,0.7732497387669801,2025-01-03 17:42:08.423788,2025-01-03 17:42:40.145169,0 days 00:00:31.721381,8,75,15.0,55.0,25.0,100.0,65.0,50.0,45.0,,,6,6.0,2.0,3.0,5.0,4.0,5.0,2.0,,,COMPLETE
57,57,0.7902680197762164,2025-01-03 17:42:40.145943,2025-01-03 17:43:24.844502,0 days 00:00:44.698559,9,95,75.0,90.0,30.0,85.0,40.0,60.0,85.0,90.0,,5,2.0,4.0,4.0,6.0,5.0,4.0,4.0,5.0,,COMPLETE
58,58,0.8225344782721832,2025-01-03 17:43:24.845302,2025-01-03 17:44:00.253453,0 days 00:00:35.408151,7,100,35.0,65.0,10.0,95.0,5.0,100.0,,,,3,3.0,5.0,4.0,5.0,6.0,5.0,,,,COMPLETE
59,59,0.8119363395225465,2025-01-03 17:44:00.254139,2025-01-03 17:44:20.630687,0 days 00:00:20.376548,6,70,25.0,100.0,80.0,30.0,20.0,,,,,2,2.0,4.0,3.0,4.0,3.0,,,,,COMPLETE
