,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
93,93,0.5727272727272728,2025-01-04 10:55:44.130232,2025-01-04 10:56:14.057386,0 days 00:00:29.927154,10,50,85.0,50.0,15.0,20.0,100.0,5.0,90.0,65.0,80.0,2,3.0,6.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,COMPLETE
94,94,0.6154545454545455,2025-01-04 10:56:14.058105,2025-01-04 10:56:37.618993,0 days 00:00:23.560888,10,55,90.0,35.0,45.0,5.0,80.0,5.0,90.0,80.0,80.0,2,5.0,3.0,2.0,5.0,5.0,5.0,4.0,2.0,3.0,COMPLETE
95,95,0.5927952576379389,2025-01-04 10:56:37.619639,2025-01-04 10:57:09.581571,0 days 00:00:31.961932,10,45,85.0,50.0,45.0,35.0,85.0,15.0,100.0,55.0,35.0,3,2.0,3.0,2.0,5.0,5.0,4.0,6.0,3.0,5.0,COMPLETE
96,96,0.6581818181818182,2025-01-04 10:57:09.582349,2025-01-04 10:57:33.037096,0 days 00:00:23.454747,9,55,95.0,60.0,30.0,30.0,100.0,15.0,95.0,70.0,,2,3.0,2.0,2.0,5.0,5.0,6.0,5.0,3.0,,COMPLETE
97,97,0.5957446808510638,2025-01-04 10:57:33.037816,2025-01-04 10:58:00.796065,0 days 00:00:27.758249,10,50,80.0,40.0,40.0,15.0,80.0,35.0,85.0,40.0,85.0,4,4.0,3.0,2.0,5.0,6.0,5.0,5.0,4.0,3.0,COMPLETE
98,98,0.5927952576379389,2025-01-04 10:58:00.796742,2025-01-04 10:58:20.478218,0 days 00:00:19.681476,9,35,85.0,30.0,20.0,15.0,95.0,10.0,5.0,85.0,,2,3.0,4.0,2.0,4.0,4.0,6.0,4.0,2.0,,COMPLETE
99,99,0.6154545454545455,2025-01-04 10:58:20.478806,2025-01-04 10:58:42.895790,0 days 00:00:22.416984,9,60,90.0,45.0,65.0,40.0,90.0,25.0,80.0,65.0,,2,2.0,2.0,2.0,6.0,5.0,4.0,5.0,5.0,,COMPLETE
100,100,0.6466165413533835,2025-01-04 10:58:42.896599,2025-01-04 10:59:06.754197,0 days 00:00:23.857598,10,40,55.0,75.0,50.0,50.0,60.0,40.0,95.0,55.0,100.0,3,3.0,3.0,3.0,5.0,6.0,5.0,6.0,3.0,5.0,COMPLETE
101,101,0.6581818181818182,2025-01-04 10:59:06.754883,2025-01-04 10:59:27.955977,0 days 00:00:21.201094,8,60,95.0,55.0,50.0,95.0,40.0,5.0,100.0,,,2,3.0,3.0,5.0,6.0,4.0,6.0,4.0,,,COMPLETE
102,102,0.621673923560716,2025-01-04 10:59:27.956582,2025-01-04 10:59:41.476477,0 days 00:00:13.519895,4,50,100.0,50.0,55.0,,,,,,,2,3.0,3.0,6.0,,,,,,,COMPLETE
