,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
35,35,0.8731706385902994,2025-01-05 15:12:23.754689,2025-01-05 15:13:04.895829,0 days 00:00:41.141140,6,10,35.0,75.0,25.0,70.0,65.0,,,,,5,4.0,4.0,2.0,4.0,5.0,,,,,COMPLETE
36,36,0.8528900392430224,2025-01-05 15:13:04.896508,2025-01-05 15:14:11.399658,0 days 00:01:06.503150,9,20,20.0,100.0,50.0,50.0,90.0,65.0,30.0,40.0,,5,3.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,,COMPLETE
37,37,0.8552197956164884,2025-01-05 15:14:11.400523,2025-01-05 15:15:17.521929,0 days 00:01:06.121406,8,75,10.0,70.0,10.0,30.0,30.0,90.0,45.0,,,5,5.0,2.0,6.0,2.0,6.0,3.0,4.0,,,COMPLETE
38,38,0.8617193110327044,2025-01-05 15:15:17.523102,2025-01-05 15:16:06.991175,0 days 00:00:49.468073,7,30,30.0,40.0,35.0,40.0,50.0,35.0,,,,2,2.0,4.0,5.0,6.0,4.0,2.0,,,,COMPLETE
39,39,0.8520573368126307,2025-01-05 15:16:06.991863,2025-01-05 15:17:14.942621,0 days 00:01:07.950758,8,15,10.0,90.0,20.0,10.0,80.0,95.0,90.0,,,4,3.0,6.0,4.0,5.0,5.0,3.0,4.0,,,COMPLETE
40,40,0.847385272145144,2025-01-05 15:17:14.943925,2025-01-05 15:17:25.749074,0 days 00:00:10.805149,1,5,,,,,,,,,,6,,,,,,,,,,COMPLETE
41,41,0.8657388509374977,2025-01-05 15:17:25.749523,2025-01-05 15:18:37.860711,0 days 00:01:12.111188,9,35,5.0,60.0,5.0,95.0,45.0,80.0,85.0,100.0,,4,2.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,,COMPLETE
42,42,0.8568341419659466,2025-01-05 15:18:37.861477,2025-01-05 15:19:33.041286,0 days 00:00:55.179809,9,10,15.0,80.0,10.0,85.0,10.0,85.0,60.0,75.0,,3,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,,COMPLETE
43,43,0.8516899960754265,2025-01-05 15:19:33.041899,2025-01-05 15:20:36.198100,0 days 00:01:03.156201,10,20,10.0,5.0,5.0,55.0,40.0,70.0,80.0,85.0,100.0,4,2.0,3.0,2.0,2.0,6.0,2.0,4.0,3.0,2.0,COMPLETE
44,44,0.8686513379288943,2025-01-05 15:20:36.198865,2025-01-05 15:21:34.933011,0 days 00:00:58.734146,8,45,40.0,45.0,15.0,20.0,15.0,95.0,100.0,,,4,2.0,2.0,3.0,3.0,3.0,3.0,6.0,,,COMPLETE
45,45,0.862939601681668,2025-01-05 15:21:34.933767,2025-01-05 15:22:29.606114,0 days 00:00:54.672347,7,70,20.0,60.0,10.0,75.0,30.0,100.0,,,,4,3.0,4.0,6.0,2.0,5.0,2.0,,,,COMPLETE
46,46,0.861994660319274,2025-01-05 15:22:29.606727,2025-01-05 15:23:28.727160,0 days 00:00:59.120433,9,25,30.0,70.0,5.0,5.0,95.0,85.0,70.0,65.0,,3,4.0,2.0,3.0,4.0,2.0,5.0,2.0,2.0,,COMPLETE
47,47,0.8701851748585135,2025-01-05 15:23:28.727901,2025-01-05 15:24:29.353058,0 days 00:01:00.625157,10,10,10.0,95.0,30.0,35.0,55.0,95.0,25.0,85.0,55.0,5,6.0,3.0,6.0,3.0,6.0,6.0,4.0,3.0,4.0,COMPLETE
48,48,0.8605929456023761,2025-01-05 15:24:29.353690,2025-01-05 15:25:23.173027,0 days 00:00:53.819337,6,55,95.0,35.0,20.0,65.0,100.0,,,,,3,4.0,3.0,2.0,4.0,4.0,,,,,COMPLETE
49,49,0.8553321564168769,2025-01-05 15:25:23.173682,2025-01-05 15:26:22.632637,0 days 00:00:59.458955,8,35,5.0,50.0,80.0,10.0,40.0,50.0,5.0,,,5,3.0,2.0,4.0,6.0,6.0,4.0,5.0,,,COMPLETE
50,50,0.8611356483527643,2025-01-05 15:26:22.633872,2025-01-05 15:27:20.955873,0 days 00:00:58.322001,5,85,15.0,85.0,100.0,30.0,,,,,,4,2.0,4.0,6.0,5.0,,,,,,COMPLETE
51,51,0.7936351951179693,2025-01-05 15:27:20.956555,2025-01-05 15:28:21.707080,0 days 00:01:00.750525,10,10,20.0,85.0,20.0,55.0,60.0,85.0,65.0,65.0,35.0,4,6.0,4.0,3.0,4.0,6.0,2.0,3.0,3.0,6.0,COMPLETE
52,52,0.8488196408386185,2025-01-05 15:28:21.707809,2025-01-05 15:29:28.416944,0 days 00:01:06.709135,10,15,20.0,90.0,15.0,60.0,65.0,95.0,50.0,70.0,50.0,4,6.0,4.0,3.0,4.0,6.0,2.0,3.0,2.0,6.0,COMPLETE
53,53,0.8657376409033826,2025-01-05 15:29:28.417761,2025-01-05 15:30:21.203144,0 days 00:00:52.785383,9,5,10.0,85.0,25.0,50.0,60.0,90.0,85.0,90.0,,5,5.0,4.0,3.0,3.0,6.0,2.0,3.0,3.0,,COMPLETE
54,54,0.8699473512716297,2025-01-05 15:30:21.203819,2025-01-05 15:31:43.281673,0 days 00:01:22.077854,10,10,60.0,75.0,10.0,75.0,75.0,75.0,65.0,55.0,20.0,3,4.0,5.0,3.0,5.0,6.0,2.0,2.0,2.0,4.0,COMPLETE
55,55,0.8739938574690348,2025-01-05 15:31:43.282506,2025-01-05 15:32:58.014121,0 days 00:01:14.731615,9,20,15.0,80.0,35.0,65.0,95.0,100.0,75.0,75.0,,5,5.0,2.0,4.0,6.0,5.0,3.0,4.0,3.0,,COMPLETE
56,56,0.8361029330870844,2025-01-05 15:32:58.014869,2025-01-05 15:33:39.059356,0 days 00:00:41.044487,7,20,5.0,70.0,40.0,45.0,95.0,100.0,,,,5,5.0,2.0,4.0,6.0,5.0,3.0,,,,COMPLETE
57,57,0.8663006387526109,2025-01-05 15:33:39.060118,2025-01-05 15:34:49.510621,0 days 00:01:10.450503,8,30,15.0,25.0,55.0,20.0,95.0,95.0,90.0,,,5,5.0,2.0,5.0,6.0,5.0,4.0,4.0,,,COMPLETE
58,58,0.8664511278195488,2025-01-05 15:34:49.511804,2025-01-05 15:35:51.075777,0 days 00:01:01.563973,9,15,15.0,40.0,45.0,80.0,100.0,100.0,75.0,35.0,,5,4.0,2.0,5.0,6.0,5.0,3.0,4.0,2.0,,COMPLETE
59,59,0.8519803771960716,2025-01-05 15:35:51.076516,2025-01-05 15:37:07.682633,0 days 00:01:16.606117,8,25,25.0,55.0,35.0,95.0,85.0,100.0,90.0,,,6,4.0,2.0,6.0,6.0,4.0,3.0,5.0,,,COMPLETE
60,60,0.8714605817868801,2025-01-05 15:37:07.683412,2025-01-05 15:37:56.202568,0 days 00:00:48.519156,7,25,5.0,20.0,40.0,10.0,85.0,35.0,,,,5,4.0,2.0,4.0,5.0,4.0,4.0,,,,COMPLETE
61,61,0.8771779344984607,2025-01-05 15:37:56.203214,2025-01-05 15:39:01.282962,0 days 00:01:05.079748,10,15,20.0,80.0,15.0,65.0,50.0,85.0,65.0,75.0,65.0,4,6.0,3.0,3.0,5.0,6.0,2.0,2.0,3.0,4.0,COMPLETE
62,62,0.8667265465501388,2025-01-05 15:39:01.284269,2025-01-05 15:40:16.796367,0 days 00:01:15.512098,9,20,10.0,80.0,50.0,65.0,45.0,85.0,75.0,80.0,,5,5.0,3.0,6.0,5.0,5.0,2.0,2.0,4.0,,COMPLETE
63,63,0.8629405893940605,2025-01-05 15:40:16.797199,2025-01-05 15:41:12.526583,0 days 00:00:55.729384,10,15,25.0,95.0,15.0,65.0,50.0,75.0,60.0,95.0,70.0,4,6.0,3.0,3.0,5.0,6.0,3.0,2.0,3.0,3.0,COMPLETE
