,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
42,42,0.765791632485644,2025-01-04 02:55:23.483047,2025-01-04 02:55:32.409253,0 days 00:00:08.926206,3,15,40.0,40.0,,,,,,,,2,4.0,2.0,,,,,,,,COMPLETE
43,43,0.7373737373737375,2025-01-04 02:55:32.409634,2025-01-04 02:55:42.022757,0 days 00:00:09.613123,3,10,40.0,35.0,,,,,,,,2,4.0,2.0,,,,,,,,COMPLETE
44,44,0.7416943521594684,2025-01-04 02:55:42.023124,2025-01-04 02:55:49.923161,0 days 00:00:07.900037,3,15,35.0,35.0,,,,,,,,2,3.0,2.0,,,,,,,,COMPLETE
45,45,0.7268740031897927,2025-01-04 02:55:49.923507,2025-01-04 02:55:55.181296,0 days 00:00:05.257789,2,15,35.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
46,46,0.7143447705663497,2025-01-04 02:55:55.181641,2025-01-04 02:55:58.897546,0 days 00:00:03.715905,1,5,,,,,,,,,,2,,,,,,,,,,COMPLETE
47,47,0.6594684385382059,2025-01-04 02:55:58.897847,2025-01-04 02:56:08.367723,0 days 00:00:09.469876,3,10,15.0,35.0,,,,,,,,2,3.0,3.0,,,,,,,,COMPLETE
48,48,0.5331069609507639,2025-01-04 02:56:08.368102,2025-01-04 02:56:17.821279,0 days 00:00:09.453177,3,25,40.0,30.0,,,,,,,,3,3.0,2.0,,,,,,,,COMPLETE
49,49,0.8193496587715776,2025-01-04 02:56:17.821649,2025-01-04 02:56:25.551032,0 days 00:00:07.729383,2,15,25.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
50,50,0.6941223510595762,2025-01-04 02:56:25.551449,2025-01-04 02:56:29.916073,0 days 00:00:04.364624,1,15,,,,,,,,,,3,,,,,,,,,,COMPLETE
51,51,0.7463175122749591,2025-01-04 02:56:29.916369,2025-01-04 02:56:37.604329,0 days 00:00:07.687960,2,20,25.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
52,52,0.6989160979526294,2025-01-04 02:56:37.604639,2025-01-04 02:56:45.284505,0 days 00:00:07.679866,2,20,25.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
53,53,0.7227272727272727,2025-01-04 02:56:45.284862,2025-01-04 02:56:51.912202,0 days 00:00:06.627340,2,25,25.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
54,54,0.6940024479804161,2025-01-04 02:56:51.912505,2025-01-04 02:56:55.919880,0 days 00:00:04.007375,1,35,,,,,,,,,,2,,,,,,,,,,COMPLETE
55,55,0.6190476190476191,2025-01-04 02:56:55.920209,2025-01-04 02:57:04.200643,0 days 00:00:08.280434,2,15,15.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
56,56,0.6227272727272728,2025-01-04 02:57:04.200971,2025-01-04 02:57:14.755259,0 days 00:00:10.554288,3,20,30.0,65.0,,,,,,,,2,4.0,3.0,,,,,,,,COMPLETE
57,57,0.7005813953488372,2025-01-04 02:57:14.755596,2025-01-04 02:57:24.037479,0 days 00:00:09.281883,2,5,20.0,,,,,,,,,3,4.0,,,,,,,,,COMPLETE
58,58,0.6940024479804161,2025-01-04 02:57:24.037802,2025-01-04 02:57:27.783718,0 days 00:00:03.745916,1,30,,,,,,,,,,2,,,,,,,,,,COMPLETE
59,59,0.7398959583833533,2025-01-04 02:57:27.784006,2025-01-04 02:58:05.808108,0 days 00:00:38.024102,9,10,35.0,20.0,95.0,40.0,85.0,5.0,45.0,85.0,,3,3.0,3.0,3.0,5.0,6.0,3.0,3.0,6.0,,COMPLETE
60,60,0.6532027743778049,2025-01-04 02:58:05.808769,2025-01-04 02:58:24.618810,0 days 00:00:18.810041,9,10,35.0,15.0,95.0,20.0,80.0,5.0,45.0,100.0,,3,3.0,3.0,3.0,6.0,6.0,3.0,3.0,6.0,,COMPLETE
61,61,0.5384615384615385,2025-01-04 02:58:24.619440,2025-01-04 02:58:41.588187,0 days 00:00:16.968747,10,15,30.0,25.0,100.0,55.0,100.0,30.0,70.0,95.0,5.0,3,3.0,2.0,3.0,5.0,5.0,2.0,3.0,3.0,2.0,COMPLETE
62,62,0.76,2025-01-04 02:58:41.588742,2025-01-04 02:59:00.625376,0 days 00:00:19.036634,9,20,35.0,20.0,90.0,40.0,65.0,20.0,30.0,55.0,,2,2.0,3.0,3.0,5.0,6.0,5.0,5.0,6.0,,COMPLETE
63,63,0.7273469387755103,2025-01-04 02:59:00.625974,2025-01-04 02:59:27.724698,0 days 00:00:27.098724,10,10,35.0,20.0,90.0,40.0,65.0,15.0,30.0,60.0,30.0,2,2.0,3.0,3.0,5.0,6.0,5.0,5.0,6.0,6.0,COMPLETE
64,64,0.6365914786967418,2025-01-04 02:59:27.725344,2025-01-04 02:59:49.611427,0 days 00:00:21.886083,9,20,40.0,15.0,85.0,20.0,80.0,35.0,35.0,35.0,,3,2.0,3.0,4.0,6.0,6.0,4.0,5.0,5.0,,COMPLETE
65,65,0.7390606182256123,2025-01-04 02:59:49.612213,2025-01-04 03:00:30.243368,0 days 00:00:40.631155,9,25,45.0,25.0,95.0,15.0,90.0,15.0,5.0,75.0,,2,2.0,4.0,3.0,4.0,5.0,4.0,5.0,6.0,,COMPLETE
66,66,0.7536945812807883,2025-01-04 03:00:30.243968,2025-01-04 03:00:50.136474,0 days 00:00:19.892506,8,5,25.0,40.0,100.0,30.0,50.0,20.0,65.0,,,4,2.0,3.0,4.0,5.0,6.0,5.0,3.0,,,COMPLETE
67,67,0.6989160979526294,2025-01-04 03:00:50.137014,2025-01-04 03:01:11.775615,0 days 00:00:21.638601,8,5,25.0,40.0,80.0,30.0,50.0,40.0,65.0,,,4,2.0,3.0,6.0,4.0,5.0,5.0,4.0,,,COMPLETE
68,68,0.662962962962963,2025-01-04 03:01:11.776282,2025-01-04 03:01:22.393153,0 days 00:00:10.616871,3,20,30.0,35.0,,,,,,,,4,2.0,4.0,,,,,,,,COMPLETE
69,69,0.6794871794871795,2025-01-04 03:01:22.393578,2025-01-04 03:01:55.611107,0 days 00:00:33.217529,8,5,10.0,50.0,15.0,15.0,55.0,60.0,75.0,,,4,2.0,2.0,4.0,6.0,6.0,6.0,3.0,,,COMPLETE
70,70,0.6439704675963904,2025-01-04 03:01:55.611711,2025-01-04 03:02:07.126955,0 days 00:00:11.515244,2,15,25.0,,,,,,,,,5,4.0,,,,,,,,,COMPLETE
71,71,0.6998799519807923,2025-01-04 03:02:07.127370,2025-01-04 03:02:43.998992,0 days 00:00:36.871622,9,10,35.0,30.0,100.0,45.0,90.0,20.0,35.0,40.0,,2,3.0,3.0,3.0,5.0,6.0,5.0,3.0,4.0,,COMPLETE
72,72,0.6427070197562001,2025-01-04 03:02:43.999716,2025-01-04 03:03:22.822857,0 days 00:00:38.823141,10,15,40.0,20.0,95.0,35.0,70.0,5.0,55.0,80.0,100.0,4,2.0,3.0,4.0,5.0,6.0,3.0,2.0,5.0,2.0,COMPLETE
73,73,0.5166036149642708,2025-01-04 03:03:22.823477,2025-01-04 03:03:59.402154,0 days 00:00:36.578677,9,5,30.0,45.0,85.0,40.0,60.0,25.0,25.0,80.0,,2,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,,COMPLETE
