,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
53,53,0.9502258433390509,2025-01-01 21:42:00.347014,2025-01-01 21:42:06.335409,0 days 00:00:05.988395,1,145,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.9499994444382716,2025-01-01 21:42:06.335762,2025-01-01 21:42:16.504614,0 days 00:00:10.168852,3,140,130.0,,,,,,,,,,,25.0,,,,,,,,6,4.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
55,55,0.0,2025-01-01 21:42:16.505099,2025-01-01 21:42:20.250581,0 days 00:00:03.745482,4,155,180.0,,,,,,,,,,,90.0,140.0,,,,,,,5,4.0,,,,,,,,,,,2.0,4.0,,,,,,,COMPLETE
56,56,0.947237349289588,2025-01-01 21:42:20.251001,2025-01-01 21:42:25.633745,0 days 00:00:05.382744,2,110,155.0,,,,,,,,,,,,,,,,,,,6,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.9430601270223912,2025-01-01 21:42:25.634180,2025-01-01 21:42:32.038797,0 days 00:00:06.404617,1,125,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.949913037661382,2025-01-01 21:42:32.039150,2025-01-01 21:42:38.459841,0 days 00:00:06.420691,3,135,80.0,,,,,,,,,,,155.0,,,,,,,,5,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
59,59,0.9441176634260625,2025-01-01 21:42:38.460246,2025-01-01 21:42:56.702339,0 days 00:00:18.242093,4,120,110.0,,,,,,,,,,,185.0,40.0,,,,,,,6,4.0,,,,,,,,,,,5.0,6.0,,,,,,,COMPLETE
60,60,0.9570446548211737,2025-01-01 21:42:56.702772,2025-01-01 21:43:02.625753,0 days 00:00:05.922981,1,50,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
61,61,0.9420782851817335,2025-01-01 21:43:02.626098,2025-01-01 21:43:08.521328,0 days 00:00:05.895230,1,50,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.9590649968453554,2025-01-01 21:43:08.521696,2025-01-01 21:43:12.827467,0 days 00:00:04.305771,2,35,100.0,,,,,,,,,,,,,,,,,,,5,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
