,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
28,28,0.0,2025-01-01 07:09:11.561892,2025-01-01 07:09:17.601305,0 days 00:00:06.039413,10,175,65.0,,,,,,,,,,,80.0,30.0,70.0,50.0,55.0,200.0,5.0,135.0,3,3.0,,,,,,,,,,,4.0,2.0,5.0,6.0,3.0,4.0,6.0,2.0,COMPLETE
29,29,0.8046218487394958,2025-01-01 07:09:17.601881,2025-01-01 07:09:21.413435,0 days 00:00:03.811554,2,120,145.0,,,,,,,,,,,,,,,,,,,2,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
30,30,0.0,2025-01-01 07:09:21.413772,2025-01-01 07:09:23.792123,0 days 00:00:02.378351,4,175,55.0,,,,,,,,,,,115.0,160.0,,,,,,,2,2.0,,,,,,,,,,,5.0,3.0,,,,,,,COMPLETE
31,31,0.8548009367681498,2025-01-01 07:09:23.792494,2025-01-01 07:09:26.600944,0 days 00:00:02.808450,1,200,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.8385416666666667,2025-01-01 07:09:26.601244,2025-01-01 07:09:31.906376,0 days 00:00:05.305132,2,185,20.0,,,,,,,,,,,,,,,,,,,2,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.7704301075268818,2025-01-01 07:09:31.906732,2025-01-01 07:09:40.150500,0 days 00:00:08.243768,4,145,85.0,,,,,,,,,,,40.0,120.0,,,,,,,3,3.0,,,,,,,,,,,3.0,5.0,,,,,,,COMPLETE
34,34,0.8696969696969696,2025-01-01 07:09:40.150888,2025-01-01 07:09:43.085333,0 days 00:00:02.934445,1,170,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.7968253968253969,2025-01-01 07:09:43.085697,2025-01-01 07:09:47.607167,0 days 00:00:04.521470,2,160,135.0,,,,,,,,,,,,,,,,,,,2,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.0,2025-01-01 07:09:47.607509,2025-01-01 07:09:50.856276,0 days 00:00:03.248767,5,175,45.0,,,,,,,,,,,145.0,85.0,170.0,,,,,,3,5.0,,,,,,,,,,,4.0,4.0,3.0,,,,,,COMPLETE
37,37,0.0,2025-01-01 07:09:50.856689,2025-01-01 07:09:58.881335,0 days 00:00:08.024646,12,125,170.0,200.0,5.0,,,,,,,,,180.0,185.0,90.0,170.0,5.0,55.0,95.0,135.0,3,4.0,5.0,4.0,,,,,,,,,6.0,2.0,2.0,4.0,5.0,5.0,5.0,6.0,COMPLETE
38,38,0.0,2025-01-01 07:09:58.881956,2025-01-01 07:10:08.348985,0 days 00:00:09.467029,18,135,110.0,5.0,200.0,30.0,5.0,200.0,5.0,195.0,60.0,,,30.0,135.0,45.0,120.0,160.0,95.0,55.0,140.0,2,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,6.0,,,5.0,3.0,4.0,5.0,3.0,2.0,5.0,2.0,COMPLETE
39,39,0.8377192982456141,2025-01-01 07:10:08.349819,2025-01-01 07:10:11.635609,0 days 00:00:03.285790,1,165,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
40,40,0.0,2025-01-01 07:10:11.635917,2025-01-01 07:10:16.548699,0 days 00:00:04.912782,7,185,135.0,,,,,,,,,,,100.0,50.0,25.0,30.0,105.0,,,,3,6.0,,,,,,,,,,,2.0,5.0,6.0,3.0,6.0,,,,COMPLETE
41,41,0.8600924499229583,2025-01-01 07:10:16.549175,2025-01-01 07:10:19.249289,0 days 00:00:02.700114,1,195,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.8548009367681498,2025-01-01 07:10:19.249609,2025-01-01 07:10:23.815205,0 days 00:00:04.565596,2,190,200.0,,,,,,,,,,,,,,,,,,,2,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.8544980443285528,2025-01-01 07:10:23.815575,2025-01-01 07:10:28.980954,0 days 00:00:05.165379,3,150,55.0,,,,,,,,,,,50.0,,,,,,,,2,2.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
44,44,0.8501567398119122,2025-01-01 07:10:28.981322,2025-01-01 07:10:31.976796,0 days 00:00:02.995474,1,170,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.0,2025-01-01 07:10:31.977113,2025-01-01 07:10:41.043239,0 days 00:00:09.066126,16,200,25.0,85.0,55.0,50.0,140.0,180.0,185.0,,,,,10.0,115.0,120.0,95.0,75.0,10.0,200.0,170.0,2,3.0,5.0,4.0,2.0,2.0,4.0,4.0,,,,,2.0,4.0,3.0,6.0,4.0,4.0,3.0,5.0,COMPLETE
46,46,0.8221642764015646,2025-01-01 07:10:41.043928,2025-01-01 07:10:47.906079,0 days 00:00:06.862151,4,185,115.0,,,,,,,,,,,200.0,25.0,,,,,,,3,4.0,,,,,,,,,,,4.0,2.0,,,,,,,COMPLETE
47,47,0.8868318122555411,2025-01-01 07:10:47.906461,2025-01-01 07:10:51.540083,0 days 00:00:03.633622,2,155,165.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.0,2025-01-01 07:10:51.540421,2025-01-01 07:11:02.497735,0 days 00:00:10.957314,20,155,155.0,155.0,65.0,60.0,200.0,15.0,85.0,15.0,200.0,5.0,190.0,85.0,140.0,95.0,75.0,25.0,145.0,125.0,50.0,6,2.0,3.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,3.0,6.0,5.0,5.0,COMPLETE
49,49,0.8868318122555411,2025-01-01 07:11:02.498523,2025-01-01 07:11:06.373628,0 days 00:00:03.875105,2,110,125.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.0,2025-01-01 07:11:06.373976,2025-01-01 07:11:12.821527,0 days 00:00:06.447551,10,95,125.0,,,,,,,,,,,185.0,85.0,145.0,170.0,195.0,40.0,5.0,95.0,3,2.0,,,,,,,,,,,6.0,6.0,4.0,4.0,5.0,5.0,3.0,4.0,COMPLETE
51,51,0.8781068217874141,2025-01-01 07:11:12.822085,2025-01-01 07:11:16.705354,0 days 00:00:03.883269,2,120,185.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.8387096774193549,2025-01-01 07:11:16.705843,2025-01-01 07:11:20.339143,0 days 00:00:03.633300,2,115,180.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.7741935483870968,2025-01-01 07:11:20.339494,2025-01-01 07:11:26.433370,0 days 00:00:06.093876,3,100,190.0,,,,,,,,,,,25.0,,,,,,,,2,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
54,54,0.0,2025-01-01 07:11:26.433753,2025-01-01 07:11:28.530304,0 days 00:00:02.096551,4,115,165.0,,,,,,,,,,,135.0,55.0,,,,,,,2,3.0,,,,,,,,,,,2.0,3.0,,,,,,,COMPLETE
55,55,0.0,2025-01-01 07:11:28.530686,2025-01-01 07:11:31.553306,0 days 00:00:03.022620,5,80,185.0,,,,,,,,,,,120.0,90.0,170.0,,,,,,2,2.0,,,,,,,,,,,4.0,3.0,6.0,,,,,,COMPLETE
56,56,0.8130618720253834,2025-01-01 07:11:31.553740,2025-01-01 07:11:35.254007,0 days 00:00:03.700267,2,140,145.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.0,2025-01-01 07:11:35.254360,2025-01-01 07:11:43.447134,0 days 00:00:08.192774,14,110,160.0,200.0,160.0,200.0,5.0,,,,,,,5.0,105.0,30.0,120.0,110.0,95.0,65.0,115.0,3,2.0,5.0,3.0,5.0,4.0,,,,,,,3.0,6.0,2.0,5.0,6.0,3.0,6.0,2.0,COMPLETE
58,58,0.8617133791644632,2025-01-01 07:11:43.447803,2025-01-01 07:11:50.218451,0 days 00:00:06.770648,3,155,130.0,,,,,,,,,,,155.0,,,,,,,,2,2.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
59,59,0.8348484848484848,2025-01-01 07:11:50.218847,2025-01-01 07:11:55.855567,0 days 00:00:05.636720,1,130,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
60,60,0.8225344782721832,2025-01-01 07:11:55.855897,2025-01-01 07:11:59.483183,0 days 00:00:03.627286,2,90,170.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
61,61,0.8501567398119122,2025-01-01 07:11:59.483535,2025-01-01 07:12:02.315726,0 days 00:00:02.832191,1,165,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.861904761904762,2025-01-01 07:12:02.316053,2025-01-01 07:12:05.489083,0 days 00:00:03.173030,1,180,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.8261344997266267,2025-01-01 07:12:05.489408,2025-01-01 07:12:10.109226,0 days 00:00:04.619818,3,165,105.0,,,,,,,,,,,105.0,,,,,,,,2,2.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
64,64,0.8380355276907001,2025-01-01 07:12:10.109612,2025-01-01 07:12:13.512375,0 days 00:00:03.402763,2,145,155.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
65,65,0.0,2025-01-01 07:12:13.512728,2025-01-01 07:12:15.989950,0 days 00:00:02.477222,4,105,195.0,,,,,,,,,,,75.0,60.0,,,,,,,2,3.0,,,,,,,,,,,4.0,2.0,,,,,,,COMPLETE
66,66,0.7742165242165242,2025-01-01 07:12:15.990324,2025-01-01 07:12:19.233659,0 days 00:00:03.243335,1,190,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
67,67,0.8771883289124669,2025-01-01 07:12:19.234148,2025-01-01 07:12:25.676653,0 days 00:00:06.442505,3,180,180.0,,,,,,,,,,,55.0,,,,,,,,2,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
68,68,0.8544980443285528,2025-01-01 07:12:25.677041,2025-01-01 07:12:32.151672,0 days 00:00:06.474631,3,180,180.0,,,,,,,,,,,60.0,,,,,,,,3,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
69,69,0.7575757575757576,2025-01-01 07:12:32.152077,2025-01-01 07:12:49.473132,0 days 00:00:17.321055,5,195,200.0,,,,,,,,,,,50.0,5.0,60.0,,,,,,2,2.0,,,,,,,,,,,6.0,4.0,3.0,,,,,,COMPLETE
70,70,0.0,2025-01-01 07:12:49.473595,2025-01-01 07:12:53.541199,0 days 00:00:04.067604,6,160,145.0,,,,,,,,,,,20.0,35.0,5.0,65.0,,,,,4,3.0,,,,,,,,,,,4.0,5.0,5.0,3.0,,,,,COMPLETE
71,71,0.8385416666666667,2025-01-01 07:12:53.541695,2025-01-01 07:12:57.216440,0 days 00:00:03.674745,2,170,175.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.8572639909553419,2025-01-01 07:12:57.216798,2025-01-01 07:12:59.922714,0 days 00:00:02.705916,1,180,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.7902680197762164,2025-01-01 07:12:59.923040,2025-01-01 07:13:05.974240,0 days 00:00:06.051200,3,175,190.0,,,,,,,,,,,50.0,,,,,,,,2,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
74,74,0.8548009367681498,2025-01-01 07:13:05.974637,2025-01-01 07:13:09.640372,0 days 00:00:03.665735,2,170,165.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
75,75,0.8696969696969696,2025-01-01 07:13:09.640730,2025-01-01 07:13:12.553722,0 days 00:00:02.912992,1,190,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
76,76,0.829190904283448,2025-01-01 07:13:12.554043,2025-01-01 07:13:16.190327,0 days 00:00:03.636284,2,155,120.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
77,77,0.0,2025-01-01 07:13:16.190679,2025-01-01 07:13:19.182191,0 days 00:00:02.991512,4,125,95.0,,,,,,,,,,,95.0,185.0,,,,,,,3,2.0,,,,,,,,,,,5.0,6.0,,,,,,,COMPLETE
78,78,0.8696969696969696,2025-01-01 07:13:19.182607,2025-01-01 07:13:22.051327,0 days 00:00:02.868720,1,145,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.0,2025-01-01 07:13:22.051803,2025-01-01 07:13:28.977549,0 days 00:00:06.925746,12,180,150.0,80.0,5.0,,,,,,,,,70.0,155.0,90.0,25.0,160.0,160.0,30.0,35.0,2,2.0,2.0,5.0,,,,,,,,,4.0,5.0,5.0,4.0,2.0,2.0,4.0,6.0,COMPLETE
80,80,0.7720588235294117,2025-01-01 07:13:28.978162,2025-01-01 07:13:35.936830,0 days 00:00:06.958668,3,170,140.0,,,,,,,,,,,30.0,,,,,,,,2,3.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
81,81,0.8696969696969696,2025-01-01 07:13:35.937216,2025-01-01 07:13:38.432843,0 days 00:00:02.495627,1,190,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.8771883289124669,2025-01-01 07:13:38.433167,2025-01-01 07:13:42.871272,0 days 00:00:04.438105,2,195,185.0,,,,,,,,,,,,,,,,,,,2,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
83,83,0.7966684294024325,2025-01-01 07:13:42.871663,2025-01-01 07:13:46.976628,0 days 00:00:04.104965,2,200,185.0,,,,,,,,,,,,,,,,,,,2,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
84,84,0.8709677419354839,2025-01-01 07:13:46.976989,2025-01-01 07:13:52.626378,0 days 00:00:05.649389,3,185,175.0,,,,,,,,,,,125.0,,,,,,,,2,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
85,85,0.8548009367681498,2025-01-01 07:13:52.626761,2025-01-01 07:13:58.474955,0 days 00:00:05.848194,3,195,170.0,,,,,,,,,,,125.0,,,,,,,,2,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
86,86,0.8221642764015646,2025-01-01 07:13:58.475335,2025-01-01 07:14:07.362512,0 days 00:00:08.887177,4,185,175.0,,,,,,,,,,,150.0,70.0,,,,,,,2,4.0,,,,,,,,,,,3.0,6.0,,,,,,,COMPLETE
87,87,0.829190904283448,2025-01-01 07:14:07.362958,2025-01-01 07:14:11.488949,0 days 00:00:04.125991,2,60,195.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
88,88,0.7580015612802498,2025-01-01 07:14:11.489305,2025-01-01 07:14:16.667470,0 days 00:00:05.178165,3,195,185.0,,,,,,,,,,,130.0,,,,,,,,2,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
89,89,0.0,2025-01-01 07:14:16.667861,2025-01-01 07:14:19.003796,0 days 00:00:02.335935,4,180,165.0,,,,,,,,,,,85.0,135.0,,,,,,,2,4.0,,,,,,,,,,,4.0,2.0,,,,,,,COMPLETE
90,90,0.743421052631579,2025-01-01 07:14:19.004189,2025-01-01 07:14:29.704374,0 days 00:00:10.700185,5,185,160.0,,,,,,,,,,,170.0,20.0,75.0,,,,,,5,5.0,,,,,,,,,,,5.0,4.0,3.0,,,,,,COMPLETE
91,91,0.8499583217560434,2025-01-01 07:14:29.704832,2025-01-01 07:14:32.423064,0 days 00:00:02.718232,1,160,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
92,92,0.7641459545214172,2025-01-01 07:14:32.423540,2025-01-01 07:14:36.131267,0 days 00:00:03.707727,2,175,180.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
93,93,0.8696969696969696,2025-01-01 07:14:36.131624,2025-01-01 07:14:38.939599,0 days 00:00:02.807975,1,170,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
94,94,0.0,2025-01-01 07:14:38.939926,2025-01-01 07:14:44.499627,0 days 00:00:05.559701,9,190,190.0,,,,,,,,,,,110.0,170.0,110.0,145.0,70.0,120.0,80.0,,2,5.0,,,,,,,,,,,3.0,3.0,4.0,6.0,4.0,4.0,3.0,,COMPLETE
95,95,0.8221642764015646,2025-01-01 07:14:44.500233,2025-01-01 07:14:48.160556,0 days 00:00:03.660323,2,175,155.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
96,96,0.8548009367681498,2025-01-01 07:14:48.160906,2025-01-01 07:14:53.425396,0 days 00:00:05.264490,3,185,195.0,,,,,,,,,,,160.0,,,,,,,,2,4.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
