,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
29,29,0.0,2025-01-01 09:52:23.599950,2025-01-01 09:52:28.411669,0 days 00:00:04.811719,8,110,130.0,,,,,,,,,,,55.0,200.0,115.0,100.0,55.0,160.0,,,5,2.0,,,,,,,,,,,2.0,4.0,5.0,4.0,5.0,5.0,,,COMPLETE
30,30,0.0,2025-01-01 09:52:28.412174,2025-01-01 09:52:31.329073,0 days 00:00:02.916899,5,80,165.0,,,,,,,,,,,115.0,115.0,45.0,,,,,,4,4.0,,,,,,,,,,,2.0,6.0,2.0,,,,,,COMPLETE
31,31,0.8230516817063167,2025-01-01 09:52:31.329508,2025-01-01 09:52:35.040537,0 days 00:00:03.711029,2,20,170.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.8482021844853703,2025-01-01 09:52:35.040914,2025-01-01 09:52:39.049121,0 days 00:00:04.008207,2,60,190.0,,,,,,,,,,,,,,,,,,,6,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.790796425220955,2025-01-01 09:52:39.049489,2025-01-01 09:52:42.418789,0 days 00:00:03.369300,1,110,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.8123653769445554,2025-01-01 09:52:42.419125,2025-01-01 09:52:48.915374,0 days 00:00:06.496249,4,60,195.0,,,,,,,,,,,140.0,65.0,,,,,,,6,2.0,,,,,,,,,,,3.0,3.0,,,,,,,COMPLETE
35,35,0.8392344497607656,2025-01-01 09:52:48.915785,2025-01-01 09:52:54.575393,0 days 00:00:05.659608,3,85,145.0,,,,,,,,,,,170.0,,,,,,,,6,3.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
36,36,0.0,2025-01-01 09:52:54.575909,2025-01-01 09:52:58.330572,0 days 00:00:03.754663,6,130,185.0,,,,,,,,,,,85.0,25.0,130.0,120.0,,,,,6,4.0,,,,,,,,,,,3.0,5.0,4.0,3.0,,,,,COMPLETE
37,37,0.8508355176933159,2025-01-01 09:52:58.331054,2025-01-01 09:53:03.147425,0 days 00:00:04.816371,2,105,160.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.8071911196911197,2025-01-01 09:53:03.147802,2025-01-01 09:53:07.958199,0 days 00:00:04.810397,2,105,180.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
