,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
29,29,0.0,2025-01-01 12:48:37.787190,2025-01-01 12:48:53.921456,0 days 00:00:16.134266,5,105,80.0,,,,,,,,,,,110.0,70.0,115.0,,,,,,5,4.0,,,,,,,,,,,2.0,3.0,4.0,,,,,,COMPLETE
30,30,0.0,2025-01-01 12:48:53.921987,2025-01-01 12:49:27.458144,0 days 00:00:33.536157,5,165,180.0,,,,,,,,,,,145.0,155.0,80.0,,,,,,6,3.0,,,,,,,,,,,4.0,5.0,3.0,,,,,,COMPLETE
31,31,0.8724748049965216,2025-01-01 12:49:27.458568,2025-01-01 12:50:33.176206,0 days 00:01:05.717638,2,190,50.0,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.0,2025-01-01 12:50:33.176674,2025-01-01 12:51:07.965656,0 days 00:00:34.788982,4,185,75.0,,,,,,,,,,,185.0,100.0,,,,,,,5,5.0,,,,,,,,,,,6.0,4.0,,,,,,,COMPLETE
33,33,0.8757127930839805,2025-01-01 12:51:07.966152,2025-01-01 12:53:00.978018,0 days 00:01:53.011866,3,165,100.0,,,,,,,,,,,150.0,,,,,,,,6,4.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
34,34,0.8425629229411293,2025-01-01 12:53:00.978510,2025-01-01 12:53:13.764809,0 days 00:00:12.786299,1,190,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.0,2025-01-01 12:53:13.765228,2025-01-01 12:53:34.885281,0 days 00:00:21.120053,6,175,125.0,,,,,,,,,,,180.0,50.0,45.0,140.0,,,,,5,3.0,,,,,,,,,,,4.0,4.0,5.0,2.0,,,,,COMPLETE
36,36,0.0,2025-01-01 12:53:34.885725,2025-01-01 12:54:05.011749,0 days 00:00:30.126024,9,30,100.0,,,,,,,,,,,75.0,115.0,180.0,50.0,40.0,160.0,50.0,,6,5.0,,,,,,,,,,,6.0,3.0,2.0,4.0,5.0,5.0,3.0,,COMPLETE
37,37,0.8695640771700979,2025-01-01 12:54:05.012327,2025-01-01 12:55:37.240988,0 days 00:01:32.228661,2,140,70.0,,,,,,,,,,,,,,,,,,,2,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.8715509846524259,2025-01-01 12:55:37.241461,2025-01-01 12:56:51.288012,0 days 00:01:14.046551,3,190,25.0,,,,,,,,,,,110.0,,,,,,,,3,4.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
39,39,0.8767520488757377,2025-01-01 12:56:51.288515,2025-01-01 12:59:47.172321,0 days 00:02:55.883806,4,165,45.0,,,,,,,,,,,160.0,5.0,,,,,,,6,5.0,,,,,,,,,,,5.0,5.0,,,,,,,COMPLETE
40,40,0.0,2025-01-01 12:59:47.172851,2025-01-01 13:00:39.211797,0 days 00:00:52.038946,14,90,145.0,60.0,140.0,80.0,200.0,,,,,,,180.0,125.0,25.0,30.0,160.0,70.0,135.0,195.0,4,3.0,4.0,2.0,4.0,3.0,,,,,,,6.0,2.0,4.0,6.0,6.0,3.0,3.0,4.0,COMPLETE
41,41,0.893551072017911,2025-01-01 13:00:39.212576,2025-01-01 13:00:54.867607,0 days 00:00:15.655031,1,165,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.8755251261086432,2025-01-01 13:00:54.867955,2025-01-01 13:02:31.812616,0 days 00:01:36.944661,2,190,120.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.9098017233242709,2025-01-01 13:02:31.813127,2025-01-01 13:02:49.162147,0 days 00:00:17.349020,1,170,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.8913063814115048,2025-01-01 13:02:49.162616,2025-01-01 13:03:07.760529,0 days 00:00:18.597913,1,170,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.8685177230307981,2025-01-01 13:03:07.760876,2025-01-01 13:03:38.809466,0 days 00:00:31.048590,2,130,160.0,,,,,,,,,,,,,,,,,,,6,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.4595893018130822,2025-01-01 13:03:38.809851,2025-01-01 13:03:55.486843,0 days 00:00:16.676992,1,155,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
47,47,0.0,2025-01-01 13:03:55.487302,2025-01-01 13:04:06.810059,0 days 00:00:11.322757,4,115,110.0,,,,,,,,,,,15.0,190.0,,,,,,,5,2.0,,,,,,,,,,,3.0,6.0,,,,,,,COMPLETE
48,48,0.0,2025-01-01 13:04:06.810471,2025-01-01 13:04:15.040246,0 days 00:00:08.229775,3,170,190.0,,,,,,,,,,,45.0,,,,,,,,5,2.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
49,49,0.0,2025-01-01 13:04:15.040621,2025-01-01 13:04:38.967010,0 days 00:00:23.926389,7,140,130.0,,,,,,,,,,,5.0,155.0,110.0,80.0,75.0,,,,6,3.0,,,,,,,,,,,3.0,2.0,6.0,3.0,2.0,,,,COMPLETE
50,50,0.898986580964283,2025-01-01 13:04:38.967597,2025-01-01 13:04:56.580300,0 days 00:00:17.612703,1,155,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
51,51,0.8572828235813243,2025-01-01 13:04:56.580666,2025-01-01 13:05:12.046527,0 days 00:00:15.465861,1,150,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.8719675657394498,2025-01-01 13:05:12.046841,2025-01-01 13:05:46.662207,0 days 00:00:34.615366,2,170,155.0,,,,,,,,,,,,,,,,,,,6,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.8428165903057769,2025-01-01 13:05:46.662680,2025-01-01 13:06:05.979296,0 days 00:00:19.316616,1,160,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.8729410260559871,2025-01-01 13:06:05.979651,2025-01-01 13:06:37.653291,0 days 00:00:31.673640,2,45,135.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
55,55,0.0,2025-01-01 13:06:37.653765,2025-01-01 13:07:05.377383,0 days 00:00:27.723618,4,150,170.0,,,,,,,,,,,85.0,55.0,,,,,,,5,6.0,,,,,,,,,,,2.0,5.0,,,,,,,COMPLETE
56,56,0.8776530334842989,2025-01-01 13:07:05.377793,2025-01-01 13:08:32.986714,0 days 00:01:27.608921,3,180,185.0,,,,,,,,,,,40.0,,,,,,,,6,2.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
57,57,0.544180841679531,2025-01-01 13:08:32.987212,2025-01-01 13:08:52.208016,0 days 00:00:19.220804,1,155,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.0,2025-01-01 13:08:52.208449,2025-01-01 13:09:42.987570,0 days 00:00:50.779121,10,170,145.0,,,,,,,,,,,60.0,80.0,65.0,120.0,155.0,115.0,55.0,15.0,5,3.0,,,,,,,,,,,4.0,3.0,3.0,2.0,4.0,5.0,6.0,3.0,COMPLETE
59,59,0.0,2025-01-01 13:09:42.988187,2025-01-01 13:11:05.208593,0 days 00:01:22.220406,18,95,95.0,150.0,55.0,70.0,85.0,5.0,160.0,5.0,25.0,,,100.0,5.0,170.0,165.0,35.0,75.0,115.0,100.0,6,5.0,3.0,4.0,4.0,6.0,6.0,2.0,6.0,2.0,,,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,COMPLETE
60,60,0.8668664037862395,2025-01-01 13:11:05.209477,2025-01-01 13:13:13.021536,0 days 00:02:07.812059,2,180,200.0,,,,,,,,,,,,,,,,,,,5,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
61,61,0.8827072631574189,2025-01-01 13:13:13.022054,2025-01-01 13:13:28.524915,0 days 00:00:15.502861,1,195,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.0,2025-01-01 13:13:28.525359,2025-01-01 13:13:42.431420,0 days 00:00:13.906061,5,185,55.0,,,,,,,,,,,25.0,90.0,130.0,,,,,,6,3.0,,,,,,,,,,,2.0,6.0,2.0,,,,,,COMPLETE
63,63,0.8664375833057116,2025-01-01 13:13:42.431881,2025-01-01 13:14:51.008129,0 days 00:01:08.576248,2,175,65.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
64,64,0.8915557273053094,2025-01-01 13:14:51.008650,2025-01-01 13:15:06.710272,0 days 00:00:15.701622,1,5,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
65,65,0.8726761225023623,2025-01-01 13:15:06.710751,2025-01-01 13:17:00.711651,0 days 00:01:54.000900,3,75,115.0,,,,,,,,,,,85.0,,,,,,,,6,6.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
