,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
37,37,0.2186932849364791,2025-01-05 13:30:51.612372,2025-01-05 13:31:07.203651,0 days 00:00:15.591279,7,11,1.0,,,,,,,,,,,7.0,10.0,2.0,1.0,4.0,,,,25,50.0,,,,,,,,,,,25.0,35.0,60.0,15.0,20.0,,,,COMPLETE
38,38,0.84,2025-01-05 13:31:07.204273,2025-01-05 13:31:12.011353,0 days 00:00:04.807080,2,9,7.0,,,,,,,,,,,,,,,,,,,30,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.4365079365079365,2025-01-05 13:31:12.011713,2025-01-05 13:31:17.768994,0 days 00:00:05.757281,3,11,7.0,,,,,,,,,,,9.0,,,,,,,,30,30.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
40,40,0.1674937965260546,2025-01-05 13:31:17.769369,2025-01-05 13:31:21.675679,0 days 00:00:03.906310,9,13,5.0,,,,,,,,,,,13.0,14.0,15.0,8.0,15.0,13.0,12.0,,35,40.0,,,,,,,,,,,55.0,25.0,25.0,35.0,50.0,50.0,60.0,,COMPLETE
41,41,0.7708333333333333,2025-01-05 13:31:21.676167,2025-01-05 13:31:26.083104,0 days 00:00:04.406937,2,9,8.0,,,,,,,,,,,,,,,,,,,20,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.39703989703989706,2025-01-05 13:31:26.083449,2025-01-05 13:31:36.763254,0 days 00:00:10.679805,4,10,10.0,,,,,,,,,,,4.0,11.0,,,,,,,10,50.0,,,,,,,,,,,50.0,50.0,,,,,,,COMPLETE
43,43,0.8452380952380952,2025-01-05 13:31:36.763647,2025-01-05 13:31:41.637358,0 days 00:00:04.873711,2,8,6.0,,,,,,,,,,,,,,,,,,,25,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.5219858156028369,2025-01-05 13:31:41.637696,2025-01-05 13:31:47.852163,0 days 00:00:06.214467,3,8,6.0,,,,,,,,,,,14.0,,,,,,,,30,35.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
45,45,0.7944444444444445,2025-01-05 13:31:47.852526,2025-01-05 13:31:52.780068,0 days 00:00:04.927542,1,9,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.3741109530583215,2025-01-05 13:31:52.780388,2025-01-05 13:32:07.788203,0 days 00:00:15.007815,6,11,3.0,,,,,,,,,,,2.0,6.0,12.0,10.0,,,,,25,35.0,,,,,,,,,,,10.0,10.0,50.0,50.0,,,,,COMPLETE
