,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
39,39,0.8727849899546702,2025-01-03 04:41:33.495451,2025-01-03 04:46:28.196139,0 days 00:04:54.700688,3,8,6.0,,,,,,,,,,,9.0,,,,,,,,40,50.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
40,40,0.38353431041623864,2025-01-03 04:46:28.196687,2025-01-03 04:49:11.786388,0 days 00:02:43.589701,7,2,8.0,,,,,,,,,,,3.0,8.0,8.0,8.0,9.0,,,,10,25.0,,,,,,,,,,,15.0,45.0,30.0,20.0,30.0,,,,COMPLETE
41,41,0.768834781224649,2025-01-03 04:49:11.787001,2025-01-03 04:49:25.652236,0 days 00:00:13.865235,1,4,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.8918823974158068,2025-01-03 04:49:25.652549,2025-01-03 04:50:40.492532,0 days 00:01:14.839983,2,6,4.0,,,,,,,,,,,,,,,,,,,20,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.8742922244697386,2025-01-03 04:50:40.493054,2025-01-03 04:52:53.438072,0 days 00:02:12.945018,4,6,4.0,,,,,,,,,,,5.0,1.0,,,,,,,20,50.0,,,,,,,,,,,45.0,25.0,,,,,,,COMPLETE
44,44,0.868158536198288,2025-01-03 04:52:53.438630,2025-01-03 04:55:50.809037,0 days 00:02:57.370407,3,4,2.0,,,,,,,,,,,13.0,,,,,,,,25,60.0,,,,,,,,,,,30.0,,,,,,,,COMPLETE
45,45,0.8673069372956366,2025-01-03 04:55:50.809579,2025-01-03 04:56:48.772073,0 days 00:00:57.962494,2,5,5.0,,,,,,,,,,,,,,,,,,,15,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.30480715666142266,2025-01-03 04:56:48.772585,2025-01-03 05:02:30.845559,0 days 00:05:42.072974,6,8,7.0,,,,,,,,,,,1.0,11.0,10.0,13.0,,,,,40,45.0,,,,,,,,,,,10.0,55.0,40.0,5.0,,,,,COMPLETE
47,47,0.8149191520520462,2025-01-03 05:02:30.846170,2025-01-03 05:04:18.262000,0 days 00:01:47.415830,1,9,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.8709410663611383,2025-01-03 05:04:18.262504,2025-01-03 05:07:03.026352,0 days 00:02:44.763848,3,7,1.0,,,,,,,,,,,2.0,,,,,,,,50,50.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
