,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
63,63,0.44494521032166845,2025-01-05 14:55:48.682367,2025-01-05 14:55:54.151531,0 days 00:00:05.469164,3,7,6.0,,,,,,,,,,,12.0,,,,,,,,40,40.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
64,64,0.8006866297921038,2025-01-05 14:55:54.151885,2025-01-05 14:55:58.581607,0 days 00:00:04.429722,1,6,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
65,65,0.8161705551086083,2025-01-05 14:55:58.581923,2025-01-05 14:56:02.043025,0 days 00:00:03.461102,2,6,1.0,,,,,,,,,,,,,,,,,,,35,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
66,66,0.7944954128440367,2025-01-05 14:56:02.043371,2025-01-05 14:56:05.612389,0 days 00:00:03.569018,2,3,1.0,,,,,,,,,,,,,,,,,,,30,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
67,67,0.4247881355932204,2025-01-05 14:56:05.612723,2025-01-05 14:56:11.193021,0 days 00:00:05.580298,4,9,2.0,,,,,,,,,,,7.0,15.0,,,,,,,25,30.0,,,,,,,,,,,15.0,20.0,,,,,,,COMPLETE
68,68,0.5592497868712702,2025-01-05 14:56:11.193407,2025-01-05 14:56:15.435855,0 days 00:00:04.242448,3,4,3.0,,,,,,,,,,,5.0,,,,,,,,35,25.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
69,69,0.8581536942570347,2025-01-05 14:56:15.436216,2025-01-05 14:56:18.879962,0 days 00:00:03.443746,2,6,4.0,,,,,,,,,,,,,,,,,,,20,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
70,70,0.6378929950358522,2025-01-05 14:56:18.880308,2025-01-05 14:56:23.015842,0 days 00:00:04.135534,1,7,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,COMPLETE
71,71,0.7573617909010671,2025-01-05 14:56:23.016164,2025-01-05 14:56:26.446332,0 days 00:00:03.430168,2,6,4.0,,,,,,,,,,,,,,,,,,,15,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.4836941627843244,2025-01-05 14:56:26.446665,2025-01-05 14:56:31.432120,0 days 00:00:04.985455,3,6,5.0,,,,,,,,,,,15.0,,,,,,,,30,35.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
73,73,0.7837662337662338,2025-01-05 14:56:31.432467,2025-01-05 14:56:34.586021,0 days 00:00:03.153554,2,4,4.0,,,,,,,,,,,,,,,,,,,25,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.7724867724867726,2025-01-05 14:56:34.586352,2025-01-05 14:56:38.828538,0 days 00:00:04.242186,3,7,3.0,,,,,,,,,,,1.0,,,,,,,,30,40.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
75,75,0.8308943089430895,2025-01-05 14:56:38.828892,2025-01-05 14:56:42.716648,0 days 00:00:03.887756,1,5,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,COMPLETE
76,76,0.7175122006582682,2025-01-05 14:56:42.716960,2025-01-05 14:56:47.040805,0 days 00:00:04.323845,1,5,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,COMPLETE
