,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
47,47,0.6270114942528735,2025-01-05 12:09:42.020999,2025-01-05 12:09:46.766712,0 days 00:00:04.745713,4,7,6.0,,,,,,,,,,,2.0,4.0,,,,,,,5,15.0,,,,,,,,,,,40.0,40.0,,,,,,,COMPLETE
48,48,0.2583333333333333,2025-01-05 12:09:46.767155,2025-01-05 12:09:58.452455,0 days 00:00:11.685300,18,10,1.0,7.0,10.0,7.0,1.0,1.0,7.0,15.0,15.0,,,6.0,12.0,13.0,12.0,12.0,3.0,4.0,1.0,25,35.0,60.0,60.0,35.0,30.0,5.0,60.0,60.0,5.0,,,5.0,25.0,30.0,15.0,5.0,15.0,45.0,20.0,COMPLETE
49,49,0.62106135986733,2025-01-05 12:09:58.453255,2025-01-05 12:10:04.072140,0 days 00:00:05.618885,5,5,4.0,,,,,,,,,,,9.0,5.0,3.0,,,,,,60,25.0,,,,,,,,,,,35.0,45.0,55.0,,,,,,COMPLETE
50,50,0.8026932084309133,2025-01-05 12:10:04.072591,2025-01-05 12:10:10.123333,0 days 00:00:06.050742,1,8,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
51,51,0.861228813559322,2025-01-05 12:10:10.123663,2025-01-05 12:10:14.208630,0 days 00:00:04.084967,3,4,3.0,,,,,,,,,,,4.0,,,,,,,,55,25.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
52,52,0.9020715630885122,2025-01-05 12:10:14.208995,2025-01-05 12:10:18.610389,0 days 00:00:04.401394,3,3,2.0,,,,,,,,,,,5.0,,,,,,,,60,20.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
53,53,0.6012006861063465,2025-01-05 12:10:18.610748,2025-01-05 12:10:23.212029,0 days 00:00:04.601281,4,2,2.0,,,,,,,,,,,7.0,2.0,,,,,,,60,15.0,,,,,,,,,,,20.0,10.0,,,,,,,COMPLETE
54,54,0.8225344782721832,2025-01-05 12:10:23.212403,2025-01-05 12:10:26.539106,0 days 00:00:03.326703,2,3,1.0,,,,,,,,,,,,,,,,,,,60,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
55,55,0.8385416666666667,2025-01-05 12:10:26.539440,2025-01-05 12:10:30.688083,0 days 00:00:04.148643,3,7,2.0,,,,,,,,,,,4.0,,,,,,,,20,45.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
56,56,0.5123018042646255,2025-01-05 12:10:30.688434,2025-01-05 12:10:36.466637,0 days 00:00:05.778203,5,1,5.0,,,,,,,,,,,2.0,10.0,10.0,,,,,,60,30.0,,,,,,,,,,,10.0,55.0,25.0,,,,,,COMPLETE
57,57,0.8193181818181818,2025-01-05 12:10:36.467048,2025-01-05 12:10:42.330104,0 days 00:00:05.863056,1,6,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.4438839848675914,2025-01-05 12:10:42.330417,2025-01-05 12:10:50.303119,0 days 00:00:07.972702,6,3,3.0,,,,,,,,,,,5.0,13.0,6.0,3.0,,,,,55,40.0,,,,,,,,,,,30.0,40.0,40.0,30.0,,,,,COMPLETE
59,59,0.13333333333333333,2025-01-05 12:10:50.303539,2025-01-05 12:11:06.358151,0 days 00:00:16.054612,9,5,4.0,,,,,,,,,,,1.0,11.0,15.0,5.0,3.0,6.0,12.0,,45,15.0,,,,,,,,,,,20.0,15.0,10.0,55.0,45.0,55.0,35.0,,COMPLETE
60,60,0.4145299145299145,2025-01-05 12:11:06.358651,2025-01-05 12:11:11.329989,0 days 00:00:04.971338,4,9,13.0,,,,,,,,,,,7.0,9.0,,,,,,,50,20.0,,,,,,,,,,,25.0,30.0,,,,,,,COMPLETE
61,61,0.7968253968253969,2025-01-05 12:11:11.330380,2025-01-05 12:11:15.445154,0 days 00:00:04.114774,3,4,3.0,,,,,,,,,,,5.0,,,,,,,,55,25.0,,,,,,,,,,,10.0,,,,,,,,COMPLETE
62,62,0.8868318122555411,2025-01-05 12:11:15.445515,2025-01-05 12:11:18.785442,0 days 00:00:03.339927,2,4,2.0,,,,,,,,,,,,,,,,,,,55,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.7968253968253969,2025-01-05 12:11:18.785776,2025-01-05 12:11:22.143530,0 days 00:00:03.357754,2,3,1.0,,,,,,,,,,,,,,,,,,,60,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
64,64,0.8351482153660013,2025-01-05 12:11:22.143866,2025-01-05 12:11:25.504168,0 days 00:00:03.360302,1,2,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
65,65,0.8291777188328913,2025-01-05 12:11:25.504478,2025-01-05 12:11:28.848363,0 days 00:00:03.343885,2,5,2.0,,,,,,,,,,,,,,,,,,,55,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
66,66,0.3881578947368421,2025-01-05 12:11:28.848691,2025-01-05 12:11:34.056493,0 days 00:00:05.207802,4,1,12.0,,,,,,,,,,,6.0,7.0,,,,,,,60,40.0,,,,,,,,,,,45.0,20.0,,,,,,,COMPLETE
67,67,0.7898305084745763,2025-01-05 12:11:34.056933,2025-01-05 12:11:38.175866,0 days 00:00:04.118933,3,4,5.0,,,,,,,,,,,4.0,,,,,,,,55,35.0,,,,,,,,,,,35.0,,,,,,,,COMPLETE
68,68,0.0,2025-01-05 12:11:38.176350,2025-01-05 12:12:10.354242,0 days 00:00:32.177892,20,6,1.0,12.0,9.0,11.0,9.0,11.0,14.0,13.0,15.0,1.0,13.0,1.0,3.0,11.0,9.0,15.0,14.0,11.0,6.0,50,30.0,15.0,5.0,45.0,50.0,60.0,5.0,5.0,60.0,5.0,60.0,20.0,50.0,20.0,10.0,25.0,25.0,50.0,50.0,COMPLETE
69,69,0.9191655801825294,2025-01-05 12:12:10.355078,2025-01-05 12:12:13.679805,0 days 00:00:03.324727,2,3,2.0,,,,,,,,,,,,,,,,,,,40,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
70,70,0.7267194157029824,2025-01-05 12:12:13.680159,2025-01-05 12:12:19.732007,0 days 00:00:06.051848,1,10,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,COMPLETE
71,71,0.8286546610169492,2025-01-05 12:12:19.732335,2025-01-05 12:12:23.041915,0 days 00:00:03.309580,2,3,2.0,,,,,,,,,,,,,,,,,,,35,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.861228813559322,2025-01-05 12:12:23.042248,2025-01-05 12:12:27.415148,0 days 00:00:04.372900,3,2,3.0,,,,,,,,,,,3.0,,,,,,,,45,15.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
73,73,0.861228813559322,2025-01-05 12:12:27.415500,2025-01-05 12:12:30.763392,0 days 00:00:03.347892,2,3,2.0,,,,,,,,,,,,,,,,,,,40,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.46695402298850575,2025-01-05 12:12:30.763723,2025-01-05 12:12:37.149382,0 days 00:00:06.385659,5,4,4.0,,,,,,,,,,,9.0,11.0,2.0,,,,,,45,20.0,,,,,,,,,,,45.0,35.0,55.0,,,,,,COMPLETE
75,75,0.7935064935064935,2025-01-05 12:12:37.149779,2025-01-05 12:12:40.987451,0 days 00:00:03.837672,1,2,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,COMPLETE
