,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
32,32,0.8695438622010825,2025-01-05 19:42:58.924999,2025-01-05 19:44:45.567878,0 days 00:01:46.642879,2,2,8.0,,,,,,,,,,,,,,,,,,,60,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.8726263740265415,2025-01-05 19:44:45.568366,2025-01-05 19:47:01.802969,0 days 00:02:16.234603,4,8,5.0,,,,,,,,,,,3.0,5.0,,,,,,,50,25.0,,,,,,,,,,,40.0,10.0,,,,,,,COMPLETE
34,34,0.8813787015626047,2025-01-05 19:47:01.803500,2025-01-05 19:51:36.789138,0 days 00:04:34.985638,4,13,3.0,,,,,,,,,,,7.0,3.0,,,,,,,55,50.0,,,,,,,,,,,50.0,35.0,,,,,,,COMPLETE
35,35,0.3011297495162688,2025-01-05 19:51:36.789662,2025-01-05 19:54:39.855732,0 days 00:03:03.066070,8,6,7.0,,,,,,,,,,,9.0,3.0,12.0,3.0,10.0,10.0,,,10,50.0,,,,,,,,,,,50.0,35.0,40.0,30.0,40.0,20.0,,,COMPLETE
36,36,0.0,2025-01-05 19:54:39.856331,2025-01-05 20:11:43.777241,0 days 00:17:03.920910,20,11,5.0,11.0,11.0,10.0,1.0,1.0,14.0,1.0,2.0,3.0,14.0,4.0,6.0,15.0,7.0,13.0,10.0,11.0,5.0,60,55.0,5.0,50.0,30.0,60.0,60.0,40.0,60.0,60.0,60.0,60.0,40.0,50.0,25.0,45.0,25.0,5.0,20.0,20.0,COMPLETE
37,37,0.8619162867488415,2025-01-05 20:11:43.778029,2025-01-05 20:14:12.929554,0 days 00:02:29.151525,2,5,9.0,,,,,,,,,,,,,,,,,,,55,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.8564813944146836,2025-01-05 20:14:12.930040,2025-01-05 20:15:59.977526,0 days 00:01:47.047486,1,9,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.3243426560988921,2025-01-05 20:15:59.977991,2025-01-05 20:17:58.751255,0 days 00:01:58.773264,6,3,2.0,,,,,,,,,,,3.0,9.0,3.0,10.0,,,,,20,60.0,,,,,,,,,,,20.0,35.0,40.0,30.0,,,,,COMPLETE
40,40,0.3508609403776599,2025-01-05 20:17:58.751804,2025-01-05 20:19:02.382556,0 days 00:01:03.630752,12,7,7.0,4.0,11.0,,,,,,,,,11.0,2.0,7.0,14.0,3.0,15.0,10.0,3.0,35,30.0,50.0,20.0,,,,,,,,,50.0,25.0,20.0,10.0,5.0,45.0,60.0,60.0,COMPLETE
41,41,0.8812749002428732,2025-01-05 20:19:02.383223,2025-01-05 20:23:46.185173,0 days 00:04:43.801950,4,14,2.0,,,,,,,,,,,7.0,3.0,,,,,,,55,50.0,,,,,,,,,,,60.0,20.0,,,,,,,COMPLETE
