,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
29,29,0.40784313725490196,2025-01-05 16:08:37.873428,2025-01-05 16:08:44.962688,0 days 00:00:07.089260,15,9,2.0,11.0,14.0,9.0,7.0,15.0,,,,,,3.0,15.0,6.0,5.0,11.0,11.0,1.0,10.0,35,25.0,45.0,5.0,35.0,35.0,60.0,,,,,,60.0,20.0,5.0,45.0,20.0,20.0,35.0,60.0,COMPLETE
30,30,0.2975376196990424,2025-01-05 16:08:44.963268,2025-01-05 16:08:56.083599,0 days 00:00:11.120331,5,5,9.0,,,,,,,,,,,6.0,9.0,9.0,,,,,,30,15.0,,,,,,,,,,,10.0,10.0,50.0,,,,,,COMPLETE
31,31,0.3411534701857283,2025-01-05 16:08:56.083989,2025-01-05 16:08:59.435481,0 days 00:00:03.351492,1,7,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.6617226125422846,2025-01-05 16:08:59.435774,2025-01-05 16:09:04.126880,0 days 00:00:04.691106,1,9,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.3361244019138756,2025-01-05 16:09:04.127215,2025-01-05 16:09:10.928774,0 days 00:00:06.801559,3,9,15.0,,,,,,,,,,,12.0,,,,,,,,45,30.0,,,,,,,,,,,35.0,,,,,,,,COMPLETE
34,34,0.24000000000000002,2025-01-05 16:09:10.929137,2025-01-05 16:09:15.589333,0 days 00:00:04.660196,13,10,6.0,5.0,5.0,1.0,,,,,,,,9.0,2.0,15.0,8.0,4.0,4.0,11.0,4.0,40,35.0,5.0,30.0,35.0,,,,,,,,50.0,40.0,30.0,5.0,10.0,60.0,20.0,5.0,COMPLETE
35,35,0.5839957604663487,2025-01-05 16:09:15.589874,2025-01-05 16:09:18.925645,0 days 00:00:03.335771,2,4,14.0,,,,,,,,,,,,,,,,,,,45,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.3506944444444444,2025-01-05 16:09:18.925969,2025-01-05 16:09:28.897083,0 days 00:00:09.971114,4,8,12.0,,,,,,,,,,,14.0,12.0,,,,,,,25,40.0,,,,,,,,,,,25.0,50.0,,,,,,,COMPLETE
37,37,0.40967365967365965,2025-01-05 16:09:28.897446,2025-01-05 16:09:38.462573,0 days 00:00:09.565127,8,10,11.0,,,,,,,,,,,6.0,7.0,5.0,3.0,15.0,10.0,,,40,40.0,,,,,,,,,,,10.0,35.0,35.0,50.0,45.0,35.0,,,COMPLETE
38,38,0.357397504456328,2025-01-05 16:09:38.463032,2025-01-05 16:09:43.261536,0 days 00:00:04.798504,1,7,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.19934640522875818,2025-01-05 16:09:43.261835,2025-01-05 16:09:47.898029,0 days 00:00:04.636194,12,4,15.0,11.0,10.0,,,,,,,,,4.0,6.0,4.0,15.0,10.0,15.0,4.0,9.0,35,10.0,45.0,45.0,,,,,,,,,55.0,25.0,15.0,20.0,30.0,15.0,5.0,20.0,COMPLETE
40,40,0.6933333333333334,2025-01-05 16:09:47.898550,2025-01-05 16:09:51.520571,0 days 00:00:03.622021,2,12,2.0,,,,,,,,,,,,,,,,,,,55,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
41,41,0.6570731707317073,2025-01-05 16:09:51.520905,2025-01-05 16:09:55.229489,0 days 00:00:03.708584,2,13,2.0,,,,,,,,,,,,,,,,,,,60,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.5285714285714286,2025-01-05 16:09:55.229883,2025-01-05 16:10:00.821102,0 days 00:00:05.591219,3,14,2.0,,,,,,,,,,,11.0,,,,,,,,60,20.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
43,43,0.6747967479674797,2025-01-05 16:10:00.821612,2025-01-05 16:10:04.711676,0 days 00:00:03.890064,2,12,4.0,,,,,,,,,,,,,,,,,,,55,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.45534665099882493,2025-01-05 16:10:04.712045,2025-01-05 16:10:10.661741,0 days 00:00:05.949696,4,12,4.0,,,,,,,,,,,2.0,10.0,,,,,,,55,25.0,,,,,,,,,,,50.0,55.0,,,,,,,COMPLETE
45,45,0.33850931677018636,2025-01-05 16:10:10.662129,2025-01-05 16:10:24.175683,0 days 00:00:13.513554,6,13,2.0,,,,,,,,,,,3.0,13.0,8.0,1.0,,,,,60,30.0,,,,,,,,,,,25.0,10.0,55.0,40.0,,,,,COMPLETE
46,46,0.6717352415026834,2025-01-05 16:10:24.176125,2025-01-05 16:10:27.721385,0 days 00:00:03.545260,2,12,4.0,,,,,,,,,,,,,,,,,,,55,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
47,47,0.4283559577677225,2025-01-05 16:10:27.721726,2025-01-05 16:10:38.521377,0 days 00:00:10.799651,5,11,4.0,,,,,,,,,,,5.0,2.0,12.0,,,,,,55,35.0,,,,,,,,,,,45.0,20.0,25.0,,,,,,COMPLETE
48,48,0.6073961499493414,2025-01-05 16:10:38.521786,2025-01-05 16:10:42.497753,0 days 00:00:03.975967,2,12,5.0,,,,,,,,,,,,,,,,,,,55,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
49,49,0.2510259917920657,2025-01-05 16:10:42.498097,2025-01-05 16:10:54.342920,0 days 00:00:11.844823,4,15,6.0,,,,,,,,,,,14.0,15.0,,,,,,,50,40.0,,,,,,,,,,,15.0,40.0,,,,,,,COMPLETE
50,50,0.3656597774244833,2025-01-05 16:10:54.343314,2025-01-05 16:11:07.391794,0 days 00:00:13.048480,6,11,4.0,,,,,,,,,,,9.0,14.0,1.0,8.0,,,,,55,15.0,,,,,,,,,,,30.0,45.0,40.0,25.0,,,,,COMPLETE
51,51,0.6850507982583455,2025-01-05 16:11:07.392276,2025-01-05 16:11:11.692392,0 days 00:00:04.300116,2,14,1.0,,,,,,,,,,,,,,,,,,,60,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.6733333333333333,2025-01-05 16:11:11.692743,2025-01-05 16:11:14.776548,0 days 00:00:03.083805,2,14,1.0,,,,,,,,,,,,,,,,,,,60,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.7421568627450981,2025-01-05 16:11:14.776889,2025-01-05 16:11:18.484518,0 days 00:00:03.707629,2,14,1.0,,,,,,,,,,,,,,,,,,,60,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.5805555555555555,2025-01-05 16:11:18.484855,2025-01-05 16:11:22.365778,0 days 00:00:03.880923,3,14,1.0,,,,,,,,,,,7.0,,,,,,,,60,20.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
55,55,0.5343889163780307,2025-01-05 16:11:22.366143,2025-01-05 16:11:27.774850,0 days 00:00:05.408707,3,14,1.0,,,,,,,,,,,12.0,,,,,,,,60,25.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
56,56,0.19853709508881923,2025-01-05 16:11:27.775220,2025-01-05 16:11:44.091281,0 days 00:00:16.316061,9,15,3.0,,,,,,,,,,,1.0,8.0,13.0,11.0,6.0,4.0,12.0,,60,10.0,,,,,,,,,,,35.0,50.0,15.0,55.0,25.0,30.0,25.0,,COMPLETE
57,57,0.4403061224489796,2025-01-05 16:11:44.091964,2025-01-05 16:11:49.060770,0 days 00:00:04.968806,4,14,1.0,,,,,,,,,,,10.0,3.0,,,,,,,50,20.0,,,,,,,,,,,60.0,35.0,,,,,,,COMPLETE
58,58,0.7213862289101687,2025-01-05 16:11:49.061164,2025-01-05 16:11:52.789260,0 days 00:00:03.728096,2,13,2.0,,,,,,,,,,,,,,,,,,,55,15.0,,,,,,,,,,,,,,,,,,,COMPLETE
59,59,0.3923444976076555,2025-01-05 16:11:52.789594,2025-01-05 16:12:04.974789,0 days 00:00:12.185195,5,13,2.0,,,,,,,,,,,14.0,6.0,7.0,,,,,,55,15.0,,,,,,,,,,,5.0,55.0,10.0,,,,,,COMPLETE
60,60,0.64,2025-01-05 16:12:04.975245,2025-01-05 16:12:08.547697,0 days 00:00:03.572452,2,13,1.0,,,,,,,,,,,,,,,,,,,60,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
