,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
75,75,0.9307341594575638,2025-01-06 20:14:25.599555,2025-01-06 20:14:30.516738,0 days 00:00:04.917183,4,1,1.0,,,,,,,,,,,1.0,6.0,,,,,,,20,30.0,,,,,,,,,,,5.0,30.0,,,,,,,COMPLETE
76,76,0.9447842294989359,2025-01-06 20:14:30.517134,2025-01-06 20:14:34.200720,0 days 00:00:03.683586,2,2,2.0,,,,,,,,,,,,,,,,,,,25,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
77,77,0.28342722092722095,2025-01-06 20:14:34.201059,2025-01-06 20:14:45.527860,0 days 00:00:11.326801,12,1,2.0,11.0,4.0,,,,,,,,,10.0,15.0,10.0,6.0,1.0,13.0,10.0,5.0,25,40.0,35.0,45.0,,,,,,,,,15.0,35.0,20.0,35.0,50.0,5.0,30.0,50.0,COMPLETE
78,78,0.9475273719591334,2025-01-06 20:14:45.528495,2025-01-06 20:14:48.968191,0 days 00:00:03.439696,2,2,3.0,,,,,,,,,,,,,,,,,,,15,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.3466980083852266,2025-01-06 20:14:48.968588,2025-01-06 20:14:58.594983,0 days 00:00:09.626395,15,2,3.0,1.0,9.0,4.0,15.0,15.0,,,,,,5.0,13.0,12.0,2.0,4.0,3.0,3.0,10.0,25,35.0,15.0,15.0,50.0,20.0,35.0,,,,,,55.0,5.0,45.0,10.0,15.0,25.0,55.0,25.0,COMPLETE
80,80,0.6966729105342967,2025-01-06 20:14:58.595603,2025-01-06 20:15:07.807367,0 days 00:00:09.211764,3,2,4.0,,,,,,,,,,,8.0,,,,,,,,15,35.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
81,81,0.9434361892105154,2025-01-06 20:15:07.807725,2025-01-06 20:15:13.701797,0 days 00:00:05.894072,2,15,1.0,,,,,,,,,,,,,,,,,,,15,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.9414395140654233,2025-01-06 20:15:13.702130,2025-01-06 20:15:20.446733,0 days 00:00:06.744603,2,15,1.0,,,,,,,,,,,,,,,,,,,20,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
83,83,0.9415512743327313,2025-01-06 20:15:20.447054,2025-01-06 20:15:26.418881,0 days 00:00:05.971827,2,15,1.0,,,,,,,,,,,,,,,,,,,20,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
84,84,0.9501639127123415,2025-01-06 20:15:26.419205,2025-01-06 20:15:35.573816,0 days 00:00:09.154611,4,15,1.0,,,,,,,,,,,2.0,1.0,,,,,,,30,45.0,,,,,,,,,,,50.0,45.0,,,,,,,COMPLETE
85,85,0.9438355086393938,2025-01-06 20:15:35.574206,2025-01-06 20:15:43.683008,0 days 00:00:08.108802,4,14,1.0,,,,,,,,,,,2.0,1.0,,,,,,,30,45.0,,,,,,,,,,,50.0,45.0,,,,,,,COMPLETE
86,86,0.9421557054525014,2025-01-06 20:15:43.683374,2025-01-06 20:15:56.422040,0 days 00:00:12.738666,5,14,1.0,,,,,,,,,,,2.0,1.0,3.0,,,,,,35,50.0,,,,,,,,,,,50.0,45.0,45.0,,,,,,COMPLETE
87,87,0.9101495016611296,2025-01-06 20:15:56.422605,2025-01-06 20:16:10.816028,0 days 00:00:14.393423,5,14,2.0,,,,,,,,,,,2.0,1.0,2.0,,,,,,35,50.0,,,,,,,,,,,50.0,45.0,45.0,,,,,,COMPLETE
88,88,0.5889315449389386,2025-01-06 20:16:10.816483,2025-01-06 20:16:52.068859,0 days 00:00:41.252376,6,14,1.0,,,,,,,,,,,3.0,2.0,4.0,10.0,,,,,35,55.0,,,,,,,,,,,60.0,45.0,55.0,55.0,,,,,COMPLETE
89,89,0.9375547716507482,2025-01-06 20:16:52.069422,2025-01-06 20:17:02.073927,0 days 00:00:10.004505,4,15,2.0,,,,,,,,,,,1.0,1.0,,,,,,,30,45.0,,,,,,,,,,,45.0,50.0,,,,,,,COMPLETE
90,90,0.4083151634151075,2025-01-06 20:17:02.074408,2025-01-06 20:18:02.695824,0 days 00:01:00.621416,8,14,1.0,,,,,,,,,,,4.0,4.0,6.0,4.0,14.0,10.0,,,40,50.0,,,,,,,,,,,55.0,40.0,35.0,45.0,40.0,40.0,,,COMPLETE
91,91,0.9379347816906762,2025-01-06 20:18:02.696457,2025-01-06 20:18:14.759162,0 days 00:00:12.062705,4,15,1.0,,,,,,,,,,,3.0,1.0,,,,,,,30,45.0,,,,,,,,,,,50.0,55.0,,,,,,,COMPLETE
92,92,0.9422427267685172,2025-01-06 20:18:14.759572,2025-01-06 20:18:23.589015,0 days 00:00:08.829443,3,15,2.0,,,,,,,,,,,1.0,,,,,,,,25,50.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
93,93,0.9385366795899501,2025-01-06 20:18:23.589369,2025-01-06 20:18:30.253377,0 days 00:00:06.664008,3,14,2.0,,,,,,,,,,,1.0,,,,,,,,30,50.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
94,94,0.6073779869896374,2025-01-06 20:18:30.253732,2025-01-06 20:18:57.071569,0 days 00:00:26.817837,5,13,3.0,,,,,,,,,,,2.0,5.0,4.0,,,,,,25,55.0,,,,,,,,,,,55.0,45.0,40.0,,,,,,COMPLETE
95,95,0.9360771097406981,2025-01-06 20:18:57.072024,2025-01-06 20:19:05.560339,0 days 00:00:08.488315,3,14,2.0,,,,,,,,,,,2.0,,,,,,,,25,45.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
