,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
55,55,0.8049828106245239,2025-01-01 20:40:55.904226,2025-01-01 20:41:18.525885,0 days 00:00:22.621659,4,100,70.0,,,,,,,,,,,130.0,115.0,,,,,,,COMPLETE
56,56,0.5427971617216761,2025-01-01 20:41:18.526272,2025-01-01 20:41:47.217831,0 days 00:00:28.691559,7,80,90.0,,,,,,,,,,,95.0,45.0,115.0,50.0,80.0,,,,COMPLETE
57,57,0.41170473609498004,2025-01-01 20:41:47.218383,2025-01-01 20:42:41.486692,0 days 00:00:54.268309,20,110,110.0,40.0,35.0,155.0,5.0,85.0,180.0,115.0,65.0,5.0,55.0,145.0,90.0,160.0,90.0,45.0,25.0,40.0,55.0,COMPLETE
58,58,0.8146740467404674,2025-01-01 20:42:41.487194,2025-01-01 20:42:57.622382,0 days 00:00:16.135188,3,85,45.0,,,,,,,,,,,110.0,,,,,,,,COMPLETE
59,59,0.6681080378596229,2025-01-01 20:42:57.622902,2025-01-01 20:43:30.319924,0 days 00:00:32.697022,6,65,65.0,,,,,,,,,,,125.0,65.0,185.0,170.0,,,,,COMPLETE
60,60,0.6981902719835924,2025-01-01 20:43:30.320348,2025-01-01 20:43:56.996272,0 days 00:00:26.675924,5,110,5.0,,,,,,,,,,,105.0,155.0,135.0,,,,,,COMPLETE
61,61,0.8053834477953619,2025-01-01 20:43:56.996693,2025-01-01 20:44:07.298427,0 days 00:00:10.301734,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.8187514741724978,2025-01-01 20:44:07.298922,2025-01-01 20:44:26.476594,0 days 00:00:19.177672,3,100,195.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
63,63,0.8255248424132411,2025-01-01 20:44:26.476980,2025-01-01 20:44:41.233385,0 days 00:00:14.756405,2,115,105.0,,,,,,,,,,,,,,,,,,,COMPLETE
64,64,0.8255098656420333,2025-01-01 20:44:41.233736,2025-01-01 20:45:01.264463,0 days 00:00:20.030727,3,150,55.0,,,,,,,,,,,175.0,,,,,,,,COMPLETE
65,65,0.7898875906680001,2025-01-01 20:45:01.264866,2025-01-01 20:45:20.479103,0 days 00:00:19.214237,4,90,85.0,,,,,,,,,,,10.0,145.0,,,,,,,COMPLETE
66,66,0.8204445432318292,2025-01-01 20:45:20.479645,2025-01-01 20:45:31.473578,0 days 00:00:10.993933,1,135,,,,,,,,,,,,,,,,,,,,COMPLETE
67,67,0.8382680218768482,2025-01-01 20:45:31.473935,2025-01-01 20:45:47.010345,0 days 00:00:15.536410,2,120,140.0,,,,,,,,,,,,,,,,,,,COMPLETE
68,68,0.7748005253421079,2025-01-01 20:45:47.010695,2025-01-01 20:46:15.865025,0 days 00:00:28.854330,5,125,100.0,,,,,,,,,,,160.0,110.0,85.0,,,,,,COMPLETE
69,69,0.2814002267230039,2025-01-01 20:46:15.865466,2025-01-01 20:47:16.518136,0 days 00:01:00.652670,14,105,120.0,130.0,110.0,85.0,140.0,,,,,,,70.0,45.0,165.0,140.0,105.0,70.0,10.0,120.0,COMPLETE
70,70,0.8092092133222197,2025-01-01 20:47:16.518748,2025-01-01 20:47:34.135748,0 days 00:00:17.617000,4,95,135.0,,,,,,,,,,,145.0,80.0,,,,,,,COMPLETE
71,71,0.8164526145104458,2025-01-01 20:47:34.136280,2025-01-01 20:47:50.081435,0 days 00:00:15.945155,2,115,150.0,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.832650223537772,2025-01-01 20:47:50.081821,2025-01-01 20:48:07.559141,0 days 00:00:17.477320,2,140,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.8105759536795242,2025-01-01 20:48:07.559519,2025-01-01 20:48:17.758776,0 days 00:00:10.199257,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.816158558972738,2025-01-01 20:48:17.759095,2025-01-01 20:48:39.862091,0 days 00:00:22.102996,3,110,165.0,,,,,,,,,,,130.0,,,,,,,,COMPLETE
75,75,0.8269176992651475,2025-01-01 20:48:39.862585,2025-01-01 20:48:56.230277,0 days 00:00:16.367692,2,125,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
76,76,0.8066214382632293,2025-01-01 20:48:56.230656,2025-01-01 20:49:15.525125,0 days 00:00:19.294469,5,100,20.0,,,,,,,,,,,155.0,20.0,40.0,,,,,,COMPLETE
77,77,0.8214151578499805,2025-01-01 20:49:15.525541,2025-01-01 20:49:36.578652,0 days 00:00:21.053111,3,90,180.0,,,,,,,,,,,115.0,,,,,,,,COMPLETE
78,78,0.7939745374689613,2025-01-01 20:49:36.579183,2025-01-01 20:49:45.215684,0 days 00:00:08.636501,1,45,,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.8059168306665525,2025-01-01 20:49:45.216046,2025-01-01 20:50:15.739473,0 days 00:00:30.523427,4,155,140.0,,,,,,,,,,,170.0,180.0,,,,,,,COMPLETE
80,80,0.7104368063014679,2025-01-01 20:50:15.739878,2025-01-01 20:50:47.215119,0 days 00:00:31.475241,6,75,190.0,,,,,,,,,,,140.0,105.0,65.0,25.0,,,,,COMPLETE
81,81,0.8197666257238112,2025-01-01 20:50:47.215688,2025-01-01 20:50:57.926205,0 days 00:00:10.710517,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.8190367182492446,2025-01-01 20:50:57.926616,2025-01-01 20:51:15.133764,0 days 00:00:17.207148,2,180,125.0,,,,,,,,,,,,,,,,,,,COMPLETE
83,83,0.8278571103232546,2025-01-01 20:51:15.134150,2025-01-01 20:51:25.809970,0 days 00:00:10.675820,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
84,84,0.8138049658127637,2025-01-01 20:51:25.810324,2025-01-01 20:51:41.878465,0 days 00:00:16.068141,2,115,160.0,,,,,,,,,,,,,,,,,,,COMPLETE
85,85,0.8186910493183556,2025-01-01 20:51:41.878868,2025-01-01 20:52:09.479886,0 days 00:00:27.601018,4,135,180.0,,,,,,,,,,,90.0,165.0,,,,,,,COMPLETE
86,86,0.8254950495049505,2025-01-01 20:52:09.480385,2025-01-01 20:52:33.154458,0 days 00:00:23.674073,3,145,145.0,,,,,,,,,,,180.0,,,,,,,,COMPLETE
87,87,0.8137350912509143,2025-01-01 20:52:33.154882,2025-01-01 20:52:55.427102,0 days 00:00:22.272220,3,105,200.0,,,,,,,,,,,120.0,,,,,,,,COMPLETE
88,88,0.8234696940270838,2025-01-01 20:52:55.427642,2025-01-01 20:53:05.982255,0 days 00:00:10.554613,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
89,89,0.8292694204685573,2025-01-01 20:53:05.982635,2025-01-01 20:53:22.711012,0 days 00:00:16.728377,2,120,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
90,90,0.817469143975168,2025-01-01 20:53:22.711381,2025-01-01 20:53:49.465628,0 days 00:00:26.754247,4,110,195.0,,,,,,,,,,,130.0,75.0,,,,,,,COMPLETE
91,91,0.8172839584711691,2025-01-01 20:53:49.466042,2025-01-01 20:54:06.937831,0 days 00:00:17.471789,2,140,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
92,92,0.8334413740307206,2025-01-01 20:54:06.938343,2025-01-01 20:54:24.955436,0 days 00:00:18.017093,2,140,185.0,,,,,,,,,,,,,,,,,,,COMPLETE
93,93,0.8331271265078874,2025-01-01 20:54:24.955836,2025-01-01 20:54:35.769011,0 days 00:00:10.813175,1,135,,,,,,,,,,,,,,,,,,,,COMPLETE
94,94,0.8086918718529347,2025-01-01 20:54:35.769368,2025-01-01 20:55:00.822941,0 days 00:00:25.053573,3,150,190.0,,,,,,,,,,,155.0,,,,,,,,COMPLETE
95,95,0.8124765137563393,2025-01-01 20:55:00.823344,2025-01-01 20:55:19.856591,0 days 00:00:19.033247,2,165,185.0,,,,,,,,,,,,,,,,,,,COMPLETE
96,96,0.7784224309192704,2025-01-01 20:55:19.857112,2025-01-01 20:55:51.082335,0 days 00:00:31.225223,5,125,180.0,,,,,,,,,,,105.0,125.0,110.0,,,,,,COMPLETE
97,97,0.8274472563010112,2025-01-01 20:55:51.082711,2025-01-01 20:56:13.762834,0 days 00:00:22.680123,3,115,155.0,,,,,,,,,,,165.0,,,,,,,,COMPLETE
98,98,0.8279362127369229,2025-01-01 20:56:13.763243,2025-01-01 20:56:24.528056,0 days 00:00:10.764813,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
99,99,0.8098552848507052,2025-01-01 20:56:24.528559,2025-01-01 20:56:51.363802,0 days 00:00:26.835243,4,105,175.0,,,,,,,,,,,200.0,35.0,,,,,,,COMPLETE
100,100,0.5679546605213079,2025-01-01 20:56:51.364213,2025-01-01 20:58:06.685862,0 days 00:01:15.321649,17,120,160.0,200.0,170.0,5.0,95.0,130.0,10.0,135.0,,,,145.0,90.0,85.0,185.0,155.0,105.0,50.0,5.0,COMPLETE
101,101,0.8168150281755024,2025-01-01 20:58:06.686590,2025-01-01 20:58:17.509765,0 days 00:00:10.823175,1,135,,,,,,,,,,,,,,,,,,,,COMPLETE
102,102,0.8283313325330133,2025-01-01 20:58:17.510130,2025-01-01 20:58:32.293915,0 days 00:00:14.783785,2,145,75.0,,,,,,,,,,,,,,,,,,,COMPLETE
103,103,0.8301686290821598,2025-01-01 20:58:32.294304,2025-01-01 20:58:43.606843,0 days 00:00:11.312539,1,155,,,,,,,,,,,,,,,,,,,,COMPLETE
104,104,0.8102453720949443,2025-01-01 20:58:43.607294,2025-01-01 20:59:06.866970,0 days 00:00:23.259676,3,110,195.0,,,,,,,,,,,135.0,,,,,,,,COMPLETE
105,105,0.8224747972777916,2025-01-01 20:59:06.867411,2025-01-01 20:59:17.646856,0 days 00:00:10.779445,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
106,106,0.826489614127313,2025-01-01 20:59:17.647214,2025-01-01 20:59:33.448267,0 days 00:00:15.801053,2,120,145.0,,,,,,,,,,,,,,,,,,,COMPLETE
107,107,0.8387093428169223,2025-01-01 20:59:33.448659,2025-01-01 20:59:48.507620,0 days 00:00:15.058961,2,135,95.0,,,,,,,,,,,,,,,,,,,COMPLETE
108,108,0.8213542330402277,2025-01-01 20:59:48.508010,2025-01-01 21:00:02.854996,0 days 00:00:14.346986,2,115,95.0,,,,,,,,,,,,,,,,,,,COMPLETE
109,109,0.2776133968059352,2025-01-01 21:00:02.855524,2025-01-01 21:01:01.284505,0 days 00:00:58.428981,16,100,110.0,10.0,40.0,165.0,155.0,55.0,65.0,,,,,55.0,145.0,15.0,115.0,20.0,125.0,115.0,75.0,COMPLETE
110,110,0.8246031818168047,2025-01-01 21:01:01.285164,2025-01-01 21:01:23.150721,0 days 00:00:21.865557,4,140,85.0,,,,,,,,,,,125.0,60.0,,,,,,,COMPLETE
111,111,0.8391477499004381,2025-01-01 21:01:23.151157,2025-01-01 21:01:38.678617,0 days 00:00:15.527460,2,130,120.0,,,,,,,,,,,,,,,,,,,COMPLETE
112,112,0.8368563685636856,2025-01-01 21:01:38.679006,2025-01-01 21:01:58.456633,0 days 00:00:19.777627,3,125,120.0,,,,,,,,,,,115.0,,,,,,,,COMPLETE
113,113,0.8197883392542615,2025-01-01 21:01:58.457031,2025-01-01 21:02:17.936238,0 days 00:00:19.479207,3,120,120.0,,,,,,,,,,,115.0,,,,,,,,COMPLETE
114,114,0.8149665013133648,2025-01-01 21:02:17.936779,2025-01-01 21:02:39.355976,0 days 00:00:21.419197,4,125,105.0,,,,,,,,,,,110.0,40.0,,,,,,,COMPLETE
115,115,0.8217942525959914,2025-01-01 21:02:39.356368,2025-01-01 21:02:58.224822,0 days 00:00:18.868454,3,95,130.0,,,,,,,,,,,95.0,,,,,,,,COMPLETE
116,116,0.8216354019410074,2025-01-01 21:02:58.225171,2025-01-01 21:03:18.321335,0 days 00:00:20.096164,3,115,115.0,,,,,,,,,,,135.0,,,,,,,,COMPLETE
117,117,0.8135150375939849,2025-01-01 21:03:18.321864,2025-01-01 21:03:33.780412,0 days 00:00:15.458548,2,125,125.0,,,,,,,,,,,,,,,,,,,COMPLETE
118,118,0.3767468664457571,2025-01-01 21:03:33.780802,2025-01-01 21:04:25.631772,0 days 00:00:51.850970,11,105,100.0,50.0,,,,,,,,,,150.0,190.0,95.0,5.0,80.0,165.0,145.0,55.0,COMPLETE
119,119,0.7649517804820432,2025-01-01 21:04:25.632380,2025-01-01 21:04:51.819678,0 days 00:00:26.187298,5,110,120.0,,,,,,,,,,,100.0,55.0,135.0,,,,,,COMPLETE
