,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
38,38,0.8466793127604701,2024-12-31 20:41:50.904175,2024-12-31 20:42:31.642574,0 days 00:00:40.738399,1,50,,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.8782660835674203,2024-12-31 20:42:31.643126,2024-12-31 20:43:04.681747,0 days 00:00:33.038621,1,15,,,,,,,,,,,,,,,,,,,,COMPLETE
40,40,0.8671203326884159,2024-12-31 20:43:04.682408,2024-12-31 20:44:29.777095,0 days 00:01:25.094687,2,165,65.0,,,,,,,,,,,,,,,,,,,COMPLETE
41,41,0.8778319192580428,2024-12-31 20:44:29.777771,2024-12-31 20:45:03.150845,0 days 00:00:33.373074,1,15,,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.7476473350759443,2024-12-31 20:45:03.151674,2024-12-31 20:45:38.786245,0 days 00:00:35.634571,1,30,,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.7528869642460583,2024-12-31 20:45:38.786885,2024-12-31 20:46:29.644903,0 days 00:00:50.858018,2,5,95.0,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.8804901796206144,2024-12-31 20:46:29.645572,2024-12-31 20:48:49.232090,0 days 00:02:19.586518,4,60,170.0,,,,,,,,,,,155.0,80.0,,,,,,,COMPLETE
45,45,0.872254095167547,2024-12-31 20:48:49.232780,2024-12-31 20:51:24.714854,0 days 00:02:35.482074,4,70,175.0,,,,,,,,,,,190.0,85.0,,,,,,,COMPLETE
46,46,0.8726590720585804,2024-12-31 20:51:24.715549,2024-12-31 20:53:16.056706,0 days 00:01:51.341157,3,60,150.0,,,,,,,,,,,160.0,,,,,,,,COMPLETE
47,47,0.8760807977789109,2024-12-31 20:53:16.057390,2024-12-31 20:56:03.720452,0 days 00:02:47.663062,6,45,165.0,,,,,,,,,,,180.0,60.0,55.0,80.0,,,,,COMPLETE
48,48,0.2944423488385116,2024-12-31 20:56:03.721174,2024-12-31 21:02:46.431438,0 days 00:06:42.710264,17,60,120.0,15.0,60.0,195.0,105.0,115.0,20.0,200.0,,,,150.0,85.0,125.0,10.0,80.0,105.0,160.0,160.0,COMPLETE
49,49,0.8191510911251008,2024-12-31 21:02:46.432326,2024-12-31 21:06:13.582995,0 days 00:03:27.150669,7,85,185.0,,,,,,,,,,,175.0,70.0,95.0,125.0,40.0,,,,COMPLETE
50,50,0.8750632247716675,2024-12-31 21:06:13.583742,2024-12-31 21:07:24.869524,0 days 00:01:11.285782,4,40,5.0,,,,,,,,,,,100.0,25.0,,,,,,,COMPLETE
51,51,0.8472020933672741,2024-12-31 21:07:24.870230,2024-12-31 21:08:29.292478,0 days 00:01:04.422248,2,15,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.8884424120773493,2024-12-31 21:08:29.293170,2024-12-31 21:09:04.349200,0 days 00:00:35.056030,1,25,,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.8812942206393927,2024-12-31 21:09:04.349845,2024-12-31 21:10:36.437172,0 days 00:01:32.087327,3,30,130.0,,,,,,,,,,,115.0,,,,,,,,COMPLETE
