,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
85,85,0.8331479421579533,2025-01-02 02:24:55.464953,2025-01-02 02:25:03.559814,0 days 00:00:08.094861,4,95,140.0,,,,,,,,,,,80.0,145.0,,,,,,,COMPLETE
86,86,0.3286792452830189,2025-01-02 02:25:03.560348,2025-01-02 02:25:40.818919,0 days 00:00:37.258571,13,25,125.0,40.0,85.0,155.0,,,,,,,,60.0,115.0,110.0,110.0,25.0,95.0,105.0,40.0,COMPLETE
87,87,0.44067796610169496,2025-01-02 02:25:40.819844,2025-01-02 02:26:03.086726,0 days 00:00:22.266882,10,125,180.0,,,,,,,,,,,95.0,125.0,145.0,5.0,75.0,105.0,200.0,150.0,COMPLETE
88,88,0.861228813559322,2025-01-02 02:26:03.087383,2025-01-02 02:26:08.054598,0 days 00:00:04.967215,1,115,,,,,,,,,,,,,,,,,,,,COMPLETE
89,89,0.7399115533443892,2025-01-02 02:26:08.055075,2025-01-02 02:26:18.159394,0 days 00:00:10.104319,5,100,155.0,,,,,,,,,,,40.0,75.0,165.0,,,,,,COMPLETE
90,90,0.861228813559322,2025-01-02 02:26:18.159944,2025-01-02 02:26:24.220663,0 days 00:00:06.060719,2,110,115.0,,,,,,,,,,,,,,,,,,,COMPLETE
91,91,0.8429276315789473,2025-01-02 02:26:24.221161,2025-01-02 02:26:29.181781,0 days 00:00:04.960620,1,110,,,,,,,,,,,,,,,,,,,,COMPLETE
92,92,0.8656234475906607,2025-01-02 02:26:29.182273,2025-01-02 02:26:37.089899,0 days 00:00:07.907626,3,130,105.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
93,93,0.8389926428975665,2025-01-02 02:26:37.090436,2025-01-02 02:26:43.166806,0 days 00:00:06.076370,2,120,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
94,94,0.8523002421307506,2025-01-02 02:26:43.167313,2025-01-02 02:26:48.180890,0 days 00:00:05.013577,1,90,,,,,,,,,,,,,,,,,,,,COMPLETE
95,95,0.885483870967742,2025-01-02 02:26:48.181390,2025-01-02 02:26:55.611896,0 days 00:00:07.430506,3,105,135.0,,,,,,,,,,,115.0,,,,,,,,COMPLETE
96,96,0.8870673952641166,2025-01-02 02:26:55.612404,2025-01-02 02:27:03.071699,0 days 00:00:07.459295,3,100,135.0,,,,,,,,,,,135.0,,,,,,,,COMPLETE
97,97,0.8692493946731235,2025-01-02 02:27:03.072222,2025-01-02 02:27:10.505300,0 days 00:00:07.433078,3,100,135.0,,,,,,,,,,,120.0,,,,,,,,COMPLETE
98,98,0.8013495276653171,2025-01-02 02:27:10.505849,2025-01-02 02:27:19.297960,0 days 00:00:08.792111,4,80,125.0,,,,,,,,,,,135.0,190.0,,,,,,,COMPLETE
99,99,0.790081848820414,2025-01-02 02:27:19.298585,2025-01-02 02:27:29.364909,0 days 00:00:10.066324,5,105,115.0,,,,,,,,,,,140.0,165.0,90.0,,,,,,COMPLETE
100,100,0.8740112994350282,2025-01-02 02:27:29.365527,2025-01-02 02:27:36.778578,0 days 00:00:07.413051,3,95,130.0,,,,,,,,,,,155.0,,,,,,,,COMPLETE
101,101,0.8548009367681498,2025-01-02 02:27:36.779099,2025-01-02 02:27:42.823143,0 days 00:00:06.044044,2,115,140.0,,,,,,,,,,,,,,,,,,,COMPLETE
102,102,0.9193338537600833,2025-01-02 02:27:42.823634,2025-01-02 02:27:49.741979,0 days 00:00:06.918345,3,130,150.0,,,,,,,,,,,110.0,,,,,,,,COMPLETE
103,103,0.861904761904762,2025-01-02 02:27:49.742533,2025-01-02 02:27:58.495194,0 days 00:00:08.752661,4,130,135.0,,,,,,,,,,,115.0,200.0,,,,,,,COMPLETE
104,104,0.8709677419354839,2025-01-02 02:27:58.495723,2025-01-02 02:28:05.857244,0 days 00:00:07.361521,3,150,145.0,,,,,,,,,,,105.0,,,,,,,,COMPLETE
105,105,0.8617133791644632,2025-01-02 02:28:05.857791,2025-01-02 02:28:12.753548,0 days 00:00:06.895757,3,135,145.0,,,,,,,,,,,125.0,,,,,,,,COMPLETE
