,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
39,39,0.17811274181924888,2025-01-02 22:39:45.703920,2025-01-02 22:44:07.966758,0 days 00:04:22.262838,14,40,190.0,200.0,200.0,10.0,10.0,,,,,,,185.0,140.0,180.0,135.0,5.0,125.0,200.0,5.0,COMPLETE
40,40,0.879502492654372,2025-01-02 22:44:07.967498,2025-01-02 22:46:11.100517,0 days 00:02:03.133019,6,80,145.0,,,,,,,,,,,165.0,105.0,80.0,50.0,,,,,COMPLETE
41,41,0.8771815111966186,2025-01-02 22:46:11.101118,2025-01-02 22:47:46.104153,0 days 00:01:35.003035,4,155,125.0,,,,,,,,,,,150.0,50.0,,,,,,,COMPLETE
42,42,0.8787638938485653,2025-01-02 22:47:46.104765,2025-01-02 22:48:43.035841,0 days 00:00:56.931076,2,105,135.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.8674575856191266,2025-01-02 22:48:43.036412,2025-01-02 22:50:18.729140,0 days 00:01:35.692728,5,45,90.0,,,,,,,,,,,150.0,80.0,120.0,,,,,,COMPLETE
44,44,0.2834583423767597,2025-01-02 22:50:18.729720,2025-01-02 22:55:04.764590,0 days 00:04:46.034870,20,190,140.0,5.0,10.0,65.0,50.0,190.0,10.0,20.0,5.0,200.0,15.0,110.0,115.0,155.0,90.0,115.0,40.0,45.0,185.0,COMPLETE
45,45,0.561536172467006,2025-01-02 22:55:04.765337,2025-01-02 22:57:50.009776,0 days 00:02:45.244439,8,160,110.0,,,,,,,,,,,85.0,85.0,115.0,130.0,180.0,200.0,,,COMPLETE
46,46,0.8823331564756294,2025-01-02 22:57:50.010427,2025-01-02 22:58:49.375546,0 days 00:00:59.365119,2,110,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
47,47,0.8808628677683373,2025-01-02 22:58:49.376100,2025-01-02 22:59:50.648867,0 days 00:01:01.272767,2,110,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.882086828988355,2025-01-02 22:59:50.649429,2025-01-02 23:01:18.389718,0 days 00:01:27.740289,3,95,155.0,,,,,,,,,,,190.0,,,,,,,,COMPLETE
