,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
42,42,0.8177865612648222,2025-01-02 06:56:11.108193,2025-01-02 06:56:17.560327,0 days 00:00:06.452134,2,115,130.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.8310258548790659,2025-01-02 06:56:17.560844,2025-01-02 06:56:22.567768,0 days 00:00:05.006924,1,85,,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.7677589093518298,2025-01-02 06:56:22.568240,2025-01-02 06:56:31.357120,0 days 00:00:08.788880,4,85,175.0,,,,,,,,,,,110.0,200.0,,,,,,,COMPLETE
45,45,0.8089550246897104,2025-01-02 06:56:31.357644,2025-01-02 06:56:36.875269,0 days 00:00:05.517625,1,5,,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.8066528066528067,2025-01-02 06:56:36.875767,2025-01-02 06:56:44.741939,0 days 00:00:07.866172,3,70,160.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
47,47,0.8108766233766234,2025-01-02 06:56:44.742597,2025-01-02 06:56:50.753103,0 days 00:00:06.010506,2,55,110.0,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.533201581027668,2025-01-02 06:56:50.753619,2025-01-02 06:57:02.276755,0 days 00:00:11.523136,6,95,40.0,,,,,,,,,,,90.0,65.0,25.0,80.0,,,,,COMPLETE
49,49,0.8574341546304163,2025-01-02 06:57:02.277308,2025-01-02 06:57:07.598477,0 days 00:00:05.321169,1,140,,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.3153100205700852,2025-01-02 06:57:07.598959,2025-01-02 06:57:45.988367,0 days 00:00:38.389408,13,185,90.0,155.0,60.0,75.0,,,,,,,,75.0,100.0,60.0,180.0,85.0,200.0,195.0,70.0,COMPLETE
51,51,0.8541890662476221,2025-01-02 06:57:45.989072,2025-01-02 06:57:50.978277,0 days 00:00:04.989205,1,140,,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.8359788359788359,2025-01-02 06:57:50.978770,2025-01-02 06:57:57.007756,0 days 00:00:06.028986,2,140,185.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.8016142735768904,2025-01-02 06:57:57.008242,2025-01-02 06:58:04.939992,0 days 00:00:07.931750,3,140,185.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
54,54,0.8263092928936695,2025-01-02 06:58:04.940511,2025-01-02 06:58:11.401179,0 days 00:00:06.460668,2,150,200.0,,,,,,,,,,,,,,,,,,,COMPLETE
55,55,0.5555555555555556,2025-01-02 06:58:11.401672,2025-01-02 06:58:21.537888,0 days 00:00:10.136216,5,135,165.0,,,,,,,,,,,40.0,110.0,185.0,,,,,,COMPLETE
56,56,0.7511467889908257,2025-01-02 06:58:21.538438,2025-01-02 06:58:30.181620,0 days 00:00:08.643182,4,155,175.0,,,,,,,,,,,140.0,40.0,,,,,,,COMPLETE
