,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
45,45,0.6118012422360248,2025-01-02 09:12:20.904716,2025-01-02 09:12:25.953674,0 days 00:00:05.048958,3,145,150.0,,,,,,,,,,,170.0,,,,,,,,COMPLETE
46,46,0.6928571428571428,2025-01-02 09:12:25.954214,2025-01-02 09:12:29.653522,0 days 00:00:03.699308,2,115,110.0,,,,,,,,,,,,,,,,,,,COMPLETE
47,47,0.6190476190476191,2025-01-02 09:12:29.653987,2025-01-02 09:12:33.368188,0 days 00:00:03.714201,1,85,,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.4775413711583924,2025-01-02 09:12:33.368665,2025-01-02 09:12:41.718385,0 days 00:00:08.349720,5,95,160.0,,,,,,,,,,,5.0,140.0,25.0,,,,,,COMPLETE
49,49,0.6333333333333333,2025-01-02 09:12:41.718950,2025-01-02 09:12:49.629840,0 days 00:00:07.910890,4,180,45.0,,,,,,,,,,,105.0,110.0,,,,,,,COMPLETE
50,50,0.3613053613053613,2025-01-02 09:12:49.630383,2025-01-02 09:13:32.298377,0 days 00:00:42.667994,15,55,190.0,155.0,145.0,85.0,10.0,200.0,,,,,,25.0,170.0,65.0,75.0,200.0,5.0,60.0,50.0,COMPLETE
51,51,0.6875,2025-01-02 09:13:32.299533,2025-01-02 09:13:36.429394,0 days 00:00:04.129861,2,115,110.0,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.6333333333333333,2025-01-02 09:13:36.429907,2025-01-02 09:13:40.459183,0 days 00:00:04.029276,2,110,125.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.61605415860735,2025-01-02 09:13:40.459709,2025-01-02 09:13:44.562925,0 days 00:00:04.103216,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.5982142857142857,2025-01-02 09:13:44.563462,2025-01-02 09:13:51.660026,0 days 00:00:07.096564,3,65,90.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
55,55,0.6376811594202898,2025-01-02 09:13:51.660534,2025-01-02 09:13:57.346372,0 days 00:00:05.685838,2,140,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
56,56,0.6666666666666666,2025-01-02 09:13:57.346893,2025-01-02 09:14:01.795585,0 days 00:00:04.448692,1,90,,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.6287878787878788,2025-01-02 09:14:01.796068,2025-01-02 09:14:06.944296,0 days 00:00:05.148228,3,45,100.0,,,,,,,,,,,85.0,,,,,,,,COMPLETE
58,58,0.579923622476814,2025-01-02 09:14:06.944808,2025-01-02 09:14:11.313207,0 days 00:00:04.368399,2,80,75.0,,,,,,,,,,,,,,,,,,,COMPLETE
59,59,0.5601617795753286,2025-01-02 09:14:11.313733,2025-01-02 09:14:17.320555,0 days 00:00:06.006822,4,100,25.0,,,,,,,,,,,200.0,50.0,,,,,,,COMPLETE
60,60,0.42334096109839814,2025-01-02 09:14:17.321088,2025-01-02 09:14:49.354515,0 days 00:00:32.033427,10,115,5.0,,,,,,,,,,,175.0,200.0,130.0,165.0,55.0,140.0,140.0,65.0,COMPLETE
61,61,0.6515151515151515,2025-01-02 09:14:49.355162,2025-01-02 09:14:54.189472,0 days 00:00:04.834310,2,110,110.0,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.6126373626373627,2025-01-02 09:14:54.189992,2025-01-02 09:14:58.293628,0 days 00:00:04.103636,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.660633484162896,2025-01-02 09:14:58.294112,2025-01-02 09:15:03.158916,0 days 00:00:04.864804,3,115,135.0,,,,,,,,,,,100.0,,,,,,,,COMPLETE
64,64,0.6196060037523452,2025-01-02 09:15:03.159411,2025-01-02 09:15:07.309433,0 days 00:00:04.150022,2,130,110.0,,,,,,,,,,,,,,,,,,,COMPLETE
65,65,0.6491464510332434,2025-01-02 09:15:07.310093,2025-01-02 09:15:11.485680,0 days 00:00:04.175587,1,90,,,,,,,,,,,,,,,,,,,,COMPLETE
66,66,0.6479642502482621,2025-01-02 09:15:11.486165,2025-01-02 09:15:17.271467,0 days 00:00:05.785302,3,70,85.0,,,,,,,,,,,75.0,,,,,,,,COMPLETE
67,67,0.6802721088435374,2025-01-02 09:15:17.271990,2025-01-02 09:15:22.517082,0 days 00:00:05.245092,2,105,65.0,,,,,,,,,,,,,,,,,,,COMPLETE
68,68,0.538661131292164,2025-01-02 09:15:22.517571,2025-01-02 09:15:28.862361,0 days 00:00:06.344790,4,80,150.0,,,,,,,,,,,125.0,70.0,,,,,,,COMPLETE
69,69,0.5927952576379389,2025-01-02 09:15:28.862865,2025-01-02 09:15:32.584924,0 days 00:00:03.722059,1,145,,,,,,,,,,,,,,,,,,,,COMPLETE
70,70,0.3861283643892339,2025-01-02 09:15:32.585388,2025-01-02 09:15:40.623025,0 days 00:00:08.037637,5,95,95.0,,,,,,,,,,,155.0,40.0,110.0,,,,,,COMPLETE
71,71,0.6423255813953488,2025-01-02 09:15:40.623585,2025-01-02 09:15:45.058401,0 days 00:00:04.434816,2,105,105.0,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.6632270168855534,2025-01-02 09:15:45.058930,2025-01-02 09:15:49.952824,0 days 00:00:04.893894,2,120,65.0,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.6495238095238096,2025-01-02 09:15:49.953343,2025-01-02 09:15:53.401227,0 days 00:00:03.447884,1,110,,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.5845588235294117,2025-01-02 09:15:53.401726,2025-01-02 09:15:58.793040,0 days 00:00:05.391314,3,100,50.0,,,,,,,,,,,185.0,,,,,,,,COMPLETE
