,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
44,44,0.6243722557947404,2025-01-03 21:00:37.846655,2025-01-03 21:01:41.561936,0 days 00:01:03.715281,18,45,95.0,5.0,140.0,145.0,5.0,115.0,200.0,200.0,10.0,,,155.0,115.0,115.0,170.0,10.0,105.0,195.0,15.0,COMPLETE
45,45,0.9549998749996528,2025-01-03 21:01:41.562720,2025-01-03 21:01:45.280346,0 days 00:00:03.717626,1,110,,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.5597324469838479,2025-01-03 21:01:45.280862,2025-01-03 21:02:26.334635,0 days 00:00:41.053773,12,165,105.0,90.0,5.0,,,,,,,,,130.0,85.0,35.0,45.0,100.0,130.0,130.0,50.0,COMPLETE
47,47,0.964317197606638,2025-01-03 21:02:26.335224,2025-01-03 21:02:30.733680,0 days 00:00:04.398456,2,95,140.0,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.9601328903654485,2025-01-03 21:02:30.734016,2025-01-03 21:02:35.409420,0 days 00:00:04.675404,2,70,140.0,,,,,,,,,,,,,,,,,,,COMPLETE
49,49,0.9587952352658236,2025-01-03 21:02:35.409745,2025-01-03 21:02:39.706919,0 days 00:00:04.297174,1,145,,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.9527158820417879,2025-01-03 21:02:39.707258,2025-01-03 21:02:45.975671,0 days 00:00:06.268413,4,30,125.0,,,,,,,,,,,35.0,145.0,,,,,,,COMPLETE
51,51,0.956094252797821,2025-01-03 21:02:45.976042,2025-01-03 21:02:52.191890,0 days 00:00:06.215848,3,95,150.0,,,,,,,,,,,170.0,,,,,,,,COMPLETE
52,52,0.9595828605392555,2025-01-03 21:02:52.192320,2025-01-03 21:02:57.330394,0 days 00:00:05.138074,2,115,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.9536418758154885,2025-01-03 21:02:57.330715,2025-01-03 21:03:01.558190,0 days 00:00:04.227475,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.7016556391431765,2025-01-03 21:03:01.558555,2025-01-03 21:03:16.490955,0 days 00:00:14.932400,6,95,75.0,,,,,,,,,,,185.0,185.0,85.0,115.0,,,,,COMPLETE
55,55,0.9585478547854785,2025-01-03 21:03:16.491512,2025-01-03 21:03:22.081438,0 days 00:00:05.589926,3,80,120.0,,,,,,,,,,,75.0,,,,,,,,COMPLETE
56,56,0.9573969122532735,2025-01-03 21:03:22.081805,2025-01-03 21:03:28.761338,0 days 00:00:06.679533,4,130,185.0,,,,,,,,,,,95.0,25.0,,,,,,,COMPLETE
57,57,0.9641416080899827,2025-01-03 21:03:28.761688,2025-01-03 21:03:33.282430,0 days 00:00:04.520742,2,110,95.0,,,,,,,,,,,,,,,,,,,COMPLETE
